Geography,Total
1000000US090010101011000,0
1000000US090010101011001,221
1000000US090010101011002,2
1000000US090010101011003,0
1000000US090010101011004,0
1000000US090010101011005,0
1000000US090010101011006,0
1000000US090010101011007,52
1000000US090010101011008,15
1000000US090010101011009,73
1000000US090010101011010,72
1000000US090010101011011,2
1000000US090010101011012,111
1000000US090010101011013,0
1000000US090010101011014,0
1000000US090010101011015,0
1000000US090010101011016,0
1000000US090010101012000,0
1000000US090010101012001,138
1000000US090010101012002,15
1000000US090010101012003,0
1000000US090010101012004,2
1000000US090010101012005,2
1000000US090010101012006,0
1000000US090010101012007,0
1000000US090010101012008,7
1000000US090010101012009,28
1000000US090010101012010,96
1000000US090010101012011,0
1000000US090010101012012,16
1000000US090010101012013,171
1000000US090010101012014,71
1000000US090010101012015,11
1000000US090010101012016,30
1000000US090010101012017,0
1000000US090010101013000,12
1000000US090010101013001,0
1000000US090010101013002,131
1000000US090010101013003,0
1000000US090010101013004,5
1000000US090010101013005,4
1000000US090010101013006,7
1000000US090010101013007,0
1000000US090010101013008,5
1000000US090010101013009,0
1000000US090010101013010,0
1000000US090010101013011,39
1000000US090010101013012,0
1000000US090010101013013,16
1000000US090010101013014,113
1000000US090010101013015,4
1000000US090010101013016,0
1000000US090010101013017,0
1000000US090010101013018,4
1000000US090010101013019,0
1000000US090010101013020,0
1000000US090010101013021,4
1000000US090010101013022,27
1000000US090010101013023,0
1000000US090010101013024,0
1000000US090010101013025,47
1000000US090010101013026,1
1000000US090010101013027,40
1000000US090010101013028,7
1000000US090010101013029,38
1000000US090010101013030,49
1000000US090010101013031,4
1000000US090010101013032,0
1000000US090010101013033,0
1000000US090010101013034,118
1000000US090010101013035,0
1000000US090010101013036,12
1000000US090010101013037,2
1000000US090010101013038,0
1000000US090010101013039,3
1000000US090010101013040,6
1000000US090010101013041,27
1000000US090010101013042,267
1000000US090010101013043,13
1000000US090010101013044,0
1000000US090010101013045,1
1000000US090010101013046,0
1000000US090010101013047,2
1000000US090010101013048,0
1000000US090010101013049,16
1000000US090010101013050,0
1000000US090010101013051,0
1000000US090010101013052,0
1000000US090010101013053,3
1000000US090010101013054,0
1000000US090010101013055,33
1000000US090010101013056,0
1000000US090010101014000,12
1000000US090010101014001,89
1000000US090010101014002,0
1000000US090010101014003,2
1000000US090010101014004,5
1000000US090010101014005,5
1000000US090010101014006,23
1000000US090010101014007,29
1000000US090010101014008,62
1000000US090010101014009,33
1000000US090010101014010,68
1000000US090010101014011,0
1000000US090010101014012,116
1000000US090010101014013,0
1000000US090010101014014,0
1000000US090010101014015,0
1000000US090010101014016,0
1000000US090010101014017,10
1000000US090010101014018,17
1000000US090010101014019,2
1000000US090010101014020,50
1000000US090010101014021,0
1000000US090010101014022,2
1000000US090010101014023,83
1000000US090010101014024,3
1000000US090010101014025,0
1000000US090010101014026,158
1000000US090010101014027,6
1000000US090010101014028,0
1000000US090010101014029,0
1000000US090010101014030,2
1000000US090010101014031,0
1000000US090010101014032,0
1000000US090010101014033,0
1000000US090010101014034,0
1000000US090010101014035,3
1000000US090010101014036,1
1000000US090010101014037,12
1000000US090010101014038,0
1000000US090010101014039,2
1000000US090010101014040,5
1000000US090010101014041,0
1000000US090010101014042,0
1000000US090010101014043,0
1000000US090010101014044,0
1000000US090010101014045,3
1000000US090010101014046,94
1000000US090010101014047,0
1000000US090010101014048,0
1000000US090010101014049,22
1000000US090010101014050,256
1000000US090010101014051,1
1000000US090010101021000,9
1000000US090010101021001,30
1000000US090010101021002,66
1000000US090010101021003,79
1000000US090010101021004,11
1000000US090010101021005,0
1000000US090010101021006,13
1000000US090010101021007,20
1000000US090010101021008,33
1000000US090010101021009,0
1000000US090010101021010,17
1000000US090010101021011,61
1000000US090010101021012,2
1000000US090010101021013,42
1000000US090010101021014,8
1000000US090010101021015,38
1000000US090010101021016,17
1000000US090010101021017,35
1000000US090010101021018,0
1000000US090010101021019,2
1000000US090010101021020,5
1000000US090010101021021,46
1000000US090010101021022,4
1000000US090010101021023,53
1000000US090010101021024,78
1000000US090010101021025,0
1000000US090010101021026,0
1000000US090010101021027,33
1000000US090010101021028,0
1000000US090010101021029,14
1000000US090010101021030,152
1000000US090010101021031,0
1000000US090010101021032,2
1000000US090010101021033,4
1000000US090010101021034,2
1000000US090010101021035,2
1000000US090010101022000,0
1000000US090010101022001,60
1000000US090010101022002,0
1000000US090010101022003,0
1000000US090010101022004,34
1000000US090010101022005,0
1000000US090010101022006,0
1000000US090010101022007,0
1000000US090010101022008,2
1000000US090010101022009,0
1000000US090010101022010,22
1000000US090010101022011,24
1000000US090010101022012,51
1000000US090010101022013,0
1000000US090010101022014,0
1000000US090010101022015,43
1000000US090010101022016,0
1000000US090010101022017,36
1000000US090010101022018,0
1000000US090010101022019,33
1000000US090010101022020,0
1000000US090010101022021,70
1000000US090010101022022,40
1000000US090010101022023,0
1000000US090010101022024,0
1000000US090010101022025,64
1000000US090010101022026,0
1000000US090010101022027,0
1000000US090010101022028,13
1000000US090010101022029,0
1000000US090010101022030,9
1000000US090010101022031,63
1000000US090010101022032,10
1000000US090010101022033,89
1000000US090010101022034,41
1000000US090010101022035,38
1000000US090010101022036,194
1000000US090010101022037,10
1000000US090010101022038,0
1000000US090010101022039,5
1000000US090010101022040,0
1000000US090010101022041,0
1000000US090010101022042,16
1000000US090010101022043,0
1000000US090010101022044,48
1000000US090010101023000,177
1000000US090010101023001,0
1000000US090010101023002,2
1000000US090010101023003,0
1000000US090010101023004,81
1000000US090010101023005,37
1000000US090010101023006,28
1000000US090010101023007,1
1000000US090010101023008,0
1000000US090010101023009,8
1000000US090010101023010,85
1000000US090010101023011,0
1000000US090010101023012,23
1000000US090010101023013,39
1000000US090010101023014,0
1000000US090010101023015,0
1000000US090010101023016,0
1000000US090010101023017,8
1000000US090010101023018,11
1000000US090010101023019,0
1000000US090010101023020,7
1000000US090010101023021,0
1000000US090010101023022,0
1000000US090010101023023,2
1000000US090010101023024,46
1000000US090010101023025,0
1000000US090010101023026,0
1000000US090010101023027,27
1000000US090010101023028,91
1000000US090010101023029,0
1000000US090010101023030,0
1000000US090010101023031,3
1000000US090010101023032,2
1000000US090010101023033,25
1000000US090010101023034,0
1000000US090010101023035,2
1000000US090010101023036,66
1000000US090010101023037,4
1000000US090010101023038,1
1000000US090010101023039,0
1000000US090010101023040,0
1000000US090010101023041,0
1000000US090010101023042,0
1000000US090010101023043,12
1000000US090010101023044,0
1000000US090010101023045,3
1000000US090010101023046,0
1000000US090010101023047,0
1000000US090010101023048,9
1000000US090010101023049,0
1000000US090010101023050,31
1000000US090010101023051,28
1000000US090010101023052,0
1000000US090010101023053,0
1000000US090010101023054,0
1000000US090010101023055,13
1000000US090010101023056,2
1000000US090010101023057,2
1000000US090010101023058,51
1000000US090010101023059,34
1000000US090010101023060,1
1000000US090010101023061,79
1000000US090010101023062,0
1000000US090010101023063,2
1000000US090010101023064,0
1000000US090010101023065,0
1000000US090010101023066,13
1000000US090010101023067,0
1000000US090010101023068,27
1000000US090010101023069,0
1000000US090010101023070,2
1000000US090010101023071,0
1000000US090010101023072,3
1000000US090010101023073,1
1000000US090010102011000,64
1000000US090010102011001,2
1000000US090010102011002,78
1000000US090010102011003,0
1000000US090010102011004,4
1000000US090010102011005,23
1000000US090010102011006,0
1000000US090010102011007,1
1000000US090010102011008,0
1000000US090010102011009,15
1000000US090010102011010,0
1000000US090010102011011,0
1000000US090010102011012,35
1000000US090010102011013,21
1000000US090010102011014,0
1000000US090010102011015,0
1000000US090010102011016,0
1000000US090010102011017,15
1000000US090010102011018,50
1000000US090010102011019,0
1000000US090010102011020,22
1000000US090010102011021,2
1000000US090010102011022,25
1000000US090010102011023,0
1000000US090010102011024,101
1000000US090010102011025,0
1000000US090010102011026,29
1000000US090010102011027,4
1000000US090010102011028,32
1000000US090010102011029,4
1000000US090010102011030,176
1000000US090010102011031,0
1000000US090010102011032,2
1000000US090010102011033,14
1000000US090010102012000,161
1000000US090010102012001,2
1000000US090010102012002,7
1000000US090010102012003,6
1000000US090010102012004,5
1000000US090010102012005,47
1000000US090010102012006,32
1000000US090010102012007,8
1000000US090010102012008,124
1000000US090010102012009,77
1000000US090010102012010,0
1000000US090010102012011,25
1000000US090010102012012,8
1000000US090010102012013,0
1000000US090010102012014,37
1000000US090010102012015,6
1000000US090010102012016,51
1000000US090010102012017,0
1000000US090010102012018,120
1000000US090010102012019,4
1000000US090010102012020,31
1000000US090010102012021,0
1000000US090010102012022,0
1000000US090010102013000,78
1000000US090010102013001,0
1000000US090010102013002,48
1000000US090010102013003,0
1000000US090010102013004,134
1000000US090010102013005,0
1000000US090010102013006,0
1000000US090010102013007,71
1000000US090010102013008,192
1000000US090010102013009,0
1000000US090010102013010,0
1000000US090010102013011,0
1000000US090010102013012,138
1000000US090010102013013,8
1000000US090010102013014,3
1000000US090010102013015,31
1000000US090010102013016,18
1000000US090010102013017,21
1000000US090010102013018,115
1000000US090010102013019,0
1000000US090010102013020,8
1000000US090010102013021,0
1000000US090010102013022,45
1000000US090010102021000,62
1000000US090010102021001,12
1000000US090010102021002,18
1000000US090010102021003,0
1000000US090010102021004,17
1000000US090010102021005,79
1000000US090010102021006,184
1000000US090010102021007,98
1000000US090010102021008,0
1000000US090010102021009,10
1000000US090010102021010,106
1000000US090010102021011,0
1000000US090010102021012,41
1000000US090010102022000,108
1000000US090010102022001,204
1000000US090010102022002,2
1000000US090010102022003,5
1000000US090010102022004,245
1000000US090010102022005,496
1000000US090010102022006,55
1000000US090010102022007,105
1000000US090010102022008,0
1000000US090010102022009,0
1000000US090010102022010,61
1000000US090010102022011,197
1000000US090010102022012,93
1000000US090010102022013,113
1000000US090010102022014,52
1000000US090010102023000,24
1000000US090010102023001,0
1000000US090010102023002,73
1000000US090010102023003,114
1000000US090010102023004,0
1000000US090010102023005,0
1000000US090010102023006,28
