Geography,Total
1000000US100010401001000,48
1000000US100010401001001,223
1000000US100010401001002,12
1000000US100010401001003,64
1000000US100010401001004,44
1000000US100010401001005,6
1000000US100010401001006,42
1000000US100010401001007,0
1000000US100010401001008,0
1000000US100010401001009,14
1000000US100010401001010,203
1000000US100010401001011,13
1000000US100010401001012,0
1000000US100010401001013,13
1000000US100010401001014,30
1000000US100010401001015,0
1000000US100010401001016,2
1000000US100010401001017,0
1000000US100010401001018,5
1000000US100010401001019,19
1000000US100010401001020,33
1000000US100010401001021,25
1000000US100010401001022,28
1000000US100010401001023,32
1000000US100010401001024,2
1000000US100010401001025,34
1000000US100010401001026,4
1000000US100010401001027,151
1000000US100010401001028,285
1000000US100010401001029,0
1000000US100010401001030,95
1000000US100010401001031,48
1000000US100010401001032,11
1000000US100010401001033,0
1000000US100010401001034,86
1000000US100010401001035,16
1000000US100010401001036,165
1000000US100010401001037,18
1000000US100010401001038,0
1000000US100010401001039,31
1000000US100010401001040,19
1000000US100010401001041,3
1000000US100010401001042,11
1000000US100010401001043,15
1000000US100010401001044,2
1000000US100010401001045,93
1000000US100010401002000,75
1000000US100010401002001,6
1000000US100010401002002,27
1000000US100010401002003,2
1000000US100010401002004,44
1000000US100010401002005,67
1000000US100010401002006,70
1000000US100010401002007,1
1000000US100010401002008,8
1000000US100010401002009,17
1000000US100010401002010,0
1000000US100010401002011,44
1000000US100010401002012,0
1000000US100010401002013,34
1000000US100010401002014,6
1000000US100010401002015,90
1000000US100010401002016,66
1000000US100010401002017,61
1000000US100010401002018,4
1000000US100010401002019,6
1000000US100010401002020,54
1000000US100010401002021,82
1000000US100010401002022,117
1000000US100010401002023,25
1000000US100010401002024,1
1000000US100010401002025,9
1000000US100010401002026,10
1000000US100010401002027,1
1000000US100010401002028,5
1000000US100010401002029,7
1000000US100010401002030,46
1000000US100010401002031,5
1000000US100010401002032,25
1000000US100010401002033,22
1000000US100010401002034,39
1000000US100010401002035,312
1000000US100010401002036,21
1000000US100010401002037,38
1000000US100010401002038,88
1000000US100010401002039,2
1000000US100010401002040,0
1000000US100010401002041,0
1000000US100010401002042,6
1000000US100010401002043,14
1000000US100010401002044,39
1000000US100010401002045,29
1000000US100010401002046,32
1000000US100010401002047,14
1000000US100010401002048,2
1000000US100010401002049,2
1000000US100010401003000,15
1000000US100010401003001,120
1000000US100010401003002,55
1000000US100010401003003,49
1000000US100010401003004,39
1000000US100010401003005,131
1000000US100010401003006,10
1000000US100010401003007,4
1000000US100010401003008,7
1000000US100010401003009,0
1000000US100010401003010,107
1000000US100010401003011,20
1000000US100010401003012,28
1000000US100010401003013,14
1000000US100010401003014,19
1000000US100010401003015,10
1000000US100010401003016,41
1000000US100010401003017,10
1000000US100010401003018,60
1000000US100010401003019,0
1000000US100010401003020,31
1000000US100010401003021,0
1000000US100010401003022,65
1000000US100010401003023,15
1000000US100010401003024,3
1000000US100010401003025,0
1000000US100010401003026,0
1000000US100010401003027,7
1000000US100010401003028,41
1000000US100010401003029,19
1000000US100010401003030,41
1000000US100010401003031,13
1000000US100010401003032,0
1000000US100010401003033,9
1000000US100010401003034,23
1000000US100010401003035,0
1000000US100010401003036,87
1000000US100010401003037,33
1000000US100010401003038,33
1000000US100010401003039,0
1000000US100010401003040,21
1000000US100010401003041,16
1000000US100010401003042,37
1000000US100010401003043,19
1000000US100010401003044,10
1000000US100010401003045,4
1000000US100010401003046,21
1000000US100010401003047,19
1000000US100010402011000,12
1000000US100010402011001,3
1000000US100010402011002,0
1000000US100010402011003,0
1000000US100010402011004,4
1000000US100010402011005,1
1000000US100010402011006,187
1000000US100010402011007,0
1000000US100010402011008,0
1000000US100010402011009,30
1000000US100010402011010,20
1000000US100010402011011,29
1000000US100010402011012,0
1000000US100010402011013,133
1000000US100010402011014,23
1000000US100010402011015,74
1000000US100010402011016,11
1000000US100010402011017,18
1000000US100010402011018,23
1000000US100010402011019,4
1000000US100010402011020,4
1000000US100010402011021,0
1000000US100010402011022,32
1000000US100010402011023,40
1000000US100010402011024,30
1000000US100010402011025,13
1000000US100010402011026,12
1000000US100010402011027,35
1000000US100010402011028,0
1000000US100010402011029,19
1000000US100010402011030,4
1000000US100010402011031,2
1000000US100010402011032,17
1000000US100010402011033,0
1000000US100010402011034,3
1000000US100010402011035,7
1000000US100010402011036,18
1000000US100010402011037,42
1000000US100010402011038,11
1000000US100010402011039,4
1000000US100010402011040,14
1000000US100010402011041,5
1000000US100010402011042,50
1000000US100010402011043,6
1000000US100010402011044,0
1000000US100010402011045,0
1000000US100010402011046,0
1000000US100010402011047,0
1000000US100010402011048,22
1000000US100010402011049,19
1000000US100010402011050,0
1000000US100010402011051,0
1000000US100010402011052,0
1000000US100010402011053,19
1000000US100010402011054,4
1000000US100010402011055,0
1000000US100010402011056,0
1000000US100010402011057,0
1000000US100010402011058,0
1000000US100010402011059,0
1000000US100010402011060,2
1000000US100010402011061,27
1000000US100010402011062,6
