GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
120010001,0,0,0,0,0,0,710,352,351
120010002,0,0,0,0,0,0,792,343,437
120010003,0,0,0,0,0,0,475,249,218
120010004,0,0,0,0,0,0,570,229,324
120010005,0,0,0,0,0,0,377,141,231
120010006,0,0,0,0,0,0,806,319,477
120010007,0,0,0,0,0,0,2032,923,1086
120010008,0,0,0,0,0,0,2585,1317,1237
120010009,0,0,0,0,0,0,1954,766,1173
120010010,0,0,0,0,0,0,2419,1244,1146
120010011,0,0,0,0,0,0,1925,806,1100
120010012,0,0,0,0,0,0,627,359,261
120010013,0,0,0,0,0,0,1868,1700,152
120010014,0,0,0,0,0,0,739,331,398
120010015,0,0,0,0,0,0,1548,697,835
120010016,0,0,0,0,0,0,2463,1121,1318
120010017,0,0,0,0,0,0,2098,979,1100
120010018,0,0,0,0,0,0,2290,999,1280
120010019,0,0,0,0,0,0,1159,893,257
120010020,0,0,0,0,0,0,2232,1130,1082
120010021,0,0,0,0,0,0,1980,944,1026
120010022,0,0,0,0,0,0,2095,1061,1016
120010023,0,0,0,0,0,0,439,270,166
120010024,0,0,0,0,0,0,1707,1040,651
120010025,0,0,0,0,0,0,1279,738,527
120010026,0,0,0,0,0,0,1609,1162,430
120010027,0,0,0,0,0,0,1371,992,365
120010028,0,0,0,0,0,0,2062,1482,559
120010029,0,0,0,0,0,0,3877,2746,1090
120010030,0,0,0,0,0,0,1855,1282,546
120010031,0,0,0,0,0,0,2304,1550,720
120010032,0,0,0,0,0,0,1786,1482,291
120010033,0,0,0,0,0,0,2032,1088,924
120010034,0,0,0,0,0,0,1065,529,522
120010035,0,0,0,0,0,0,649,310,334
120010036,0,0,0,0,0,0,1643,1316,311
120010037,0,0,0,0,0,0,2549,2414,127
120010038,0,0,0,0,0,0,2427,1362,1044
120010039,0,0,0,0,0,0,3029,1675,1330
120010040,0,0,0,0,0,0,2524,1691,794
120010041,0,0,0,0,0,0,1635,945,672
120010042,0,0,0,0,0,0,1676,923,732
120010043,0,0,0,0,0,0,2605,1599,970
120010044,0,0,0,0,0,0,1627,946,663
120010045,0,0,0,0,0,0,2352,1305,1021
120010046,0,0,0,0,0,0,2188,1835,330
120010047,0,0,0,0,0,0,2221,1578,602
120010048,0,0,0,0,0,0,1254,830,402
120010049,0,0,0,0,0,0,2274,1895,342
120010050,0,0,0,0,0,0,1645,1352,278
120010051,0,0,0,0,0,0,2281,1455,792
120010052,0,0,0,0,0,0,1846,1125,691
120010053,0,0,0,0,0,0,2372,1449,895
120010054,0,0,0,0,0,0,1858,1280,551
120010055,0,0,0,0,0,0,1587,1229,328
120010056,0,0,0,0,0,0,1040,680,339
120010057,0,0,0,0,0,0,1898,1220,657
120010058,0,0,0,0,0,0,1893,1181,691
120010059,0,0,0,0,0,0,1570,927,625
120010060,0,0,0,0,0,0,1495,1224,255
120010061,0,0,0,0,0,0,2346,1548,773
120010062,0,0,0,0,0,0,2927,2157,734
120010063,0,0,0,0,0,0,1711,1245,447
120010064,0,0,0,0,0,0,1540,785,736
120010065,0,0,0,0,0,0,1963,696,1246
120010066,0,0,0,0,0,0,2649,1024,1592
120010067,0,0,0,0,0,0,1001,485,507
120010068,0,0,0,0,0,0,1238,704,510
120010069,0,0,0,0,0,0,1863,801,1038
120010070,0,0,0,0,0,0,1980,702,1247
120010071,0,0,0,0,0,0,1033,408,611
120030001,0,0,0,0,0,0,1770,666,1097
120030002,0,0,0,0,0,0,2209,566,1628
120030003,0,0,0,0,0,0,2441,422,2005
120030004,0,0,0,0,0,0,143,25,118
120030005,0,0,0,0,0,0,447,59,384
120030006,0,0,0,0,0,0,1208,156,1048
120030007,0,0,0,0,0,0,695,93,599
120030008,0,0,0,0,0,0,1956,258,1687
120030009,0,0,0,0,0,0,189,81,106
120050001,0,0,0,0,0,0,1239,311,910
120050002,0,0,0,0,0,0,822,150,663
120050003,0,0,0,0,0,0,1722,324,1374
120050004,0,0,0,0,0,0,482,90,385
120050005,0,0,0,0,0,0,1778,273,1482
120050006,0,0,0,0,0,0,1391,247,1128
120050007,0,0,0,0,0,0,90,24,65
120050008,0,0,0,0,0,0,101,27,73
120050009,0,0,0,0,0,0,1729,450,1252
120050010,0,0,0,0,0,0,668,179,477
120050011,0,0,0,0,0,0,1098,296,783
120050012,0,0,0,0,0,0,1392,363,1017
120050013,0,0,0,0,0,0,1746,525,1201
120050014,0,0,0,0,0,0,1532,400,1119
120050015,0,0,0,0,0,0,343,103,236
120050016,0,0,0,0,0,0,1339,368,954
120050017,0,0,0,0,0,0,2371,671,1660
120050018,0,0,0,0,0,0,2523,724,1769
120050019,0,0,0,0,0,0,2186,479,1689
120050020,0,0,0,0,0,0,1238,294,935
120050021,0,0,0,0,0,0,1156,229,915
120050022,0,0,0,0,0,0,1128,157,966
120050023,0,0,0,0,0,0,862,148,709
120050024,0,0,0,0,0,0,1560,340,1208
120050025,0,0,0,0,0,0,1625,293,1327
120050026,0,0,0,0,0,0,2220,550,1660
120050027,0,0,0,0,0,0,728,157,559
120050028,0,0,0,0,0,0,1326,327,982
120050029,0,0,0,0,0,0,2320,539,1766
120050030,0,0,0,0,0,0,2044,666,1364
120050031,0,0,0,0,0,0,1569,307,1246
120050032,0,0,0,0,0,0,2146,556,1580
120050033,0,0,0,0,0,0,2448,715,1709
120050034,0,0,0,0,0,0,1934,441,1475
120050035,0,0,0,0,0,0,1937,393,1523
120050036,0,0,0,0,0,0,2086,487,1578
120050037,0,0,0,0,0,0,1457,544,886
120050038,0,0,0,0,0,0,1985,856,1111
120050039,0,0,0,0,0,0,1236,485,743
120050040,0,0,0,0,0,0,643,239,395
120050041,0,0,0,0,0,0,765,253,504
120050042,0,0,0,0,0,0,1652,563,1067
120050043,0,0,0,0,0,0,1050,403,634
120050044,0,0,0,0,0,0,1228,1111,111
120050045,0,0,0,0,0,0,1137,889,248
120050046,0,0,0,0,0,0,872,404,457
120050047,0,0,0,0,0,0,1595,667,916
120050048,0,0,0,0,0,0,1040,401,628
120050049,0,0,0,0,0,0,2084,548,1518
120050050,0,0,0,0,0,0,1789,631,1146
120050051,0,0,0,0,0,0,1347,459,873
120050052,0,0,0,0,0,0,913,491,413
120050053,0,0,0,0,0,0,1809,468,1327
120050054,0,0,0,0,0,0,1065,321,728
120050055,0,0,0,0,0,0,1548,485,1054
120050056,0,0,0,0,0,0,1129,360,762
120050057,0,0,0,0,0,0,1133,274,854
120050058,0,0,0,0,0,0,770,198,569
120070001,0,0,0,0,0,0,1097,168,922
120070002,0,0,0,0,0,0,549,350,195
120070003,0,0,0,0,0,0,276,47,225
120070004,0,0,0,0,0,0,218,44,172
120070005,0,0,0,0,0,0,1129,419,707
120070006,0,0,0,0,0,0,292,87,199
120070007,0,0,0,0,0,0,214,75,136
120070008,0,0,0,0,0,0,313,39,271
120070009,0,0,0,0,0,0,312,34,273
120070010,0,0,0,0,0,0,657,457,198
120070011,0,0,0,0,0,0,916,228,681
120070012,0,0,0,0,0,0,623,141,479
120070013,0,0,0,0,0,0,543,75,466
120070014,0,0,0,0,0,0,1421,404,1002
120070015,0,0,0,0,0,0,792,205,568
120070016,0,0,0,0,0,0,616,276,333
120070017,0,0,0,0,0,0,313,70,239
120070018,0,0,0,0,0,0,371,66,305
120070019,0,0,0,0,0,0,517,116,395
120070020,0,0,0,0,0,0,507,129,370
120090001,0,0,0,0,0,0,1452,570,864
120090002,0,0,0,0,0,0,0,0,0
120090003,0,0,0,0,0,0,0,0,0
120090004,0,0,0,0,0,0,5,2,3
120090005,0,0,0,0,0,0,0,0,0
120090006,0,0,0,0,0,0,2234,1006,1214
120090007,0,0,0,0,0,0,701,245,449
120090008,0,0,0,0,0,0,1417,628,770
120090009,0,0,0,0,0,0,3159,1502,1618
120090010,0,0,0,0,0,0,1369,779,576
120090011,0,0,0,0,0,0,1634,601,1011
120090012,0,0,0,0,0,0,2346,835,1485
120090013,0,0,0,0,0,0,355,101,252
120090014,0,0,0,0,0,0,3543,1101,2419
120090015,0,0,0,0,0,0,2491,960,1513
120090016,0,0,0,0,0,0,2047,868,1158
120090017,0,0,0,0,0,0,2987,1454,1501
120090018,0,0,0,0,0,0,2790,934,1838
120090019,0,0,0,0,0,0,0,0,0
120090020,0,0,0,0,0,0,4741,1618,3078
120090021,0,0,0,0,0,0,3360,1385,1946
120090022,0,0,0,0,0,0,2107,1135,953
120090023,0,0,0,0,0,0,3743,1693,2002
120090024,0,0,0,0,0,0,16,7,9
120090025,0,0,0,0,0,0,1784,725,1040
120090026,0,0,0,0,0,0,1567,750,809
120090027,0,0,0,0,0,0,2,1,1
120090028,0,0,0,0,0,0,0,0,0
120090029,0,0,0,0,0,0,2,1,1
120090030,0,0,0,0,0,0,867,407,454
120090031,0,0,0,0,0,0,0,0,0
120090032,0,0,0,0,0,0,2101,878,1190
120090033,0,0,0,0,0,0,817,373,432
120090034,0,0,0,0,0,0,1654,487,1149
120090035,0,0,0,0,0,0,0,0,0
120090036,0,0,0,0,0,0,2131,929,1180
120090037,0,0,0,0,0,0,1307,1283,23
120090038,0,0,0,0,0,0,1678,653,1006
120090039,0,0,0,0,0,0,686,338,336
120090040,0,0,0,0,0,0,889,369,516
120090041,0,0,0,0,0,0,0,0,0
120090042,0,0,0,0,0,0,3,1,2
120090043,0,0,0,0,0,0,1222,625,578
120090044,0,0,0,0,0,0,526,229,293
120090045,0,0,0,0,0,0,2783,1040,1722
120090046,0,0,0,0,0,0,1127,499,616
120090047,0,0,0,0,0,0,1084,567,506
120090048,0,0,0,0,0,0,2063,1469,588
120090049,0,0,0,0,0,0,2012,898,1100
120090050,0,0,0,0,0,0,184,87,95
120090051,0,0,0,0,0,0,230,108,120
120090052,0,0,0,0,0,0,135,64,70
120090053,0,0,0,0,0,0,52,24,27
120090054,0,0,0,0,0,0,1636,675,950
120090055,0,0,0,0,0,0,907,389,508
120090056,0,0,0,0,0,0,2,1,1
120090057,0,0,0,0,0,0,0,0,0
120090058,0,0,0,0,0,0,14,6,8
120090059,0,0,0,0,0,0,23,10,13
120090060,0,0,0,0,0,0,977,458,508
120090061,0,0,0,0,0,0,1155,481,655
120090062,0,0,0,0,0,0,2346,917,1412
120090063,0,0,0,0,0,0,2,1,1
120090064,0,0,0,0,0,0,564,240,318
120090065,0,0,0,0,0,0,708,301,399
120090066,0,0,0,0,0,0,0,0,0
120090067,0,0,0,0,0,0,0,0,0
120090068,0,0,0,0,0,0,0,0,0
120090069,0,0,0,0,0,0,1210,535,661
120090070,0,0,0,0,0,0,1880,857,1006
120090071,0,0,0,0,0,0,2556,882,1655
120090072,0,0,0,0,0,0,1517,784,716
120090073,0,0,0,0,0,0,4550,1932,2560
120090074,0,0,0,0,0,0,2335,1042,1269
120090075,0,0,0,0,0,0,1820,748,1053
120090076,0,0,0,0,0,0,2683,1088,1575
120090077,0,0,0,0,0,0,1518,632,864
120090078,0,0,0,0,0,0,181,92,88
120090079,0,0,0,0,0,0,2520,1235,1263
120090080,0,0,0,0,0,0,785,560,222
120090081,0,0,0,0,0,0,655,483,165
120090082,0,0,0,0,0,0,276,164,111
120090083,0,0,0,0,0,0,395,236,158
120090084,0,0,0,0,0,0,770,364,399
