Geography,Total
1000000US150010201001000,1
1000000US150010201001001,104
1000000US150010201001002,14
1000000US150010201001003,11
1000000US150010201001004,1
1000000US150010201001005,23
1000000US150010201001006,20
1000000US150010201001007,0
1000000US150010201001008,0
1000000US150010201001009,0
1000000US150010201001010,0
1000000US150010201001011,0
1000000US150010201001012,0
1000000US150010201001013,0
1000000US150010201001014,0
1000000US150010201001015,0
1000000US150010201001016,2
1000000US150010201001017,0
1000000US150010201001018,0
1000000US150010201001019,0
1000000US150010201001020,0
1000000US150010201001021,0
1000000US150010201001022,0
1000000US150010201001023,4
1000000US150010201001024,0
1000000US150010201001025,0
1000000US150010201001026,0
1000000US150010201001027,0
1000000US150010201001028,0
1000000US150010201001029,0
1000000US150010201001030,0
1000000US150010201001031,0
1000000US150010201001032,0
1000000US150010201001033,0
1000000US150010201001034,3
1000000US150010201001035,0
1000000US150010201001036,0
1000000US150010201001037,0
1000000US150010201001038,0
1000000US150010201001039,0
1000000US150010201001040,0
1000000US150010201001041,0
1000000US150010201001042,0
1000000US150010201001043,0
1000000US150010201001044,0
1000000US150010201001045,0
1000000US150010201001046,0
1000000US150010201001047,2
1000000US150010201001048,0
1000000US150010201001049,0
1000000US150010201001050,0
1000000US150010201001051,0
1000000US150010201001052,0
1000000US150010201001053,0
1000000US150010201001054,0
1000000US150010201001055,0
1000000US150010201001056,2
1000000US150010201001057,0
1000000US150010201001058,3
1000000US150010201001059,0
1000000US150010201001060,0
1000000US150010201001061,0
1000000US150010201001062,0
1000000US150010201001063,0
1000000US150010201001064,0
1000000US150010201001065,0
1000000US150010201001066,0
1000000US150010201001067,0
1000000US150010201001068,0
1000000US150010201001069,0
1000000US150010201001070,6
1000000US150010201001071,0
1000000US150010201001072,0
1000000US150010201001073,0
1000000US150010201001074,0
1000000US150010201001075,5
1000000US150010201001076,0
1000000US150010201001077,0
1000000US150010201001078,0
1000000US150010201001079,0
1000000US150010201001080,9
1000000US150010201001081,0
1000000US150010201001082,0
1000000US150010201001083,0
1000000US150010201001084,0
1000000US150010201001085,0
1000000US150010201001086,0
1000000US150010201001087,0
1000000US150010201001088,0
1000000US150010201001089,0
1000000US150010201001090,0
1000000US150010201001091,0
1000000US150010201001092,0
1000000US150010201001093,0
1000000US150010201001094,0
1000000US150010201001095,0
1000000US150010201001096,0
1000000US150010201001097,0
1000000US150010201001098,3
1000000US150010201001099,0
1000000US150010201001100,0
1000000US150010201001101,0
1000000US150010201001102,0
1000000US150010201001103,2
1000000US150010201001104,0
1000000US150010201001105,0
1000000US150010201001106,0
1000000US150010201001107,0
1000000US150010201001108,0
1000000US150010201001109,0
1000000US150010201001110,5
1000000US150010201001111,2
1000000US150010201001112,0
1000000US150010201001113,0
1000000US150010201001114,2
1000000US150010201001115,7
1000000US150010201001116,0
1000000US150010201001117,0
1000000US150010201001118,0
1000000US150010201001119,0
1000000US150010201001120,0
1000000US150010201001121,0
1000000US150010201001122,0
1000000US150010201001123,0
1000000US150010201001124,0
1000000US150010201001125,0
1000000US150010201001126,0
1000000US150010201001127,0
1000000US150010201001128,0
1000000US150010201001129,0
1000000US150010201001130,0
1000000US150010201001131,1
1000000US150010201001132,2
1000000US150010201001133,2
1000000US150010201001134,0
1000000US150010201001135,0
1000000US150010201001136,0
1000000US150010201001137,0
1000000US150010201001138,0
1000000US150010201001139,0
