Geography,Total
1000000US160010001001000,22
1000000US160010001001001,10
1000000US160010001001002,0
1000000US160010001001003,35
1000000US160010001001004,33
1000000US160010001001005,16
1000000US160010001001006,24
1000000US160010001001007,0
1000000US160010001001008,2
1000000US160010001001009,2
1000000US160010001001010,18
1000000US160010001001011,0
1000000US160010001001012,0
1000000US160010001001013,80
1000000US160010001001014,17
1000000US160010001001015,12
1000000US160010001001016,29
1000000US160010001001017,31
1000000US160010001001018,45
1000000US160010001001019,20
1000000US160010001001020,30
1000000US160010001001021,7
1000000US160010001001022,0
1000000US160010001001023,21
1000000US160010001001024,68
1000000US160010001001025,1
1000000US160010001001026,29
1000000US160010001001027,26
1000000US160010001001028,32
1000000US160010001001029,36
1000000US160010001001030,38
1000000US160010001001031,24
1000000US160010001001032,28
1000000US160010001001033,0
1000000US160010001001034,0
1000000US160010001001035,25
1000000US160010001001036,63
1000000US160010001001037,5
1000000US160010001001038,0
1000000US160010001001039,18
1000000US160010001001040,3
1000000US160010001001041,0
1000000US160010001001042,1
1000000US160010001001043,46
1000000US160010001001044,12
1000000US160010001001045,0
1000000US160010001001046,0
1000000US160010001001047,0
1000000US160010001001048,0
1000000US160010001001049,0
1000000US160010001001050,0
1000000US160010001001051,37
1000000US160010001001052,4
1000000US160010001001053,0
1000000US160010001001054,8
1000000US160010001001055,0
1000000US160010001001056,0
1000000US160010001001057,5
1000000US160010001001058,2
1000000US160010001001059,0
1000000US160010001001060,0
1000000US160010001002000,0
1000000US160010001002001,0
1000000US160010001002002,0
1000000US160010001002003,0
1000000US160010001002004,0
1000000US160010001002005,0
1000000US160010001002006,0
1000000US160010001002007,0
1000000US160010001002008,1
1000000US160010001002009,6
1000000US160010001002010,17
1000000US160010001002011,27
1000000US160010001002012,6
1000000US160010001002013,0
1000000US160010001002014,0
1000000US160010001002015,56
1000000US160010001002016,17
1000000US160010001002017,7
1000000US160010001002018,0
1000000US160010001002019,0
1000000US160010001002020,0
1000000US160010001002021,0
1000000US160010001002022,0
1000000US160010001002023,17
1000000US160010001002024,1
1000000US160010001002025,0
1000000US160010001002026,50
1000000US160010001002027,37
1000000US160010001002028,0
1000000US160010001002029,0
1000000US160010001002030,28
1000000US160010001002031,0
1000000US160010001002032,385
1000000US160010001002033,0
1000000US160010001002034,55
1000000US160010001002035,0
1000000US160010001002036,0
1000000US160010001002037,9
1000000US160010001002038,0
1000000US160010001002039,0
1000000US160010001002040,0
1000000US160010001002041,29
1000000US160010001002042,0
1000000US160010001002043,0
1000000US160010001002044,2
1000000US160010001002045,0
1000000US160010001002046,1
1000000US160010001002047,0
1000000US160010001002048,23
1000000US160010001002049,0
1000000US160010001002050,0
1000000US160010001002051,2
1000000US160010001002052,0
1000000US160010001002053,0
1000000US160010001002054,0
1000000US160010001002055,0
1000000US160010001002056,3
1000000US160010001002057,0
1000000US160010001002058,0
1000000US160010001002059,0
1000000US160010001002060,0
1000000US160010001002061,0
1000000US160010001002062,0
1000000US160010001002063,4
1000000US160010001002064,14
1000000US160010001002065,0
1000000US160010001002066,0
1000000US160010001002067,0
1000000US160010001002068,0
1000000US160010001002069,0
1000000US160010001002070,0
1000000US160010001003000,12
1000000US160010001003001,26
1000000US160010001003002,42
1000000US160010001003003,40
1000000US160010001003004,11
1000000US160010001003005,19
1000000US160010001003006,0
1000000US160010001003007,79
1000000US160010001003008,8
1000000US160010001003009,0
1000000US160010001003010,4
1000000US160010001003011,0
1000000US160010001003012,0
1000000US160010001003013,0
