Geography,Total
1000000US230010101001000,0
1000000US230010101001001,1
1000000US230010101001002,108
1000000US230010101001003,27
1000000US230010101001004,0
1000000US230010101001005,125
1000000US230010101001006,25
1000000US230010101001007,52
1000000US230010101001008,0
1000000US230010101001009,2
1000000US230010101001010,27
1000000US230010101001011,0
1000000US230010101001012,0
1000000US230010101001013,67
1000000US230010101001014,0
1000000US230010101001015,59
1000000US230010101001016,42
1000000US230010101001017,87
1000000US230010101001018,66
1000000US230010101001019,11
1000000US230010101002000,0
1000000US230010101002001,84
1000000US230010101002002,96
1000000US230010101002003,0
1000000US230010101002004,48
1000000US230010101002005,78
1000000US230010101002006,43
1000000US230010101002007,56
1000000US230010101002008,25
1000000US230010101002009,29
1000000US230010101002010,23
1000000US230010101002011,0
1000000US230010101002012,8
1000000US230010101002013,6
1000000US230010101002014,19
1000000US230010101002015,47
1000000US230010101002016,0
1000000US230010101002017,30
1000000US230010101002018,59
1000000US230010101002019,16
1000000US230010101002020,0
1000000US230010101002021,0
1000000US230010101002022,0
1000000US230010101002023,0
1000000US230010101002024,3
1000000US230010101002025,0
1000000US230010101002026,0
1000000US230010101002027,0
1000000US230010101002028,0
1000000US230010102001000,0
1000000US230010102001001,163
1000000US230010102001002,2
1000000US230010102001003,4
1000000US230010102001004,0
1000000US230010102001005,39
1000000US230010102001006,60
1000000US230010102001007,17
1000000US230010102001008,13
1000000US230010102001009,0
1000000US230010102001010,51
1000000US230010102001011,32
1000000US230010102001012,0
1000000US230010102001013,34
1000000US230010102001014,39
1000000US230010102001015,29
1000000US230010102001016,50
1000000US230010102001017,99
1000000US230010102001018,64
1000000US230010102001019,35
1000000US230010102001020,31
1000000US230010102002000,9
1000000US230010102002001,15
1000000US230010102002002,0
1000000US230010102002003,0
1000000US230010102002004,8
1000000US230010102002005,23
1000000US230010102002006,9
1000000US230010102002007,15
1000000US230010102002008,26
1000000US230010102002009,9
1000000US230010102002010,11
1000000US230010102002011,4
1000000US230010102002012,0
1000000US230010102002013,0
1000000US230010102002014,0
1000000US230010102002015,259
1000000US230010102002016,0
1000000US230010102002017,34
1000000US230010102002018,0
1000000US230010102002019,267
1000000US230010102002020,17
1000000US230010102002021,8
1000000US230010102002022,0
1000000US230010102002023,0
1000000US230010102002024,44
1000000US230010102002025,0
1000000US230010102002026,21
1000000US230010102002027,28
1000000US230010102002028,496
1000000US230010102002029,23
1000000US230010102002030,41
1000000US230010102002031,14
1000000US230010102003000,0
1000000US230010102003001,0
1000000US230010102003002,102
1000000US230010102003003,0
1000000US230010102003004,6
1000000US230010102003005,71
1000000US230010102003006,19
1000000US230010102003007,88
1000000US230010102003008,0
1000000US230010102003009,27
1000000US230010102003010,24
1000000US230010102003011,9
1000000US230010102003012,4
1000000US230010102003013,2
1000000US230010102003014,0
1000000US230010102003015,14
1000000US230010102003016,0
1000000US230010102003017,0
1000000US230010102003018,0
1000000US230010102003019,0
1000000US230010102003020,11
1000000US230010102003021,8
1000000US230010102003022,0
1000000US230010102003023,0
1000000US230010102003024,0
1000000US230010102003025,62
1000000US230010102003026,30
1000000US230010102003027,0
1000000US230010102003028,0
1000000US230010102003029,0
1000000US230010102003030,0
1000000US230010102003031,0
1000000US230010102003032,12
1000000US230010102003033,11
1000000US230010102003034,75
1000000US230010102003035,10
1000000US230010102003036,0
1000000US230010102003037,51
1000000US230010102003038,3
1000000US230010102003039,12
1000000US230010102003040,29
1000000US230010102003041,194
1000000US230010102003042,0
1000000US230010102003043,0
1000000US230010102003044,59
1000000US230010102003045,17
1000000US230010102003046,15
1000000US230010102003047,60
1000000US230010102003048,0
1000000US230010102003049,14
1000000US230010102003050,16
1000000US230010102003051,25
1000000US230010102003052,22
1000000US230010102003053,0
1000000US230010102003054,0
1000000US230010102003055,0
1000000US230010102003056,0
1000000US230010102003057,0
1000000US230010102003058,6
1000000US230010102003059,36
1000000US230010102003060,0
1000000US230010102003061,273
1000000US230010102003062,3
1000000US230010102003063,5
1000000US230010102003064,6
1000000US230010102003065,2
1000000US230010102003066,9
1000000US230010102003067,0
1000000US230010102003068,60
1000000US230010102003069,2
1000000US230010102003070,0
1000000US230010102003071,0
1000000US230010103001000,54
1000000US230010103001001,56
1000000US230010103001002,20
1000000US230010103001003,147
1000000US230010103001004,0
1000000US230010103001005,51
1000000US230010103001006,33
1000000US230010103001007,46
1000000US230010103001008,29
1000000US230010103001009,82
1000000US230010103001010,1
1000000US230010103001011,10
1000000US230010103001012,13
1000000US230010103001013,54
1000000US230010103001014,49
1000000US230010103001015,58
1000000US230010103001016,40
1000000US230010103001017,19
1000000US230010103001018,34
1000000US230010103001019,23
1000000US230010103002000,120
1000000US230010103002001,28
1000000US230010103002002,19
1000000US230010103002003,9
1000000US230010103002004,34
1000000US230010103002005,18
1000000US230010103002006,9
1000000US230010103002007,9
1000000US230010103002008,21
1000000US230010103002009,105
1000000US230010103002010,41
1000000US230010103002011,65
1000000US230010103002012,52
1000000US230010103002013,138
1000000US230010103002014,42
1000000US230010103002015,31
1000000US230010103002016,31
1000000US230010103002017,30
1000000US230010103002018,17
1000000US230010103002019,65
1000000US230010103002020,42
1000000US230010103002021,20
1000000US230010103002022,38
1000000US230010104001000,30
1000000US230010104001001,46
1000000US230010104001002,7
1000000US230010104001003,275
1000000US230010104001004,14
1000000US230010104001005,9
1000000US230010104001006,12
1000000US230010104001007,0
1000000US230010104001008,60
1000000US230010104001009,10
1000000US230010104001010,34
1000000US230010104001011,42
1000000US230010104001012,37
1000000US230010104001013,9
1000000US230010104001014,69
1000000US230010104001015,0
1000000US230010104001016,41
1000000US230010104001017,30
