Geography,Total
1000000US240010001001000,0
1000000US240010001001001,31
1000000US240010001001002,0
1000000US240010001001003,0
1000000US240010001001004,0
1000000US240010001001005,0
1000000US240010001001006,0
1000000US240010001001007,0
1000000US240010001001008,0
1000000US240010001001009,7
1000000US240010001001010,0
1000000US240010001001011,1
1000000US240010001001012,23
1000000US240010001001013,4
1000000US240010001001014,82
1000000US240010001001015,26
1000000US240010001001016,1
1000000US240010001001017,0
1000000US240010001001018,0
1000000US240010001001019,10
1000000US240010001001020,0
1000000US240010001001021,2
1000000US240010001001022,16
1000000US240010001001023,2
1000000US240010001001024,12
1000000US240010001001025,32
1000000US240010001001026,0
1000000US240010001001027,4
1000000US240010001001028,0
1000000US240010001001029,0
1000000US240010001001030,0
1000000US240010001001031,0
1000000US240010001001032,0
1000000US240010001001033,0
1000000US240010001001034,0
1000000US240010001001035,0
1000000US240010001001036,0
1000000US240010001001037,0
1000000US240010001001038,0
1000000US240010001001039,0
1000000US240010001001040,0
1000000US240010001001041,0
1000000US240010001001042,0
1000000US240010001001043,0
1000000US240010001001044,0
1000000US240010001001045,0
1000000US240010001001046,0
1000000US240010001001047,0
1000000US240010001001048,0
1000000US240010001001049,0
1000000US240010001001050,0
1000000US240010001001051,0
1000000US240010001001052,0
1000000US240010001001053,0
1000000US240010001001054,23
1000000US240010001001055,0
1000000US240010001001056,0
1000000US240010001001057,4
1000000US240010001001058,5
1000000US240010001001059,23
1000000US240010001001060,2
1000000US240010001001061,0
1000000US240010001001062,0
1000000US240010001001063,4
1000000US240010001001064,0
1000000US240010001001065,6
1000000US240010001001066,0
1000000US240010001001067,17
1000000US240010001001068,8
1000000US240010001001069,0
1000000US240010001001070,1
1000000US240010001001071,0
1000000US240010001001072,0
1000000US240010001001073,18
1000000US240010001001074,0
1000000US240010001001075,0
1000000US240010001001076,7
1000000US240010001001077,0
1000000US240010001001078,5
1000000US240010001001079,12
1000000US240010001001080,3
1000000US240010001001081,2
1000000US240010001001082,3
1000000US240010001001083,23
1000000US240010001001084,12
1000000US240010001001085,3
1000000US240010001001086,7
1000000US240010001001087,2
1000000US240010001001088,13
1000000US240010001001089,7
1000000US240010001001090,0
1000000US240010001001091,43
1000000US240010001001092,2
1000000US240010001001093,4
1000000US240010001001094,2
1000000US240010001001095,0
1000000US240010001001096,0
