Geography,Total
1000000US320019501001000,0
1000000US320019501001001,0
1000000US320019501001002,0
1000000US320019501001003,0
1000000US320019501001004,0
1000000US320019501001005,0
1000000US320019501001006,0
1000000US320019501001007,0
1000000US320019501001008,0
1000000US320019501001009,0
1000000US320019501001010,0
1000000US320019501001011,0
1000000US320019501001012,0
1000000US320019501001013,0
1000000US320019501001014,0
1000000US320019501001015,0
1000000US320019501001016,0
1000000US320019501001017,0
1000000US320019501001018,0
1000000US320019501001019,0
1000000US320019501001020,0
1000000US320019501001021,0
1000000US320019501001022,0
1000000US320019501001023,0
1000000US320019501001024,0
1000000US320019501001025,0
1000000US320019501001026,0
1000000US320019501001027,0
1000000US320019501001028,0
1000000US320019501001029,0
1000000US320019501001030,0
1000000US320019501001031,0
1000000US320019501001032,0
1000000US320019501001033,0
1000000US320019501001034,0
1000000US320019501001035,0
1000000US320019501001036,0
1000000US320019501001037,0
1000000US320019501001038,0
1000000US320019501001039,0
1000000US320019501001040,0
1000000US320019501001041,0
1000000US320019501001042,0
1000000US320019501001043,0
1000000US320019501001044,0
1000000US320019501001045,0
1000000US320019501001046,0
1000000US320019501001047,0
1000000US320019501001048,0
1000000US320019501001049,0
1000000US320019501001050,0
1000000US320019501001051,0
1000000US320019501001052,0
1000000US320019501001053,0
1000000US320019501001054,0
1000000US320019501001055,0
1000000US320019501001056,0
1000000US320019501001057,0
1000000US320019501001058,0
1000000US320019501001059,0
1000000US320019501001060,0
1000000US320019501001061,0
1000000US320019501001062,0
1000000US320019501001063,0
1000000US320019501001064,0
1000000US320019501001065,0
1000000US320019501001066,0
1000000US320019501001067,0
1000000US320019501001068,0
1000000US320019501001069,0
1000000US320019501001070,0
1000000US320019501001071,0
1000000US320019501001072,0
1000000US320019501001073,0
1000000US320019501001074,0
1000000US320019501001075,0
1000000US320019501001076,0
1000000US320019501001077,0
1000000US320019501001078,0
1000000US320019501001079,0
1000000US320019501001080,0
1000000US320019501001081,0
1000000US320019501001082,0
1000000US320019501001083,0
1000000US320019501001084,0
1000000US320019501001085,0
1000000US320019501001086,0
1000000US320019501001087,0
1000000US320019501001088,0
1000000US320019501001089,0
1000000US320019501001090,0
1000000US320019501001091,0
1000000US320019501001092,0
1000000US320019501001093,0
1000000US320019501001094,0
1000000US320019501001095,0
1000000US320019501001096,0
1000000US320019501001097,0
1000000US320019501001098,0
1000000US320019501001099,0
1000000US320019501001100,0
1000000US320019501001101,0
1000000US320019501001102,0
1000000US320019501001103,0
1000000US320019501001104,0
1000000US320019501001105,0
1000000US320019501001106,0
1000000US320019501001107,0
1000000US320019501001108,0
1000000US320019501001109,0
1000000US320019501001110,0
1000000US320019501001111,0
1000000US320019501001112,0
1000000US320019501001113,0
1000000US320019501001114,0
1000000US320019501001115,0
1000000US320019501001116,0
1000000US320019501001117,0
1000000US320019501001118,0
1000000US320019501001119,0
1000000US320019501001120,0
1000000US320019501001121,0
1000000US320019501001122,0
1000000US320019501001123,0
1000000US320019501001124,0
1000000US320019501001125,0
1000000US320019501001126,0
1000000US320019501001127,0
1000000US320019501001128,0
1000000US320019501001129,15
1000000US320019501001130,0
1000000US320019501001131,0
1000000US320019501001132,0
1000000US320019501001133,0
1000000US320019501001134,0
1000000US320019501001135,0
1000000US320019501001136,0
1000000US320019501001137,0
1000000US320019501001138,0
1000000US320019501001139,0
1000000US320019501001140,0
1000000US320019501001141,0
1000000US320019501001142,0
1000000US320019501001143,0
1000000US320019501001144,0
1000000US320019501001145,0
1000000US320019501001146,0
1000000US320019501001147,2
1000000US320019501001148,0
1000000US320019501001149,0
1000000US320019501001150,0
1000000US320019501001151,0
1000000US320019501001152,0
1000000US320019501001153,0
1000000US320019501001154,0
1000000US320019501001155,0
1000000US320019501001156,2
1000000US320019501001157,0
1000000US320019501001158,0
1000000US320019501001159,0
1000000US320019501001160,0
1000000US320019501001161,0
1000000US320019501001162,0
1000000US320019501001163,0
1000000US320019501001164,0
1000000US320019501001165,0
1000000US320019501001166,0
1000000US320019501001167,0
1000000US320019501001168,7
1000000US320019501001169,0
1000000US320019501001170,0
1000000US320019501001171,0
1000000US320019501001172,0
1000000US320019501001173,0
1000000US320019501001174,0
1000000US320019501001175,0
1000000US320019501001176,0
1000000US320019501001177,0
1000000US320019501001178,0
1000000US320019501001179,0
1000000US320019501001180,0
1000000US320019501001181,0
1000000US320019501001182,0
1000000US320019501001183,0
1000000US320019501001184,0
1000000US320019501001185,0
1000000US320019501001186,0
1000000US320019501001187,0
