Geography,Total
1000000US330019651001000,0
1000000US330019651001001,0
1000000US330019651001002,0
1000000US330019651001003,0
1000000US330019651001004,0
1000000US330019651001005,3
1000000US330019651001006,79
1000000US330019651001007,16
1000000US330019651001008,7
1000000US330019651001009,0
1000000US330019651001010,0
1000000US330019651001011,0
1000000US330019651001012,0
1000000US330019651001013,0
1000000US330019651001014,29
1000000US330019651001015,0
1000000US330019651001016,0
1000000US330019651001017,26
1000000US330019651001018,0
1000000US330019651001019,18
1000000US330019651001020,2
1000000US330019651001021,42
1000000US330019651001022,0
1000000US330019651001023,7
1000000US330019651001024,0
1000000US330019651001025,23
1000000US330019651001026,0
1000000US330019651001027,42
1000000US330019651001028,0
1000000US330019651001029,0
1000000US330019651001030,2
1000000US330019651001031,59
1000000US330019651001032,0
1000000US330019651001033,1
1000000US330019651001034,0
1000000US330019651001035,0
1000000US330019651001036,16
1000000US330019651001037,0
1000000US330019651001038,0
1000000US330019651001039,0
1000000US330019651001040,0
1000000US330019651001041,0
1000000US330019651001042,0
1000000US330019651001043,0
1000000US330019651001044,0
1000000US330019651001045,0
1000000US330019651001046,0
1000000US330019651001047,0
1000000US330019651001048,0
1000000US330019651001049,2
1000000US330019651001050,0
1000000US330019651001051,0
1000000US330019651001052,0
1000000US330019651001053,31
1000000US330019651001054,51
1000000US330019651001055,26
1000000US330019651001056,90
1000000US330019651001057,0
1000000US330019651001058,2
1000000US330019651001059,45
1000000US330019651001060,0
1000000US330019651001061,0
1000000US330019651001062,5
1000000US330019651001063,21
1000000US330019651001064,27
1000000US330019651001065,0
1000000US330019651001066,87
1000000US330019651001067,0
1000000US330019651001068,0
1000000US330019651001069,0
1000000US330019651001070,38
1000000US330019651001071,0
1000000US330019651001072,0
1000000US330019651001073,0
1000000US330019651001074,4
1000000US330019651001075,0
1000000US330019651001076,0
1000000US330019651001077,15
1000000US330019651001078,0
1000000US330019651001079,0
1000000US330019651001080,11
1000000US330019651001081,11
1000000US330019651001082,0
1000000US330019651001083,0
1000000US330019651001084,7
1000000US330019651001085,28
1000000US330019651001086,8
1000000US330019651001087,0
1000000US330019651001088,17
1000000US330019651001089,0
1000000US330019651001090,1
1000000US330019651001091,0
1000000US330019651001092,0
1000000US330019651001093,8
1000000US330019651001094,0
1000000US330019651002000,0
1000000US330019651002001,0
1000000US330019651002002,0
1000000US330019651002003,0
1000000US330019651002004,0
1000000US330019651002005,0
1000000US330019651002006,0
1000000US330019651002007,9
1000000US330019651002008,14
1000000US330019651002009,14
1000000US330019651002010,2
1000000US330019651002011,8
1000000US330019651002012,0
1000000US330019651002013,4
1000000US330019651002014,2
1000000US330019651002015,2
1000000US330019651002016,2
1000000US330019651002017,4
1000000US330019651002018,0
1000000US330019651002019,0
1000000US330019651002020,0
1000000US330019651002021,0
1000000US330019651002022,2
1000000US330019651002023,6
1000000US330019651002024,20
1000000US330019651002025,0
1000000US330019651002026,10
1000000US330019651002027,2
1000000US330019651002028,5
1000000US330019651002029,16
1000000US330019651002030,0
1000000US330019651002031,53
1000000US330019651002032,6
1000000US330019651002033,21
1000000US330019651002034,0
1000000US330019651002035,7
1000000US330019651002036,3
