Geography,Total
1000000US380019656001000,4
1000000US380019656001001,0
1000000US380019656001002,0
1000000US380019656001003,0
1000000US380019656001004,0
1000000US380019656001005,0
1000000US380019656001006,2
1000000US380019656001007,0
1000000US380019656001008,0
1000000US380019656001009,0
1000000US380019656001010,4
1000000US380019656001011,1
1000000US380019656001012,0
1000000US380019656001013,0
1000000US380019656001014,0
1000000US380019656001015,0
1000000US380019656001016,0
1000000US380019656001017,1
1000000US380019656001018,0
1000000US380019656001019,0
1000000US380019656001020,0
1000000US380019656001021,0
1000000US380019656001022,0
1000000US380019656001023,0
1000000US380019656001024,0
1000000US380019656001025,0
1000000US380019656001026,2
1000000US380019656001027,1
1000000US380019656001028,0
1000000US380019656001029,2
1000000US380019656001030,0
1000000US380019656001031,2
1000000US380019656001032,3
1000000US380019656001033,2
1000000US380019656001034,3
1000000US380019656001035,0
1000000US380019656001036,0
1000000US380019656001037,0
1000000US380019656001038,2
1000000US380019656001039,1
1000000US380019656001040,5
1000000US380019656001041,5
1000000US380019656001042,5
1000000US380019656001043,2
1000000US380019656001044,5
1000000US380019656001045,8
1000000US380019656001046,4
1000000US380019656001047,3
1000000US380019656001048,4
1000000US380019656001049,4
1000000US380019656001050,0
1000000US380019656001051,1
1000000US380019656001052,2
1000000US380019656001053,0
1000000US380019656001054,2
1000000US380019656001055,2
1000000US380019656001056,5
1000000US380019656001057,4
1000000US380019656001058,4
1000000US380019656001059,3
1000000US380019656001060,13
1000000US380019656001061,9
1000000US380019656001062,0
1000000US380019656001063,0
1000000US380019656001064,0
1000000US380019656001065,0
1000000US380019656001066,0
1000000US380019656001067,0
1000000US380019656001068,0
1000000US380019656001069,2
1000000US380019656001070,7
1000000US380019656001071,4
1000000US380019656001072,0
1000000US380019656001073,0
1000000US380019656001074,1
1000000US380019656001075,0
1000000US380019656001076,0
1000000US380019656001077,2
1000000US380019656001078,0
1000000US380019656001079,0
1000000US380019656001080,0
1000000US380019656001081,2
1000000US380019656001082,0
1000000US380019656001083,0
1000000US380019656001084,0
1000000US380019656001085,0
1000000US380019656001086,0
1000000US380019656001087,0
1000000US380019656001088,0
1000000US380019656001089,0
1000000US380019656001090,0
1000000US380019656001091,0
1000000US380019656001092,0
1000000US380019656001093,2
1000000US380019656001094,2
1000000US380019656001095,0
1000000US380019656001096,6
1000000US380019656001097,4
1000000US380019656001098,3
1000000US380019656001099,0
1000000US380019656001100,2
1000000US380019656001101,0
1000000US380019656001102,0
1000000US380019656001103,2
1000000US380019656001104,0
1000000US380019656001105,0
1000000US380019656001106,0
1000000US380019656001107,0
1000000US380019656001108,0
1000000US380019656001109,2
1000000US380019656001110,0
1000000US380019656001111,0
1000000US380019656001112,0
1000000US380019656001113,0
1000000US380019656001114,0
1000000US380019656001115,0
1000000US380019656001116,1
1000000US380019656001117,0
1000000US380019656001118,2
1000000US380019656001119,0
1000000US380019656001120,2
1000000US380019656001121,2
1000000US380019656001122,3
1000000US380019656001123,0
1000000US380019656001124,2
1000000US380019656001125,0
1000000US380019656001126,2
1000000US380019656001127,0
1000000US380019656001128,0
1000000US380019656001129,0
1000000US380019656001130,2
1000000US380019656001131,0
1000000US380019656001132,0
1000000US380019656001133,0
1000000US380019656001134,0
1000000US380019656001135,0
1000000US380019656001136,0
1000000US380019656001137,2
1000000US380019656001138,0
1000000US380019656001139,0
1000000US380019656001140,0
1000000US380019656001141,5
1000000US380019656001142,2
1000000US380019656001143,0
1000000US380019656001144,4
1000000US380019656001145,0
1000000US380019656001146,2
1000000US380019656001147,1
1000000US380019656001148,2
1000000US380019656001149,54
1000000US380019656001150,0
1000000US380019656001151,2
1000000US380019656001152,0
1000000US380019656001153,0
1000000US380019656001154,0
1000000US380019656001155,0
1000000US380019656001156,0
1000000US380019656001157,0
1000000US380019656001158,0
1000000US380019656001159,3
1000000US380019656001160,0
1000000US380019656001161,0
1000000US380019656001162,0
1000000US380019656001163,0
1000000US380019656001164,0
1000000US380019656001165,0
1000000US380019656001166,0
1000000US380019656001167,3
1000000US380019656001168,0
1000000US380019656001169,0
1000000US380019656001170,6
1000000US380019656001171,27
1000000US380019656001172,1
1000000US380019656001173,8
1000000US380019656001174,0
1000000US380019656001175,0
1000000US380019656001176,0
1000000US380019656001177,0
1000000US380019656001178,0
1000000US380019656001179,0
1000000US380019656001180,0
1000000US380019656001181,0
1000000US380019656001182,0
1000000US380019656001183,0
1000000US380019656001184,0
1000000US380019656001185,0
1000000US380019656001186,4
1000000US380019656001187,0
1000000US380019656001188,2
1000000US380019656001189,0
1000000US380019656001190,0
1000000US380019656001191,0
1000000US380019656001192,0
1000000US380019656001193,0
1000000US380019656001194,0
1000000US380019656001195,0
1000000US380019656001196,0
1000000US380019656001197,0
1000000US380019656001198,0
1000000US380019656001199,0
1000000US380019656001200,0
1000000US380019656001201,0
1000000US380019656001202,0
1000000US380019656001203,0
1000000US380019656001204,0
1000000US380019656001205,0
1000000US380019656001206,0
1000000US380019656001207,0
1000000US380019656001208,0
1000000US380019656001209,0
1000000US380019656001210,0
1000000US380019656001211,2
1000000US380019656001212,0
1000000US380019656001213,0
1000000US380019656001214,1
1000000US380019656001215,0
1000000US380019656001216,0
1000000US380019656001217,0
1000000US380019656001218,0
1000000US380019656001219,0
1000000US380019656001220,0
1000000US380019656001221,2
1000000US380019656001222,0
1000000US380019656001223,0
1000000US380019656001224,0
1000000US380019656001225,0
1000000US380019656001226,2
1000000US380019656001227,0
1000000US380019656001228,0
1000000US380019656001229,0
1000000US380019656001230,0
1000000US380019656001231,0
1000000US380019656001232,0
1000000US380019656001233,0
1000000US380019656001234,0
1000000US380019656001235,1
1000000US380019656001236,4
1000000US380019656001237,16
1000000US380019656001238,0
1000000US380019656001239,0
1000000US380019656001240,9
1000000US380019656001241,2
1000000US380019656001242,3
1000000US380019656001243,0
1000000US380019656001244,15
1000000US380019656001245,0
1000000US380019656001246,5
1000000US380019656001247,10
1000000US380019656001248,0
1000000US380019656001249,0
1000000US380019656001250,0
1000000US380019656001251,0
1000000US380019656001252,6
1000000US380019656001253,0
1000000US380019656001254,0
1000000US380019656001255,0
1000000US380019656001256,2
1000000US380019656001257,7
1000000US380019656001258,4
1000000US380019656001259,5
1000000US380019656001260,5
1000000US380019656001261,17
1000000US380019656001262,6
1000000US380019656001263,7
1000000US380019656001264,8
1000000US380019656001265,6
1000000US380019656001266,2
1000000US380019656001267,3
1000000US380019656001268,4
1000000US380019656001269,1
1000000US380019656001270,0
1000000US380019656001271,12
1000000US380019656001272,7
1000000US380019656001273,9
1000000US380019656001274,10
1000000US380019656001275,2
1000000US380019656001276,8
1000000US380019656001277,8
1000000US380019656001278,14
1000000US380019656001279,5
1000000US380019656001280,3
1000000US380019656001281,6
1000000US380019656001282,6
1000000US380019656001283,11
1000000US380019656001284,6
