GEOID10,Tot_2018_ltg,Dem_2018_ltg,Rep_2018_ltg,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
400011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,109,249
400012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,86,203
400013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,46,109
400014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,78,204
400015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,60,157
400016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,137,349
400017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489,152,337
400018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,126,245
4000110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,49,94
4000111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,60,170
4000112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,93,323
4000113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,104,237
4000114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,231,333
4000116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,82,285
4000117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,242,418
4000118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,174,383
4000119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765,223,542
40003110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,22,167
40003120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,30,135
40003130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,56,208
40003140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,76,307
40003210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,17,142
40003220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,67,240
40003230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,58,182
40003240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,25,163
40003310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,34,295
40003320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,26,184
400051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,84,289
400052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,69,279
400053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,102,78
400054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,44,151
400055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,85,162
400056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,59,172
400057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,117,330
400058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658,202,456
400059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,135,363
4000510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,34,140
4000511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613,214,399
4000512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,87,295
4000513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,116,292
4000514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,22,105
4000711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,20,167
4000713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,8,143
4000721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,7,137
4000723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,100,649
4000725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,25,199
4000726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,5,68
4000731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,17,257
4000733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662,83,579
40009110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,75,264
40009111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,118,264
40009112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,116,252
40009115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,14,57
40009141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734,134,600
40009231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,240,910
40009235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172,282,890
40009242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,79,225
40009320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,130,421
40009332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1253,192,1061
40009333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,217,728
40009343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,28,100
400112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,130,680
400117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681,173,508
4001110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,91,260
4001111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,178,189
4001112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,136,459
4001114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,50,209
4001116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,15,112
4001117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577,184,393
4001120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,46,232
4001122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,8,59
400131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584,207,377
400133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,127,301
400134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,205,311
400135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449,168,281
400136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,179,208
400137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,155,362
400138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726,198,528
4001310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,128,171
4001311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,67,124
4001312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,88,240
4001313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,154,410
4001314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,101,210
4001315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,178,339
4001316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,76,202
4001317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,226,494
4001318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899,293,606
4001319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,103,255
4001320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,262,487
