GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_ltg,Dem_2018_ltg,Rep_2018_ltg,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres
440010301001,949,603,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010301002,478,311,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010301003,731,473,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010301004,634,413,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010302001,624,395,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010302002,701,441,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010302003,537,334,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010303001,848,510,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010303002,1029,613,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010303003,916,553,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010304001,710,394,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010304002,1001,589,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010304003,720,446,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010305001,299,210,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010305002,471,302,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010305003,458,321,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010306011,367,235,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010306012,768,458,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010306013,605,361,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010306021,583,376,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010306022,530,339,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010306023,700,447,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010306024,315,205,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010307001,413,281,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010307002,431,281,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010307003,378,245,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010307004,619,399,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010308001,300,199,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010308002,606,401,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010308003,414,262,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
