Geography,Total
1000000US440010301001000,12
1000000US440010301001001,14
1000000US440010301001002,4
1000000US440010301001003,23
1000000US440010301001004,9
1000000US440010301001005,10
1000000US440010301001006,20
1000000US440010301001007,19
1000000US440010301001008,108
1000000US440010301001009,11
1000000US440010301001010,7
1000000US440010301001011,0
1000000US440010301001012,0
1000000US440010301001013,359
1000000US440010301001014,21
1000000US440010301001015,18
1000000US440010301001016,25
1000000US440010301001017,12
1000000US440010301001018,16
1000000US440010301001019,20
1000000US440010301001020,20
1000000US440010301001021,13
1000000US440010301001022,20
1000000US440010301001023,29
1000000US440010301001024,22
1000000US440010301001025,15
1000000US440010301001026,19
1000000US440010301001027,9
1000000US440010301001028,19
1000000US440010301001029,19
1000000US440010301001030,22
1000000US440010301001031,38
1000000US440010301001032,11
1000000US440010301001033,0
1000000US440010301001034,15
1000000US440010301001035,0
1000000US440010301001036,90
1000000US440010301002000,191
1000000US440010301002001,19
1000000US440010301002002,13
1000000US440010301002003,16
1000000US440010301002004,14
1000000US440010301002005,17
1000000US440010301002006,23
1000000US440010301002007,17
1000000US440010301002008,20
1000000US440010301002009,8
1000000US440010301002010,18
1000000US440010301002011,0
1000000US440010301002012,10
1000000US440010301002013,36
1000000US440010301002014,18
1000000US440010301002015,32
1000000US440010301002016,31
1000000US440010301002017,15
1000000US440010301002018,8
1000000US440010301002019,21
1000000US440010301002020,0
1000000US440010301002021,66
1000000US440010301002022,0
1000000US440010301003000,207
1000000US440010301003001,33
1000000US440010301003002,12
1000000US440010301003003,17
1000000US440010301003004,17
1000000US440010301003005,26
1000000US440010301003006,32
1000000US440010301003007,8
1000000US440010301003008,19
1000000US440010301003009,10
1000000US440010301003010,33
1000000US440010301003011,59
1000000US440010301003012,13
1000000US440010301003013,36
1000000US440010301003014,34
1000000US440010301003015,37
1000000US440010301003016,32
1000000US440010301003017,119
1000000US440010301003018,11
1000000US440010301003019,21
1000000US440010301003020,15
1000000US440010301003021,0
1000000US440010301003022,15
1000000US440010301003023,18
1000000US440010301003024,14
1000000US440010301003025,15
1000000US440010301003026,13
1000000US440010301003027,4
1000000US440010301003028,18
1000000US440010301003029,13
1000000US440010301003030,0
1000000US440010301003031,0
1000000US440010301003032,0
1000000US440010301004000,17
1000000US440010301004001,13
1000000US440010301004002,8
1000000US440010301004003,16
1000000US440010301004004,27
1000000US440010301004005,16
1000000US440010301004006,13
1000000US440010301004007,15
1000000US440010301004008,7
1000000US440010301004009,12
1000000US440010301004010,27
1000000US440010301004011,3
1000000US440010301004012,20
1000000US440010301004013,28
1000000US440010301004014,19
1000000US440010301004015,21
1000000US440010301004016,22
1000000US440010301004017,232
1000000US440010301004018,0
1000000US440010301004019,6
1000000US440010301004020,15
1000000US440010301004021,25
1000000US440010301004022,0
1000000US440010301004023,0
1000000US440010301004024,35
1000000US440010301004025,12
1000000US440010301004026,37
1000000US440010301004027,20
1000000US440010301004028,19
1000000US440010301004029,28
