Geography,Total
1000000US460039736001000,1
1000000US460039736001001,3
1000000US460039736001002,3
1000000US460039736001003,2
1000000US460039736001004,0
1000000US460039736001005,0
1000000US460039736001006,2
1000000US460039736001007,0
1000000US460039736001008,1
1000000US460039736001009,3
1000000US460039736001010,0
1000000US460039736001011,0
1000000US460039736001012,0
1000000US460039736001013,4
1000000US460039736001014,1
1000000US460039736001015,0
1000000US460039736001016,0
1000000US460039736001017,0
1000000US460039736001018,2
1000000US460039736001019,0
1000000US460039736001020,3
1000000US460039736001021,3
1000000US460039736001022,0
1000000US460039736001023,5
1000000US460039736001024,2
1000000US460039736001025,0
1000000US460039736001026,2
1000000US460039736001027,2
1000000US460039736001028,0
1000000US460039736001029,1
1000000US460039736001030,0
1000000US460039736001031,0
1000000US460039736001032,0
1000000US460039736001033,2
1000000US460039736001034,2
1000000US460039736001035,0
1000000US460039736001036,0
1000000US460039736001037,0
1000000US460039736001038,0
1000000US460039736001039,4
1000000US460039736001040,0
1000000US460039736001041,0
1000000US460039736001042,2
1000000US460039736001043,2
1000000US460039736001044,2
1000000US460039736001045,4
1000000US460039736001046,0
1000000US460039736001047,4
1000000US460039736001048,0
1000000US460039736001049,0
1000000US460039736001050,0
1000000US460039736001051,1
1000000US460039736001052,2
1000000US460039736001053,2
1000000US460039736001054,0
1000000US460039736001055,4
1000000US460039736001056,2
1000000US460039736001057,2
1000000US460039736001058,2
1000000US460039736001059,0
1000000US460039736001060,5
1000000US460039736001061,0
1000000US460039736001062,0
1000000US460039736001063,0
1000000US460039736001064,4
1000000US460039736001065,3
1000000US460039736001066,0
1000000US460039736001067,0
1000000US460039736001068,3
1000000US460039736001069,0
1000000US460039736001070,2
1000000US460039736001071,0
1000000US460039736001072,3
1000000US460039736001073,0
1000000US460039736001074,0
1000000US460039736001075,0
1000000US460039736001076,0
1000000US460039736001077,0
1000000US460039736001078,5
1000000US460039736001079,0
1000000US460039736001080,0
1000000US460039736001081,0
1000000US460039736001082,0
1000000US460039736001083,0
1000000US460039736001084,1
1000000US460039736001085,0
1000000US460039736001086,2
1000000US460039736001087,0
1000000US460039736001088,2
1000000US460039736001089,10
1000000US460039736001090,0
1000000US460039736001091,1
1000000US460039736001092,0
1000000US460039736001093,0
1000000US460039736001094,0
1000000US460039736001095,1
1000000US460039736001096,0
1000000US460039736001097,0
1000000US460039736001098,1
1000000US460039736001099,0
