GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
470010008,0,0,0,1313,290,1004
470010010,0,0,0,330,79,247
470010012,0,0,0,321,120,198
470010016,0,0,0,944,618,314
470010024,0,0,0,2950,839,2063
470010028,0,0,0,2185,694,1466
470010032,0,0,0,1055,313,722
470010036,0,0,0,656,182,466
470010040,0,0,0,866,224,631
470010044,0,0,0,2003,887,1099
470010048,0,0,0,1137,322,790
470010052,0,0,0,1327,356,952
470010056,0,0,0,1668,737,901
470010060,0,0,0,998,503,474
470010064,0,0,0,442,165,270
470010068,0,0,0,1304,367,923
470010072,0,0,0,693,194,480
470010076,0,0,0,891,406,471
470010080,0,0,0,968,337,614
470010084,0,0,0,834,249,570
470010088,0,0,0,504,172,325
470010092,0,0,0,1625,701,889
470010096,0,0,0,891,385,484
470010100,0,0,0,69,38,31
470010104,0,0,0,982,260,705
470010108,0,0,0,1542,671,846
470010112,0,0,0,542,163,371
470010114,0,0,0,1635,688,925
470010116,0,0,0,895,436,444
470030124,0,0,0,1387,334,1031
470030128,0,0,0,767,243,506
470030132,0,0,0,835,231,590
470030144,0,0,0,731,227,499
470030156,0,0,0,1507,687,790
470030160,0,0,0,985,483,483
470030164,0,0,0,1314,339,957
470030168,0,0,0,549,180,354
470030176,0,0,0,567,152,410
470030180,0,0,0,579,145,424
470030188,0,0,0,495,107,382
470030196,0,0,0,613,157,444
470030204,0,0,0,961,308,642
470030208,0,0,0,1116,617,481
470030212,0,0,0,698,183,498
470030220,0,0,0,1336,369,940
470030224,0,0,0,462,134,322
470030225,0,0,0,605,131,464
470050232,0,0,0,1037,418,601
470050252,0,0,0,1252,509,719
470050296,0,0,0,1075,399,658
470050304,0,0,0,1072,454,593
470050308,0,0,0,1022,407,590
470050312,0,0,0,1021,458,535
470070316,0,0,0,184,73,105
470070320,0,0,0,136,77,59
470070324,0,0,0,403,100,286
470070328,0,0,0,556,119,425
470070332,0,0,0,253,59,191
470070336,0,0,0,449,135,304
470070340,0,0,0,299,102,190
470070344,0,0,0,516,126,382
470070348,0,0,0,393,63,325
470070352,0,0,0,309,135,162
470070354,0,0,0,368,160,205
470070356,0,0,0,141,41,92
470070358,0,0,0,467,192,268
470070359,0,0,0,68,16,52
470070360,0,0,0,242,119,120
470090376,0,0,0,2249,708,1505
470090378,0,0,0,35,14,21
470090380,0,0,0,964,636,319
470090384,0,0,0,853,193,647
470090388,0,0,0,3071,799,2222
470090392,0,0,0,1357,348,988
470090394,0,0,0,51,16,35
470090395,0,0,0,67,11,56
470090396,0,0,0,1628,603,986
470090398,0,0,0,109,39,70
470090400,0,0,0,1391,409,941
470090404,0,0,0,750,219,526
470090406,0,0,0,797,190,600
470090408,0,0,0,1393,466,905
470090410,0,0,0,13,3,10
470090412,0,0,0,1201,437,729
470090416,0,0,0,98,19,79
470090417,0,0,0,1522,387,1113
470090424,0,0,0,724,179,534
470090425,0,0,0,367,73,291
470090428,0,0,0,77,35,39
470090432,0,0,0,1701,399,1275
470090436,0,0,0,1414,353,1041
470090440,0,0,0,1854,545,1287
470090444,0,0,0,1632,444,1168
470090446,0,0,0,1182,343,830
470090447,0,0,0,58,10,47
470090448,0,0,0,1084,413,654
470090452,0,0,0,2056,649,1375
470090456,0,0,0,2125,686,1413
470090460,0,0,0,910,359,535
470090461,0,0,0,408,134,263
470090464,0,0,0,653,190,448
470090466,0,0,0,120,33,82
470090468,0,0,0,442,130,304
470090472,0,0,0,3286,878,2352
470090476,0,0,0,1126,323,786
470090480,0,0,0,1711,382,1294
470090488,0,0,0,1410,371,1014
470090492,0,0,0,817,315,491
470090494,0,0,0,181,62,117
470090496,0,0,0,397,111,278
470090498,0,0,0,49,12,37
470090500,0,0,0,1638,391,1224
470090504,0,0,0,1009,297,700
470090505,0,0,0,242,74,165
470090508,0,0,0,404,104,296
470090512,0,0,0,1724,542,1168
470090516,0,0,0,757,205,543
470090519,0,0,0,1827,484,1296
470090520,0,0,0,711,230,472
470110524,0,0,0,1343,301,1022
470110528,0,0,0,3347,652,2662
470110532,0,0,0,2055,378,1663
470110536,0,0,0,4118,970,3113
470110544,0,0,0,2651,645,1971
470110556,0,0,0,2202,711,1452
470110564,0,0,0,2877,641,2208
470110572,0,0,0,2281,480,1774
470110576,0,0,0,3018,699,2269
470110580,0,0,0,2265,674,1560
470110584,0,0,0,1057,494,547
470110592,0,0,0,1508,296,1186
470110600,0,0,0,1184,312,851
470110604,0,0,0,939,153,763
470110608,0,0,0,1889,404,1450
470110616,0,0,0,3442,984,2419
470110618,0,0,0,2015,563,1423
470130644,0,0,0,1137,347,770
470130648,0,0,0,44,26,16
470130652,0,0,0,223,61,152
470130656,0,0,0,414,121,283
470130660,0,0,0,693,173,507
470130668,0,0,0,727,192,529
470130672,0,0,0,969,342,596
470130678,0,0,0,263,66,193
470130680,0,0,0,663,177,477
470130684,0,0,0,363,98,255
470130688,0,0,0,1015,288,714
470130692,0,0,0,1197,332,853
470130696,0,0,0,882,314,561
470130700,0,0,0,337,76,256
470130704,0,0,0,345,119,218
470130708,0,0,0,304,102,191
470130712,0,0,0,707,232,460
470130720,0,0,0,1188,347,828
470130724,0,0,0,271,85,179
470130728,0,0,0,688,272,398
470130732,0,0,0,198,97,99
470150740,0,0,0,442,150,284
470150748,0,0,0,864,313,533
470150752,0,0,0,206,89,107
470150756,0,0,0,280,91,181
470150760,0,0,0,213,93,117
470150764,0,0,0,265,116,145
470150768,0,0,0,1227,394,809
470150772,0,0,0,880,408,451
470150776,0,0,0,1080,357,695
470170788,0,0,0,1752,586,1136
470170792,0,0,0,1138,358,761
470170800,0,0,0,516,130,375
470170804,0,0,0,208,43,160
470170808,0,0,0,182,64,110
470170812,0,0,0,685,287,385
470170816,0,0,0,573,242,324
470170820,0,0,0,126,57,64
470170832,0,0,0,306,64,232
470170836,0,0,0,144,53,88
470170840,0,0,0,722,274,436
470170844,0,0,0,779,344,421
470170848,0,0,0,314,103,197
470170852,0,0,0,339,124,213
470170856,0,0,0,148,30,117
470170860,0,0,0,740,281,452
470170864,0,0,0,106,32,71
470170868,0,0,0,1190,329,842
470170872,0,0,0,624,248,369
470170876,0,0,0,425,147,268
470170880,0,0,0,497,156,331
470170884,0,0,0,132,28,103
470190892,0,0,0,1167,309,839
470190896,0,0,0,1284,308,954
470190900,0,0,0,915,234,667
470190904,0,0,0,176,69,105
470190908,0,0,0,1461,375,1078
470190912,0,0,0,788,197,579
470190916,0,0,0,2708,766,1909
470190920,0,0,0,890,360,510
470190924,0,0,0,1513,446,1034
470190928,0,0,0,1655,359,1275
470190932,0,0,0,833,226,592
470190936,0,0,0,271,69,199
470190944,0,0,0,523,92,420
470190952,0,0,0,583,155,414
470190956,0,0,0,1397,280,1101
470190960,0,0,0,515,101,403
470190964,0,0,0,1161,272,871
470190968,0,0,0,857,204,640
470190972,0,0,0,1314,326,972
470190976,0,0,0,250,65,179
470190980,0,0,0,1508,374,1111
470210988,0,0,0,2143,839,1271
470210996,0,0,0,2381,677,1675
470211000,0,0,0,3291,931,2306
470211004,0,0,0,46,13,32
470211008,0,0,0,1642,495,1129
470211010,0,0,0,972,289,668
470211012,0,0,0,743,268,458
470211016,0,0,0,2018,757,1231
470211020,0,0,0,3192,1229,1932
470231032,0,0,0,404,109,289
470231040,0,0,0,334,97,237
470231044,0,0,0,303,95,203
470231048,0,0,0,457,120,333
470231052,0,0,0,730,214,509
