Geography,Total
1000000US500019601001000,101
1000000US500019601001001,0
1000000US500019601001002,79
1000000US500019601001003,0
1000000US500019601001004,0
1000000US500019601001005,7
1000000US500019601001006,38
1000000US500019601001007,0
1000000US500019601001008,0
1000000US500019601001009,38
1000000US500019601001010,0
1000000US500019601001011,2
1000000US500019601001012,3
1000000US500019601001013,140
1000000US500019601001014,2
1000000US500019601001015,0
1000000US500019601001016,0
1000000US500019601001017,2
1000000US500019601001018,0
1000000US500019601001019,5
1000000US500019601001020,0
1000000US500019601001021,6
1000000US500019601001022,2
1000000US500019601001023,0
1000000US500019601001024,0
1000000US500019601001025,63
1000000US500019601001026,0
1000000US500019601001027,6
1000000US500019601001028,3
1000000US500019601001029,2
1000000US500019601001030,16
1000000US500019601001031,0
1000000US500019601001032,86
1000000US500019601001033,7
1000000US500019601001034,0
1000000US500019601001035,2
1000000US500019601001036,0
1000000US500019601001037,3
1000000US500019601001038,2
1000000US500019601001039,24
1000000US500019601001040,34
1000000US500019601001041,13
1000000US500019601001042,2
1000000US500019601001043,3
1000000US500019601001044,0
1000000US500019601001045,18
1000000US500019601001046,27
1000000US500019601001047,31
1000000US500019601001048,7
1000000US500019601001049,0
1000000US500019601001050,0
1000000US500019601001051,8
1000000US500019601001052,9
1000000US500019601002000,11
1000000US500019601002001,0
1000000US500019601002002,15
1000000US500019601002003,13
1000000US500019601002004,15
1000000US500019601002005,0
1000000US500019601002006,25
1000000US500019601002007,149
1000000US500019601002008,29
1000000US500019601002009,1
1000000US500019601002010,43
1000000US500019601002011,1
1000000US500019601002012,13
1000000US500019601002013,56
1000000US500019601002014,0
1000000US500019601002015,0
1000000US500019601002016,2
1000000US500019601002017,0
1000000US500019601002018,0
1000000US500019601002019,0
1000000US500019601002020,24
1000000US500019601002021,13
1000000US500019601002022,0
1000000US500019601002023,29
1000000US500019601002024,16
1000000US500019601002025,0
1000000US500019601002026,0
1000000US500019601002027,19
1000000US500019601002028,0
1000000US500019601002029,13
1000000US500019601002030,4
1000000US500019601002031,8
1000000US500019601002032,12
1000000US500019601002033,12
1000000US500019601002034,14
1000000US500019601002035,4
1000000US500019601002036,22
1000000US500019601003000,0
1000000US500019601003001,6
1000000US500019601003002,0
1000000US500019601003003,36
1000000US500019601003004,0
1000000US500019601003005,34
1000000US500019601003006,7
1000000US500019601003007,46
1000000US500019601003008,27
1000000US500019601003009,0
1000000US500019601003010,32
1000000US500019601003011,2
1000000US500019601003012,10
1000000US500019601003013,2
1000000US500019601003014,20
1000000US500019601003015,0
1000000US500019601003016,65
1000000US500019601003017,0
1000000US500019601003018,0
1000000US500019601003019,0
1000000US500019601003020,0
1000000US500019601003021,0
1000000US500019601003022,19
1000000US500019601003023,42
1000000US500019601003024,0
1000000US500019601003025,0
1000000US500019601003026,8
1000000US500019601003027,185
1000000US500019601003028,97
1000000US500019601003029,0
1000000US500019601003030,0
1000000US500019601003031,0
1000000US500019601003032,0
1000000US500019601003033,19
1000000US500019601003034,0
1000000US500019601003035,0
1000000US500019601003036,58
1000000US500019601003037,0
1000000US500019601003038,0
1000000US500019601003039,0
1000000US500019601003040,0
1000000US500019601003041,100
1000000US500019601003042,0
1000000US500019601003043,0
1000000US500019601003044,4
1000000US500019601003045,8
1000000US500019601003046,15
1000000US500019601003047,77
1000000US500019601003048,2
1000000US500019601003049,4
1000000US500019601003050,0
1000000US500019601003051,0
1000000US500019601003052,104
1000000US500019601003053,157
1000000US500019601003054,0
1000000US500019601003055,3
1000000US500019601003056,0
1000000US500019601003057,7
1000000US500019601003058,42
1000000US500019601003059,0
1000000US500019601003060,42
1000000US500019601003061,16
1000000US500019601003062,0
1000000US500019601003063,3
1000000US500019601003064,0
1000000US500019601003065,69
1000000US500019601003066,0
1000000US500019601003067,0
1000000US500019601003068,0
1000000US500019601003069,0
1000000US500019601003070,35
1000000US500019601003071,2
1000000US500019601003072,0
1000000US500019601003073,8
1000000US500019601003074,4
1000000US500019601003075,0
1000000US500019601003076,35
1000000US500019601003077,18
1000000US500019601003078,25
1000000US500019601003079,0
1000000US500019601003080,5
1000000US500019601003081,0
1000000US500019601003082,0
1000000US500019601003083,4
1000000US500019601003084,0
1000000US500019601003085,2
1000000US500019601003086,2
1000000US500019601003087,0
1000000US500019601003088,0
1000000US500019601003089,0
1000000US500019602001000,6
1000000US500019602001001,0
1000000US500019602001002,0
1000000US500019602001003,53
1000000US500019602001004,29
1000000US500019602001005,0
1000000US500019602001006,51
1000000US500019602001007,73
1000000US500019602001008,0
1000000US500019602001009,0
1000000US500019602001010,52
1000000US500019602001011,0
1000000US500019602001012,0
1000000US500019602001013,6
1000000US500019602001014,94
1000000US500019602001015,0
1000000US500019602001016,0
1000000US500019602001017,23
1000000US500019602001018,0
1000000US500019602001019,0
1000000US500019602001020,36
1000000US500019602001021,8
1000000US500019602001022,8
1000000US500019602001023,95
1000000US500019602001024,2
1000000US500019602001025,0
1000000US500019602001026,7
1000000US500019602001027,44
1000000US500019602001028,0
1000000US500019602001029,221
1000000US500019602001030,0
1000000US500019602001031,0
1000000US500019602001032,5
1000000US500019602001033,0
1000000US500019602001034,36
1000000US500019602001035,0
1000000US500019602001036,0
1000000US500019602001037,2
1000000US500019602001038,2
1000000US500019602001039,32
1000000US500019602001040,19
1000000US500019602001041,0
1000000US500019602001042,0
1000000US500019602001043,0
1000000US500019602001044,0
1000000US500019602001045,0
1000000US500019602001046,0
1000000US500019602001047,40
1000000US500019602001048,34
1000000US500019602001049,0
1000000US500019602001050,2
1000000US500019602001051,4
1000000US500019602001052,0
1000000US500019602001053,0
1000000US500019602001054,0
1000000US500019602001055,8
1000000US500019602001056,17
1000000US500019602001057,0
1000000US500019602001058,4
1000000US500019602001059,0
1000000US500019602001060,61
1000000US500019602001061,0
1000000US500019602001062,0
1000000US500019602001063,4
1000000US500019602001064,5
1000000US500019602001065,2
1000000US500019602001066,0
1000000US500019602001067,0
1000000US500019602001068,0
1000000US500019602001069,0
1000000US500019602001070,0
1000000US500019602002000,40
1000000US500019602002001,5
1000000US500019602002002,6
1000000US500019602002003,3
1000000US500019602002004,10
1000000US500019602002005,0
1000000US500019602002006,32
1000000US500019602002007,5
1000000US500019602002008,4
1000000US500019602002009,0
1000000US500019602002010,0
1000000US500019602002011,0
1000000US500019602002012,0
1000000US500019602002013,4
1000000US500019602002014,20
1000000US500019602002015,0
1000000US500019602002016,25
1000000US500019602002017,7
1000000US500019602002018,0
1000000US500019602002019,0
1000000US500019602002020,44
1000000US500019602002021,0
1000000US500019602002022,0
1000000US500019602002023,31
1000000US500019602002024,10
1000000US500019602002025,0
1000000US500019602002026,26
1000000US500019602002027,9
1000000US500019602002028,5
1000000US500019602002029,33
1000000US500019602002030,16
1000000US500019602002031,0
1000000US500019602002032,0
1000000US500019602002033,60
1000000US500019602002034,0
1000000US500019602002035,0
1000000US500019602002036,0
1000000US500019602002037,0
1000000US500019602002038,0
1000000US500019602002039,10
1000000US500019602002040,47
1000000US500019602002041,0
1000000US500019602002042,0
1000000US500019602002043,0
1000000US500019602002044,0
1000000US500019602002045,33
1000000US500019602002046,0
1000000US500019602002047,10
1000000US500019602002048,9
1000000US500019602002049,0
1000000US500019602002050,0
1000000US500019602002051,30
1000000US500019602002052,0
1000000US500019602002053,62
1000000US500019602002054,18
1000000US500019602002055,21
1000000US500019602002056,20
1000000US500019602002057,0
1000000US500019602002058,0
1000000US500019602002059,14
1000000US500019602002060,9
1000000US500019602002061,6
1000000US500019602002062,0
1000000US500019602002063,0
1000000US500019602002064,67
1000000US500019602002065,5
1000000US500019602002066,0
1000000US500019602002067,12
1000000US500019602002068,38
1000000US500019602002069,0
1000000US500019602002070,8
1000000US500019602002071,37
1000000US500019602002072,26
1000000US500019602002073,13
1000000US500019602002074,0
1000000US500019602002075,0
1000000US500019602002076,0
1000000US500019602002077,17
1000000US500019602002078,0
1000000US500019602002079,3
1000000US500019602002080,0
1000000US500019602002081,6
1000000US500019602002082,0
1000000US500019602002083,0
1000000US500019602002084,0
1000000US500019602002085,19
1000000US500019602002086,32
1000000US500019602002087,0
1000000US500019602002088,0
1000000US500019602002089,0
1000000US500019602002090,13
1000000US500019602002091,0
1000000US500019602002092,0
1000000US500019602002093,0
1000000US500019602002094,7
1000000US500019602002095,5
1000000US500019602002096,0
1000000US500019602002097,0
1000000US500019602002098,0
1000000US500019602002099,0
1000000US500019602002100,0
1000000US500019602002101,0
1000000US500019602002102,0
1000000US500019602002103,0
1000000US500019602002104,4
1000000US500019602002105,0
1000000US500019602002106,2
1000000US500019602002107,0
1000000US500019602002108,0
1000000US500019602002109,0
1000000US500019602002110,0
1000000US500019602002111,0
1000000US500019602002112,20
1000000US500019602002113,0
1000000US500019602002114,25
1000000US500019602002115,10
1000000US500019602002116,0
1000000US500019602002117,0
1000000US500019602002118,33
1000000US500019602002119,0
1000000US500019602002120,0
1000000US500019602002121,0
1000000US500019602002122,0
1000000US500019602002123,0
1000000US500019603001000,142
1000000US500019603001001,14
1000000US500019603001002,217
1000000US500019603001003,1
1000000US500019603001004,0
1000000US500019603001005,0
1000000US500019603001006,34
1000000US500019603001007,16
1000000US500019603001008,0
1000000US500019603001009,0
1000000US500019603001010,0
1000000US500019603001011,0
1000000US500019603001012,0
1000000US500019603001013,0
1000000US500019603001014,27
1000000US500019603001015,0
1000000US500019603001016,8
1000000US500019603001017,0
1000000US500019603001018,71
1000000US500019603001019,15
1000000US500019603001020,49
1000000US500019603001021,0
1000000US500019603001022,4
1000000US500019603001023,63
1000000US500019603001024,13
1000000US500019603001025,17
1000000US500019603001026,6
1000000US500019603001027,23
1000000US500019603002000,8
