GEOID10,Tot_2017_gov,Dem_2017_gov,Rep_2017_gov,Tot_2017_ltg,Dem_2017_ltg,Rep_2017_ltg,Tot_2017_ag,Dem_2017_ag,Rep_2017_ag,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
51001101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1866,595,1254
51001201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614,229,375
51001202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584,203,377
51001203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,119,229
51001204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,60,146
51001205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,46,258
51001301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797,537,244
51001302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845,519,318
51001401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,191,327
51001402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,993,449,538
51001501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758,486,266
51001502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658,511,146
51001601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1377,701,659
51001701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1418,634,766
51001702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,152,277
51001801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,147,228
51001802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,162,135
51001803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804,481,312
51001804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,68,135
51001805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,134,171
51001901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1870,1183,672
51003101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2155,1171,957
51003103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875,563,301
51003104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1874,1297,557
51003105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1629,1015,600
51003106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1637,819,808
51003201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1645,948,675
51003202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550,1130,402
51003203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2083,1540,518
51003204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,478,461
51003301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3100,1886,1183
51003302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2137,1293,826
51003304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1383,886,485
51003305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1541,953,579
51003401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1235,588,634
51003402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108,539,557
51003403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195,835,347
51003405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3343,2286,1042
51003406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2207,959,1230
51003501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104,671,426
51003502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1209,625,568
51003503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3710,1925,1753
51003504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380,1463,890
51003505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1194,693,478
51003601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2904,1640,1218
51003602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127,599,512
51003603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2495,1250,1225
51003604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2563,1448,1084
51003605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,292,260
51005101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,676,328,343
51005103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,104,178
51005201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,177,259
51005202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704,335,359
51005301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,173,242
51005302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867,400,461
51005401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618,275,332
51005402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,223,276
51005501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,160,133
51005502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790,343,424
51005601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,974,537,429
51005701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784,498,279
51007101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199,495,696
51007201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279,493,776
51007301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1251,386,856
51007401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1398,476,896
51007501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399,638,746
51009101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1082,690,388
51009102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195,552,635
51009103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,198,368
51009201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2106,917,1169
51009202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854,328,517
51009301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896,351,536
51009302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2034,595,1419
51009303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,181,329
51009401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2369,947,1406
51009402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605,253,343
51009501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2461,1082,1360
51011101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,170,380
51011102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004,389,601
51011201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609,263,341
51011202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,957,254,694
51011301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891,252,628
51011302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836,309,520
51011401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1268,434,820
51011501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073,372,696
51011502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,198,223
51013001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2073,1643,413
51013002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2179,1599,561
51013003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520,936,570
51013004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1588,1128,446
51013005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1775,1271,487
