Geography,Total
1000000US540019655001000,11
1000000US540019655001001,0
1000000US540019655001002,2
1000000US540019655001003,0
1000000US540019655001004,75
1000000US540019655001005,6
1000000US540019655001006,10
1000000US540019655001007,0
1000000US540019655001008,0
1000000US540019655001009,4
1000000US540019655001010,0
1000000US540019655001011,2
1000000US540019655001012,0
1000000US540019655001013,0
1000000US540019655001014,8
1000000US540019655001015,2
1000000US540019655001016,23
1000000US540019655001017,3
1000000US540019655001018,2
1000000US540019655001019,0
1000000US540019655001020,10
1000000US540019655001021,0
1000000US540019655001022,14
1000000US540019655001023,0
1000000US540019655001024,25
1000000US540019655001025,0
1000000US540019655001026,0
1000000US540019655001027,0
1000000US540019655001028,0
1000000US540019655001029,1
1000000US540019655001030,3
1000000US540019655001031,2
1000000US540019655001032,5
1000000US540019655001033,0
1000000US540019655001034,0
1000000US540019655001035,4
1000000US540019655001036,6
1000000US540019655001037,1
1000000US540019655001038,4
1000000US540019655001039,0
1000000US540019655001040,0
1000000US540019655001041,2
1000000US540019655001042,24
1000000US540019655001043,2
1000000US540019655001044,2
1000000US540019655001045,2
1000000US540019655001046,2
1000000US540019655001047,0
1000000US540019655001048,2
1000000US540019655001049,0
1000000US540019655001050,6
1000000US540019655001051,3
1000000US540019655001052,16
1000000US540019655001053,9
1000000US540019655001054,1
1000000US540019655001055,6
1000000US540019655001056,0
1000000US540019655001057,0
1000000US540019655001058,2
1000000US540019655001059,4
1000000US540019655001060,2
1000000US540019655001061,10
1000000US540019655001062,0
1000000US540019655001063,53
1000000US540019655001064,0
1000000US540019655001065,15
1000000US540019655001066,2
1000000US540019655001067,3
1000000US540019655001068,2
1000000US540019655001069,2
1000000US540019655001070,18
1000000US540019655001071,6
1000000US540019655001072,0
1000000US540019655001073,0
1000000US540019655001074,0
1000000US540019655001075,0
1000000US540019655001076,0
1000000US540019655001077,7
1000000US540019655001078,0
1000000US540019655001079,0
1000000US540019655001080,0
1000000US540019655001081,0
1000000US540019655001082,0
1000000US540019655001083,0
1000000US540019655001084,0
1000000US540019655001085,0
1000000US540019655001086,0
1000000US540019655001087,0
1000000US540019655001088,35
1000000US540019655001089,0
1000000US540019655001090,0
1000000US540019655001091,2
1000000US540019655001092,0
1000000US540019655001093,31
1000000US540019655001094,32
1000000US540019655001095,2
1000000US540019655001096,0
1000000US540019655001097,0
1000000US540019655001098,0
1000000US540019655001099,0
1000000US540019655001100,0
1000000US540019655001101,0
1000000US540019655001102,24
1000000US540019655001103,10
1000000US540019655002000,18
1000000US540019655002001,0
1000000US540019655002002,5
1000000US540019655002003,0
1000000US540019655002004,0
1000000US540019655002005,57
1000000US540019655002006,2
1000000US540019655002007,6
1000000US540019655002008,0
1000000US540019655002009,6
1000000US540019655002010,0
1000000US540019655002011,6
1000000US540019655002012,0
1000000US540019655002013,4
1000000US540019655002014,15
1000000US540019655002015,0
1000000US540019655002016,2
1000000US540019655002017,8
1000000US540019655002018,3
1000000US540019655002019,6
1000000US540019655002020,3
1000000US540019655002021,2
1000000US540019655002022,2
1000000US540019655002023,0
1000000US540019655002024,0
1000000US540019655002025,15
1000000US540019655002026,13
1000000US540019655002027,3
1000000US540019655002028,0
1000000US540019655002029,2
1000000US540019655002030,0
1000000US540019655002031,0
1000000US540019655002032,8
1000000US540019655002033,0
1000000US540019655002034,7
1000000US540019655002035,36
1000000US540019655002036,4
1000000US540019655002037,0
1000000US540019655002038,0
1000000US540019655002039,0
1000000US540019655002040,0
1000000US540019655002041,0
1000000US540019655002042,7
1000000US540019655002043,0
1000000US540019655002044,9
1000000US540019655002045,0
1000000US540019655002046,5
1000000US540019655002047,3
1000000US540019655002048,7
1000000US540019655002049,15
1000000US540019655002050,0
1000000US540019655002051,5
