Geography,Total
1000000US560019627001000,0
1000000US560019627001001,0
1000000US560019627001002,0
1000000US560019627001003,0
1000000US560019627001004,0
1000000US560019627001005,27
1000000US560019627001006,0
1000000US560019627001007,0
1000000US560019627001008,28
1000000US560019627001009,0
1000000US560019627001010,0
1000000US560019627001011,36
1000000US560019627001012,0
1000000US560019627001013,0
1000000US560019627001014,0
1000000US560019627001015,0
1000000US560019627001016,2
1000000US560019627001017,0
1000000US560019627001018,0
1000000US560019627001019,0
1000000US560019627001020,0
1000000US560019627001021,3
1000000US560019627001022,0
1000000US560019627001023,2
1000000US560019627001024,2
1000000US560019627001025,0
1000000US560019627001026,0
1000000US560019627001027,0
1000000US560019627001028,0
1000000US560019627001029,0
1000000US560019627001030,0
1000000US560019627001031,0
1000000US560019627001032,0
1000000US560019627001033,0
1000000US560019627001034,3
1000000US560019627001035,22
1000000US560019627001036,2
1000000US560019627001037,0
1000000US560019627001038,0
1000000US560019627001039,0
1000000US560019627001040,0
1000000US560019627001041,0
1000000US560019627001042,0
1000000US560019627001043,0
1000000US560019627001044,6
1000000US560019627001045,7
1000000US560019627001046,0
1000000US560019627001047,0
1000000US560019627001048,0
1000000US560019627001049,0
1000000US560019627001050,0
1000000US560019627001051,0
1000000US560019627001052,0
1000000US560019627001053,0
1000000US560019627001054,2
1000000US560019627001055,0
1000000US560019627001056,0
1000000US560019627001057,0
1000000US560019627001058,0
1000000US560019627001059,0
1000000US560019627001060,0
1000000US560019627001061,0
1000000US560019627001062,0
1000000US560019627001063,0
1000000US560019627001064,0
1000000US560019627001065,0
1000000US560019627001066,0
1000000US560019627001067,0
1000000US560019627001068,3
1000000US560019627001069,2
1000000US560019627001070,0
1000000US560019627001071,0
1000000US560019627001072,0
1000000US560019627001073,0
1000000US560019627001074,0
1000000US560019627001075,0
1000000US560019627001076,0
1000000US560019627001077,2
1000000US560019627001078,0
1000000US560019627001079,0
1000000US560019627001080,0
1000000US560019627001081,0
1000000US560019627001082,0
1000000US560019627001083,0
1000000US560019627001084,0
1000000US560019627001085,0
1000000US560019627001086,0
1000000US560019627001087,0
1000000US560019627001088,0
1000000US560019627001089,0
1000000US560019627001090,0
1000000US560019627001091,5
1000000US560019627001092,0
1000000US560019627001093,0
1000000US560019627001094,0
1000000US560019627001095,0
1000000US560019627001096,0
1000000US560019627001097,0
1000000US560019627001098,0
1000000US560019627001099,0
1000000US560019627001100,0
1000000US560019627001101,2
1000000US560019627001102,0
1000000US560019627001103,0
1000000US560019627001104,0
1000000US560019627001105,0
1000000US560019627001106,0
1000000US560019627001107,0
1000000US560019627001108,0
1000000US560019627001109,0
1000000US560019627001110,0
1000000US560019627001111,0
1000000US560019627001112,0
1000000US560019627001113,2
1000000US560019627001114,0
1000000US560019627001115,0
1000000US560019627001116,0
1000000US560019627001117,0
1000000US560019627001118,0
1000000US560019627001119,0
1000000US560019627001120,0
1000000US560019627001121,0
1000000US560019627001122,0
1000000US560019627001123,0
1000000US560019627001124,23
1000000US560019627001125,0
1000000US560019627001126,0
1000000US560019627001127,0
1000000US560019627001128,0
1000000US560019627001129,0
1000000US560019627001130,0
