Geography, !!Total:
1000000US020130001001000,0
1000000US020130001001001,0
1000000US020130001001002,0
1000000US020130001001003,0
1000000US020130001001004,0
1000000US020130001001005,0
1000000US020130001001006,0
1000000US020130001001007,0
1000000US020130001001008,0
1000000US020130001001009,0
1000000US020130001001010,0
1000000US020130001001011,0
1000000US020130001001012,0
1000000US020130001001013,0
1000000US020130001001014,0
1000000US020130001001015,0
1000000US020130001001016,0
1000000US020130001001017,0
1000000US020130001001018,0
1000000US020130001001019,0
1000000US020130001001020,0
1000000US020130001001021,0
1000000US020130001001022,0
1000000US020130001001023,0
1000000US020130001001024,0
1000000US020130001001025,0
1000000US020130001001026,0
1000000US020130001001027,0
1000000US020130001001028,0
1000000US020130001001029,0
1000000US020130001001030,0
1000000US020130001001031,0
1000000US020130001001032,0
1000000US020130001001033,0
1000000US020130001001034,0
1000000US020130001001035,0
1000000US020130001001036,0
1000000US020130001001037,0
1000000US020130001001038,0
1000000US020130001001039,0
1000000US020130001001040,0
1000000US020130001001041,0
1000000US020130001001042,0
1000000US020130001001043,0
1000000US020130001001044,0
1000000US020130001001045,0
1000000US020130001001046,0
1000000US020130001001047,0
1000000US020130001001048,0
1000000US020130001001049,0
1000000US020130001001050,0
1000000US020130001001051,0
1000000US020130001001052,0
1000000US020130001001053,0
1000000US020130001001054,0
1000000US020130001001055,1
1000000US020130001001056,0
1000000US020130001001057,0
1000000US020130001001058,0
1000000US020130001001059,0
1000000US020130001001060,0
1000000US020130001001061,0
1000000US020130001001062,0
1000000US020130001001063,0
1000000US020130001001064,0
1000000US020130001001065,0
1000000US020130001001066,0
1000000US020130001001067,0
1000000US020130001001068,0
1000000US020130001001069,0
1000000US020130001001070,0
1000000US020130001001071,0
1000000US020130001001072,0
1000000US020130001001073,0
1000000US020130001001074,0
1000000US020130001001075,0
1000000US020130001001076,0
1000000US020130001001077,0
1000000US020130001001078,0
1000000US020130001001079,0
1000000US020130001001080,0
1000000US020130001001081,0
1000000US020130001001082,0
1000000US020130001001083,0
1000000US020130001001084,0
1000000US020130001001085,0
1000000US020130001001086,0
1000000US020130001001087,0
1000000US020130001001088,0
1000000US020130001001089,0
1000000US020130001001090,0
1000000US020130001001091,0
1000000US020130001001092,0
1000000US020130001001093,0
1000000US020130001001094,0
1000000US020130001001095,0
1000000US020130001001096,0
1000000US020130001001097,0
1000000US020130001001098,0
1000000US020130001001099,0
1000000US020130001001100,0
1000000US020130001001101,0
1000000US020130001001102,0
1000000US020130001001103,0
1000000US020130001001104,0
1000000US020130001001105,0
1000000US020130001001106,0
1000000US020130001001107,0
1000000US020130001001108,353
1000000US020130001001109,0
1000000US020130001001110,0
1000000US020130001001111,0
1000000US020130001001112,0
1000000US020130001001113,0
1000000US020130001001114,0
1000000US020130001001115,0
1000000US020130001001116,0
1000000US020130001001117,0
1000000US020130001001118,0
1000000US020130001001119,0
1000000US020130001001120,0
1000000US020130001001121,0
1000000US020130001001122,0
1000000US020130001001123,0
1000000US020130001001124,0
1000000US020130001001125,0
1000000US020130001001126,0
1000000US020130001001127,0
1000000US020130001001128,0
1000000US020130001001129,0
1000000US020130001001130,0
1000000US020130001001131,0
1000000US020130001001132,0
1000000US020130001001133,0
1000000US020130001001134,0
1000000US020130001001135,0
1000000US020130001001136,0
1000000US020130001001137,0
1000000US020130001001138,0
1000000US020130001001139,0
1000000US020130001001140,0
1000000US020130001001141,0
1000000US020130001001142,0
1000000US020130001001143,1
1000000US020130001001144,0
1000000US020130001001145,0
1000000US020130001001146,0
1000000US020130001001147,0
1000000US020130001001148,0
1000000US020130001001149,0
1000000US020130001001150,0
1000000US020130001001151,0
1000000US020130001001152,0
1000000US020130001001153,0
1000000US020130001001154,0
1000000US020130001001155,0
1000000US020130001001156,0
1000000US020130001001157,4
1000000US020130001001158,7
1000000US020130001001159,0
1000000US020130001001160,10
1000000US020130001001161,0
1000000US020130001001162,0
1000000US020130001001163,0
1000000US020130001001164,0
1000000US020130001001165,0
1000000US020130001001166,18
1000000US020130001001167,0
1000000US020130001001168,4
1000000US020130001001169,3
1000000US020130001001170,7
1000000US020130001001171,0
1000000US020130001001172,3
1000000US020130001001173,0
1000000US020130001001174,0
1000000US020130001001175,0
1000000US020130001001176,0
1000000US020130001001177,1
1000000US020130001001178,1
1000000US020130001001179,4
1000000US020130001001180,0
1000000US020130001001181,0
1000000US020130001001182,0
1000000US020130001001183,0
1000000US020130001001184,0
1000000US020130001001185,0
1000000US020130001001186,0
1000000US020130001001187,0
1000000US020130001001188,0
1000000US020130001001189,0
1000000US020130001001190,0
1000000US020130001001191,0
1000000US020130001001192,0
1000000US020130001001193,0
1000000US020130001001194,0
1000000US020130001001195,0
1000000US020130001001196,0
1000000US020130001001197,0
1000000US020130001001198,0
1000000US020130001001199,0
1000000US020130001001200,0
1000000US020130001001201,0
1000000US020130001001202,0
1000000US020130001001203,0
1000000US020130001001204,0
1000000US020130001001205,0
1000000US020130001001206,0
1000000US020130001001207,0
1000000US020130001001208,0
1000000US020130001001209,0
1000000US020130001001210,0
1000000US020130001001211,0
1000000US020130001001212,0
1000000US020130001001213,0
1000000US020130001001214,0
1000000US020130001001215,0
1000000US020130001001216,0
1000000US020130001001217,0
1000000US020130001001218,0
1000000US020130001001219,0
1000000US020130001001220,0
1000000US020130001001221,0
1000000US020130001001222,0
1000000US020130001001223,0
1000000US020130001001224,0
1000000US020130001001225,0
1000000US020130001001226,0
1000000US020130001001227,0
1000000US020130001001228,4
1000000US020130001001229,0
1000000US020130001001230,20
1000000US020130001001231,0
1000000US020130001001232,0
1000000US020130001001233,0
1000000US020130001001234,0
1000000US020130001001235,1543
1000000US020130001001236,0
1000000US020130001001237,0
1000000US020130001001238,0
1000000US020130001001239,0
1000000US020130001001240,0
1000000US020130001001241,0
1000000US020130001001242,0
1000000US020130001001243,0
1000000US020130001001244,0
1000000US020130001001245,0
1000000US020130001001246,0
1000000US020130001001247,0
1000000US020130001001248,0
1000000US020130001001249,0
1000000US020130001001250,0
1000000US020130001001251,0
1000000US020130001001252,0
1000000US020130001001253,0
1000000US020130001001254,0
1000000US020130001001255,0
1000000US020130001001256,0
1000000US020130001001257,0
1000000US020130001001258,0
1000000US020130001001259,0
1000000US020130001001260,0
1000000US020130001001261,0
1000000US020130001001262,0
1000000US020130001001263,0
1000000US020130001001264,0
1000000US020130001001265,0
1000000US020130001001266,0
1000000US020130001001267,0
1000000US020130001001268,0
1000000US020130001001269,0
1000000US020130001001270,0
1000000US020130001001271,0
1000000US020130001001272,0
1000000US020130001001273,0
1000000US020130001001274,0
1000000US020130001001275,0
