Geography, !!Total:
1000000US050014801001000,0
1000000US050014801001001,86
1000000US050014801001002,0
1000000US050014801001003,9
1000000US050014801001004,64
1000000US050014801001005,15
1000000US050014801001006,0
1000000US050014801001007,0
1000000US050014801001008,8
1000000US050014801001009,0
1000000US050014801001010,0
1000000US050014801001011,28
1000000US050014801001012,0
1000000US050014801001013,4
1000000US050014801001014,0
1000000US050014801001015,28
1000000US050014801001016,0
1000000US050014801001017,1
1000000US050014801001018,0
1000000US050014801001019,0
1000000US050014801001020,7
1000000US050014801001021,0
1000000US050014801001022,5
1000000US050014801001023,3
1000000US050014801001024,27
1000000US050014801001025,14
1000000US050014801001026,0
1000000US050014801001027,0
1000000US050014801001028,1
1000000US050014801001029,5
1000000US050014801001030,13
1000000US050014801001031,10
1000000US050014801001032,2
1000000US050014801001033,47
1000000US050014801001034,4
1000000US050014801001035,3
1000000US050014801001036,11
1000000US050014801001037,0
1000000US050014801001038,0
1000000US050014801001039,0
1000000US050014801001040,32
1000000US050014801001041,8
1000000US050014801001042,6
1000000US050014801001043,27
1000000US050014801001044,8
1000000US050014801001045,0
1000000US050014801001046,1
1000000US050014801001047,3
1000000US050014801001048,3
1000000US050014801001049,4
1000000US050014801001050,2
1000000US050014801001051,2
1000000US050014801001052,12
1000000US050014801001053,6
1000000US050014801001054,6
1000000US050014801001055,10
1000000US050014801001056,2
1000000US050014801001057,16
1000000US050014801001058,0
1000000US050014801001059,6
1000000US050014801001060,1
1000000US050014801001061,0
1000000US050014801001062,8
1000000US050014801001063,0
1000000US050014801001064,0
1000000US050014801001065,0
1000000US050014801001066,0
1000000US050014801001067,0
1000000US050014801001068,0
1000000US050014801001069,10
1000000US050014801001070,0
1000000US050014801001071,2
1000000US050014801001072,0
1000000US050014801001073,1
1000000US050014801001074,0
1000000US050014801001075,5
1000000US050014801001076,0
1000000US050014801001077,2
1000000US050014801001078,0
1000000US050014801001079,0
1000000US050014801001080,0
1000000US050014801001081,0
1000000US050014801001082,0
1000000US050014801001083,0
1000000US050014801001084,0
1000000US050014801001085,0
1000000US050014801001086,0
1000000US050014801001087,3
1000000US050014801001088,0
1000000US050014801001089,8
1000000US050014801001090,0
1000000US050014801001091,9
1000000US050014801001092,0
1000000US050014801001093,0
1000000US050014801001094,0
1000000US050014801001095,0
1000000US050014801001096,5
1000000US050014801001097,5
1000000US050014801001098,12
1000000US050014801001099,60
1000000US050014801001100,0
1000000US050014801001101,4
1000000US050014801001102,0
1000000US050014801001103,5
1000000US050014801001104,22
1000000US050014801001105,2
1000000US050014801001106,14
1000000US050014801001107,3
1000000US050014801001108,5
1000000US050014801001109,3
1000000US050014801001110,6
1000000US050014801001111,0
1000000US050014801001112,0
1000000US050014801001113,0
1000000US050014801001114,0
1000000US050014801001115,0
1000000US050014801001116,9
1000000US050014801001117,1
1000000US050014801001118,2
1000000US050014801001119,1
1000000US050014801001120,0
1000000US050014801001121,0
1000000US050014801001122,5
1000000US050014801001123,0
1000000US050014801001124,0
1000000US050014801001125,0
1000000US050014801001126,0
1000000US050014801001127,0
1000000US050014801001128,0
1000000US050014801001129,0
1000000US050014801001130,0
1000000US050014801001131,0
1000000US050014801001132,0
1000000US050014801001133,11
1000000US050014801001134,0
1000000US050014801001135,0
1000000US050014801001136,0
1000000US050014801001137,0
1000000US050014801001138,1
1000000US050014801001139,0
1000000US050014801001140,11
1000000US050014801001141,0
1000000US050014801001142,5
1000000US050014801001143,0
1000000US050014801001144,10
1000000US050014801001145,0
1000000US050014801001146,1
1000000US050014801001147,0
1000000US050014801001148,3
1000000US050014801001149,0
1000000US050014801001150,0
1000000US050014801001151,0
1000000US050014801001152,0
1000000US050014801001153,5
1000000US050014801001154,3
1000000US050014801001155,0
1000000US050014801001156,1
1000000US050014801001157,14
1000000US050014801001158,0
1000000US050014801001159,11
1000000US050014801001160,6
1000000US050014801001161,0
1000000US050014801001162,3
1000000US050014801001163,15
1000000US050014801001164,0
1000000US050014801001165,0
1000000US050014801001166,0
1000000US050014801001167,0
1000000US050014801001168,0
1000000US050014801001169,1
1000000US050014801001170,0
1000000US050014801001171,0
1000000US050014801001172,0
1000000US050014801001173,0
1000000US050014801001174,1
1000000US050014801001175,21
1000000US050014801001176,4
1000000US050014801001177,0
1000000US050014801001178,15
1000000US050014801001179,0
1000000US050014801001180,4
1000000US050014801001181,10
1000000US050014801001182,6
1000000US050014801001183,0
1000000US050014801001184,0
1000000US050014801001185,0
1000000US050014801001186,0
1000000US050014801001187,0
1000000US050014801001188,0
1000000US050014801001189,0
1000000US050014801001190,0
1000000US050014801001191,0
1000000US050014801001192,0
1000000US050014801001193,0
1000000US050014801001194,0
1000000US050014801001195,0
1000000US050014801001196,0
1000000US050014801001197,0
1000000US050014801001198,0
1000000US050014801001199,0
1000000US050014801001200,0
1000000US050014801001201,0
1000000US050014801001202,0
1000000US050014801001203,0
1000000US050014801001204,0
1000000US050014801001205,0
1000000US050014801001206,0
1000000US050014801001207,0
1000000US050014801001208,0
1000000US050014801001209,0
1000000US050014801001210,0
1000000US050014801001211,0
1000000US050014801001212,0
1000000US050014801001213,0
1000000US050014801001214,0
1000000US050014801001215,0
1000000US050014801001216,0
1000000US050014801001217,0
1000000US050014801001218,0
1000000US050014801001219,22
1000000US050014801001220,0
1000000US050014801001221,25
1000000US050014801001222,9
1000000US050014801001223,3
1000000US050014801001224,0
1000000US050014801001225,0
1000000US050014801001226,0
1000000US050014801001227,0
1000000US050014801001228,0
1000000US050014801001229,3
1000000US050014801001230,4
1000000US050014801001231,6
1000000US050014801001232,7
1000000US050014801001233,0
1000000US050014801001234,0
1000000US050014801001235,0
1000000US050014801001236,0
1000000US050014801001237,0
1000000US050014801001238,0
1000000US050014801001239,2
1000000US050014801001240,0
1000000US050014801001241,0
1000000US050014801001242,6
1000000US050014801001243,0
1000000US050014801001244,0
1000000US050014801001245,0
1000000US050014801001246,0
1000000US050014801001247,11
1000000US050014801001248,0
1000000US050014801001249,0
1000000US050014801001250,0
1000000US050014801001251,0
1000000US050014801001252,0
1000000US050014801001253,0
1000000US050014801001254,0
1000000US050014801001255,0
1000000US050014801001256,0
1000000US050014801001257,0
1000000US050014801001258,3
1000000US050014801001259,0
1000000US050014801001260,0
1000000US050014801001261,0
1000000US050014801001262,1
1000000US050014801001263,0
1000000US050014801001264,0
1000000US050014801001265,0
1000000US050014801001266,0
1000000US050014801001267,0
1000000US050014802001000,0
1000000US050014802001001,0
1000000US050014802001002,0
1000000US050014802001003,0
1000000US050014802001004,0
1000000US050014802001005,11
1000000US050014802001006,0
1000000US050014802001007,0
1000000US050014802001008,0
1000000US050014802001009,0
1000000US050014802001010,7
1000000US050014802001011,4
1000000US050014802001012,0
1000000US050014802001013,0
1000000US050014802001014,1
1000000US050014802001015,0
1000000US050014802001016,1
1000000US050014802001017,2
1000000US050014802001018,9
1000000US050014802001019,1
1000000US050014802001020,8
1000000US050014802001021,8
1000000US050014802001022,0
1000000US050014802001023,3
1000000US050014802001024,0
1000000US050014802001025,0
1000000US050014802001026,0
1000000US050014802001027,0
1000000US050014802001028,0
1000000US050014802001029,0
1000000US050014802001030,3
1000000US050014802001031,0
1000000US050014802001032,0
1000000US050014802001033,0
1000000US050014802001034,0
1000000US050014802001035,0
1000000US050014802001036,0
1000000US050014802001037,0
1000000US050014802001038,0
1000000US050014802001039,0
1000000US050014802001040,0
1000000US050014802001041,1
1000000US050014802001042,0
1000000US050014802001043,3
1000000US050014802001044,0
1000000US050014802001045,0
1000000US050014802001046,0
1000000US050014802001047,0
1000000US050014802001048,0
1000000US050014802001049,0
1000000US050014802001050,0
1000000US050014802001051,0
1000000US050014802001052,0
1000000US050014802001053,10
1000000US050014802001054,2
1000000US050014802001055,0
1000000US050014802001056,0
1000000US050014802001057,0
1000000US050014802001058,0
1000000US050014802001059,0
1000000US050014802001060,1
1000000US050014802001061,7
1000000US050014802001062,0
1000000US050014802001063,0
1000000US050014802001064,0
1000000US050014802001065,0
1000000US050014802001066,0
1000000US050014802001067,2
1000000US050014802001068,1
1000000US050014802001069,0
1000000US050014802001070,0
1000000US050014802001071,0
1000000US050014802001072,0
1000000US050014802001073,4
1000000US050014802001074,0
1000000US050014802001075,0
1000000US050014802001076,0
1000000US050014802001077,0
1000000US050014802001078,7
1000000US050014802001079,0
1000000US050014802001080,6
