Geography, !!Total:
1000000US080010078011000,82
1000000US080010078011001,120
1000000US080010078011002,177
1000000US080010078011003,35
1000000US080010078011004,0
1000000US080010078011005,24
1000000US080010078011006,20
1000000US080010078011007,17
1000000US080010078011008,72
1000000US080010078011009,10
1000000US080010078011010,43
1000000US080010078011011,26
1000000US080010078011012,32
1000000US080010078011013,58
1000000US080010078011014,101
1000000US080010078011015,175
1000000US080010078011016,0
1000000US080010078012000,55
1000000US080010078012001,127
1000000US080010078012002,104
1000000US080010078012003,124
1000000US080010078012004,173
1000000US080010078012005,58
1000000US080010078012006,131
1000000US080010078012007,24
1000000US080010078012008,115
1000000US080010078012009,88
1000000US080010078012010,191
1000000US080010078012011,247
1000000US080010078012012,253
1000000US080010078012013,33
1000000US080010078012014,29
1000000US080010078012015,21
1000000US080010078012016,27
1000000US080010078021000,59
1000000US080010078021001,78
1000000US080010078021002,43
1000000US080010078021003,78
1000000US080010078021004,34
1000000US080010078021005,70
1000000US080010078021006,71
1000000US080010078021007,71
1000000US080010078021008,74
1000000US080010078021009,0
1000000US080010078021010,222
1000000US080010078021011,177
1000000US080010078021012,39
1000000US080010078022000,191
1000000US080010078022001,63
1000000US080010078022002,70
1000000US080010078022003,60
1000000US080010078022004,341
1000000US080010078022005,113
1000000US080010078023000,57
1000000US080010078023001,33
1000000US080010078023002,52
1000000US080010078023003,39
1000000US080010078023004,73
1000000US080010078023005,103
1000000US080010078023006,214
1000000US080010078023007,313
1000000US080010079001000,28
1000000US080010079001001,37
1000000US080010079001002,53
1000000US080010079001003,0
1000000US080010079001004,0
1000000US080010079001005,0
1000000US080010079001006,35
1000000US080010079001007,19
1000000US080010079001008,62
1000000US080010079001009,42
1000000US080010079001010,92
1000000US080010079001011,52
1000000US080010079001012,44
1000000US080010079001013,65
1000000US080010079001014,20
1000000US080010079001015,27
1000000US080010079001016,49
1000000US080010079001017,22
1000000US080010079001018,44
1000000US080010079001019,38
1000000US080010079001020,75
1000000US080010079001021,41
