Geography, !!Total:
1000000US090010101011000,23
1000000US090010101011001,149
1000000US090010101011002,12
1000000US090010101011003,0
1000000US090010101011004,2
1000000US090010101011005,44
1000000US090010101011006,6
1000000US090010101011007,135
1000000US090010101011008,43
1000000US090010101011009,36
1000000US090010101011010,1
1000000US090010101011011,20
1000000US090010101011012,37
1000000US090010101011013,51
1000000US090010101011014,0
1000000US090010101011015,0
1000000US090010101011016,44
1000000US090010101011017,22
1000000US090010101011018,83
1000000US090010101011019,117
1000000US090010101011020,10
1000000US090010101011021,202
1000000US090010101011022,14
1000000US090010101011023,10
1000000US090010101011024,11
1000000US090010101011025,38
1000000US090010101012000,8
1000000US090010101012001,176
1000000US090010101013000,0
1000000US090010101013001,0
1000000US090010101014000,253
1000000US090010101014001,0
1000000US090010101014002,13
1000000US090010101014003,67
1000000US090010101014004,6
1000000US090010101014005,0
1000000US090010101014006,129
1000000US090010101014007,6
1000000US090010101014008,0
1000000US090010101014009,95
1000000US090010101014010,89
1000000US090010101014011,107
1000000US090010101014012,63
1000000US090010101014013,13
1000000US090010101014014,0
1000000US090010101014015,40
1000000US090010101014016,1
1000000US090010101014017,9
1000000US090010101014018,39
1000000US090010101014019,11
1000000US090010101014020,5
1000000US090010101014021,10
1000000US090010101014022,56
1000000US090010101014023,34
1000000US090010101014024,157
1000000US090010101014025,27
1000000US090010101014026,32
1000000US090010101014027,8
1000000US090010101015000,10
1000000US090010101015001,67
1000000US090010101015002,48
1000000US090010101015003,83
1000000US090010101015004,5
1000000US090010101015005,32
1000000US090010101015006,34
1000000US090010101015007,23
1000000US090010101015008,18
1000000US090010101015009,39
1000000US090010101015010,59
1000000US090010101015011,17
1000000US090010101015012,85
1000000US090010101015013,95
1000000US090010101015014,87
1000000US090010101015015,0
1000000US090010101015016,187
1000000US090010101015017,14
1000000US090010101021000,3
1000000US090010101021001,40
1000000US090010101021002,66
1000000US090010101021003,11
1000000US090010101021004,76
1000000US090010101021005,15
1000000US090010101021006,6
1000000US090010101021007,16
1000000US090010101021008,24
1000000US090010101021009,52
1000000US090010101021010,8
1000000US090010101021011,11
1000000US090010101021012,7
1000000US090010101021013,12
1000000US090010101021014,14
1000000US090010101021015,0
1000000US090010101021016,0
1000000US090010101021017,9
1000000US090010101021018,24
1000000US090010101021019,38
1000000US090010101021020,7
1000000US090010101021021,45
1000000US090010101021022,23
1000000US090010101021023,39
1000000US090010101021024,10
1000000US090010101021025,149
1000000US090010101021026,0
1000000US090010101021027,45
1000000US090010101021028,164
1000000US090010101021029,24
