Geography, !!Total:
1000000US100010401001000,83
1000000US100010401001001,33
1000000US100010401001002,58
1000000US100010401001003,53
1000000US100010401001004,9
1000000US100010401001005,2
1000000US100010401001006,16
1000000US100010401001007,31
1000000US100010401001008,0
1000000US100010401001009,39
1000000US100010401001010,106
1000000US100010401001011,14
1000000US100010401001012,37
1000000US100010401001013,7
1000000US100010401001014,47
1000000US100010401001015,82
1000000US100010401001016,109
1000000US100010401001017,56
1000000US100010401001018,86
1000000US100010401001019,76
1000000US100010401001020,33
1000000US100010401001021,0
1000000US100010401001022,33
1000000US100010401001023,22
1000000US100010401001024,15
1000000US100010401001025,18
1000000US100010401001026,20
1000000US100010401001027,21
1000000US100010401001028,0
1000000US100010401001029,34
1000000US100010401001030,44
1000000US100010401001031,34
1000000US100010401001032,162
1000000US100010401001033,11
1000000US100010401001034,33
1000000US100010401001035,26
1000000US100010401001036,39
1000000US100010401001037,24
1000000US100010401001038,19
1000000US100010401001039,268
1000000US100010401001040,20
1000000US100010401001041,47
1000000US100010401001042,1
1000000US100010401001043,25
1000000US100010401002000,26
1000000US100010401002001,128
1000000US100010401002002,51
1000000US100010401002003,67
1000000US100010401002004,15
1000000US100010401002005,115
1000000US100010401002006,23
1000000US100010401002007,31
1000000US100010401002008,55
1000000US100010401002009,116
1000000US100010401002010,14
1000000US100010401002011,16
1000000US100010401002012,18
1000000US100010401002013,19
1000000US100010401002014,78
1000000US100010401002015,0
1000000US100010401002016,28
1000000US100010401002017,20
1000000US100010401002018,37
1000000US100010401002019,30
1000000US100010401002020,4
1000000US100010401002021,56
1000000US100010401002022,16
1000000US100010401002023,0
1000000US100010401002024,0
1000000US100010401002025,5
1000000US100010401002026,33
1000000US100010401002027,25
1000000US100010401002028,44
1000000US100010401002029,19
1000000US100010401002030,37
1000000US100010401002031,0
1000000US100010401002032,91
1000000US100010401002033,45
1000000US100010401002034,5
1000000US100010401002035,16
1000000US100010401002036,12
1000000US100010401002037,30
1000000US100010401002038,39
1000000US100010401002039,36
1000000US100010401003000,84
1000000US100010401003001,230
1000000US100010401003002,18
1000000US100010401003003,86
1000000US100010401003004,51
1000000US100010401003005,18
1000000US100010401003006,37
1000000US100010401003007,35
1000000US100010401003008,0
1000000US100010401003009,13
1000000US100010401003010,103
1000000US100010401003011,101
1000000US100010401003012,24
1000000US100010401003013,266
1000000US100010401003014,140
1000000US100010401004000,263
1000000US100010401004001,6
1000000US100010401004002,38
1000000US100010401004003,0
1000000US100010401004004,15
1000000US100010401004005,29
1000000US100010401004006,23
1000000US100010401004007,11
1000000US100010401004008,29
1000000US100010401004009,15
1000000US100010401004010,91
1000000US100010401004011,1
1000000US100010401004012,7
1000000US100010401004013,13
1000000US100010401004014,27
1000000US100010401004015,5
1000000US100010401004016,79
1000000US100010401004017,49
1000000US100010401004018,66
1000000US100010401004019,30
1000000US100010401004020,38
1000000US100010401004021,154
