Geography, !!Total:
1000000US150010201001000,44
1000000US150010201001001,32
1000000US150010201001002,92
1000000US150010201001003,10
1000000US150010201001004,19
1000000US150010201001005,0
1000000US150010201001006,0
1000000US150010201001007,0
1000000US150010201001008,21
1000000US150010201001009,28
1000000US150010201001010,71
1000000US150010201001011,52
1000000US150010201001012,32
1000000US150010201001013,46
1000000US150010201001014,27
1000000US150010201001015,43
1000000US150010201001016,14
1000000US150010201001017,152
1000000US150010201001018,99
1000000US150010201001019,90
1000000US150010201001020,158
1000000US150010201001021,55
1000000US150010201001022,166
1000000US150010201001023,24
1000000US150010201001024,52
1000000US150010201001025,33
1000000US150010201002000,6
1000000US150010201002001,0
1000000US150010201002002,4
1000000US150010201002003,32
1000000US150010201002004,108
1000000US150010201002005,44
1000000US150010201002006,14
1000000US150010201002007,4
1000000US150010201002008,0
1000000US150010201002009,7
1000000US150010201002010,0
1000000US150010201002011,9
1000000US150010201002012,2
1000000US150010201002013,16
1000000US150010201002014,3
1000000US150010201002015,7
1000000US150010201002016,3
1000000US150010201002017,0
1000000US150010201002018,0
1000000US150010201002019,9
1000000US150010201002020,16
1000000US150010201002021,0
1000000US150010201002022,14
1000000US150010201002023,14
1000000US150010201002024,9
1000000US150010201002025,35
1000000US150010201002026,17
1000000US150010201002027,0
1000000US150010201002028,18
1000000US150010201002029,10
1000000US150010201002030,46
1000000US150010201002031,18
1000000US150010201002032,21
1000000US150010201002033,0
1000000US150010201002034,11
1000000US150010201002035,6
1000000US150010201002036,9
1000000US150010201002037,4
1000000US150010201002038,8
1000000US150010201002039,36
1000000US150010201002040,31
1000000US150010201002041,0
1000000US150010201002042,13
1000000US150010201002043,22
1000000US150010201002044,3
1000000US150010201002045,0
1000000US150010201002046,0
1000000US150010201002047,81
1000000US150010201002048,34
1000000US150010201002049,29
1000000US150010201002050,20
1000000US150010201002051,9
1000000US150010201002052,6
1000000US150010201002053,23
1000000US150010201002054,33
1000000US150010201002055,3
1000000US150010201002056,0
1000000US150010201003000,23
1000000US150010201003001,0
1000000US150010201003002,4
1000000US150010201003003,8
1000000US150010201003004,0
1000000US150010201003005,2
1000000US150010201003006,6
1000000US150010201003007,8
1000000US150010201003008,0
1000000US150010201003009,1
1000000US150010201003010,11
1000000US150010201003011,0
1000000US150010201003012,0
1000000US150010201003013,1
1000000US150010201003014,16
1000000US150010201003015,2
1000000US150010201003016,0
1000000US150010201003017,9
1000000US150010201003018,6
1000000US150010201003019,28
1000000US150010201003020,27
1000000US150010201003021,0
1000000US150010201003022,0
1000000US150010201003023,11
1000000US150010201003024,17
1000000US150010201003025,9
1000000US150010201003026,8
1000000US150010201003027,14
1000000US150010201003028,18
1000000US150010201003029,0
1000000US150010201003030,7
1000000US150010201003031,0
1000000US150010201003032,3
1000000US150010201003033,7
1000000US150010201003034,7
1000000US150010201003035,7
1000000US150010201003036,10
1000000US150010201003037,19
1000000US150010201003038,19
1000000US150010201003039,19
1000000US150010201003040,11
1000000US150010201003041,12
1000000US150010201003042,22
1000000US150010201003043,24
1000000US150010201003044,0
