Geography, !!Total:
1000000US160010001011000,80
1000000US160010001011001,31
1000000US160010001011002,0
1000000US160010001011003,0
1000000US160010001011004,0
1000000US160010001011005,0
1000000US160010001011006,0
1000000US160010001011007,0
1000000US160010001011008,50
1000000US160010001011009,22
1000000US160010001011010,7
1000000US160010001011011,15
1000000US160010001011012,0
1000000US160010001011013,0
1000000US160010001011014,0
1000000US160010001011015,0
1000000US160010001011016,120
1000000US160010001011017,0
1000000US160010001011018,0
1000000US160010001011019,12
1000000US160010001011020,0
1000000US160010001011021,0
1000000US160010001011022,0
1000000US160010001011023,0
1000000US160010001011024,0
1000000US160010001011025,0
1000000US160010001011026,0
1000000US160010001012000,0
1000000US160010001012001,0
1000000US160010001012002,0
1000000US160010001012003,100
1000000US160010001012004,168
1000000US160010001012005,0
1000000US160010001012006,0
1000000US160010001012007,0
1000000US160010001012008,0
1000000US160010001012009,0
1000000US160010001012010,111
1000000US160010001012011,12
1000000US160010001012012,0
1000000US160010001012013,0
1000000US160010001012014,0
1000000US160010001012015,0
1000000US160010001012016,59
1000000US160010001012017,15
1000000US160010001012018,18
1000000US160010001012019,0
1000000US160010001012020,0
1000000US160010001012021,154
1000000US160010001012022,88
1000000US160010001012023,138
1000000US160010001012024,151
1000000US160010001012025,0
1000000US160010001012026,7
1000000US160010001012027,0
1000000US160010001012028,0
1000000US160010001012029,0
1000000US160010001012030,0
1000000US160010001012031,15
1000000US160010001012032,39
1000000US160010001012033,0
1000000US160010001012034,44
1000000US160010001012035,0
1000000US160010001021000,11
1000000US160010001021001,23
1000000US160010001021002,17
1000000US160010001021003,0
1000000US160010001021004,34
1000000US160010001021005,28
1000000US160010001021006,20
1000000US160010001021007,39
1000000US160010001021008,0
1000000US160010001021009,6
1000000US160010001021010,23
1000000US160010001021011,11
1000000US160010001021012,33
1000000US160010001021013,34
1000000US160010001021014,59
1000000US160010001021015,10
1000000US160010001021016,29
1000000US160010001021017,38
1000000US160010001021018,9
1000000US160010001021019,14
1000000US160010001021020,78
1000000US160010001021021,0
1000000US160010001021022,13
1000000US160010001021023,26
1000000US160010001021024,23
1000000US160010001021025,64
1000000US160010001021026,40
1000000US160010001021027,31
1000000US160010001021028,38
1000000US160010001021029,0
1000000US160010001021030,0
1000000US160010001021031,26
1000000US160010001021032,5
1000000US160010001021033,56
1000000US160010001021034,2
1000000US160010001021035,51
1000000US160010001021036,11
1000000US160010001021037,0
1000000US160010001021038,0
1000000US160010001021039,0
1000000US160010001021040,14
1000000US160010001021041,55
1000000US160010001021042,19
1000000US160010001021043,34
1000000US160010001021044,33
1000000US160010001021045,29
1000000US160010001021046,0
1000000US160010001021047,15
1000000US160010001021048,4
1000000US160010001021049,0
1000000US160010001021050,0
1000000US160010001021051,0
1000000US160010001021052,0
1000000US160010001021053,0
1000000US160010001021054,0
1000000US160010001021055,0
1000000US160010001021056,0
1000000US160010001021057,0
1000000US160010001021058,0
1000000US160010001021059,0
1000000US160010001021060,0
1000000US160010001021061,0
1000000US160010001021062,11
1000000US160010001021063,0
1000000US160010001021064,0
1000000US160010001022000,51
1000000US160010001022001,23
1000000US160010001022002,8
1000000US160010001022003,8
1000000US160010001022004,17
1000000US160010001022005,3
1000000US160010001022006,0
1000000US160010001022007,0
1000000US160010001022008,0
1000000US160010001022009,0
