Geography, !!Total:
1000000US210019701001000,19
1000000US210019701001001,39
1000000US210019701001002,3
1000000US210019701001003,34
1000000US210019701001004,9
1000000US210019701001005,0
1000000US210019701001006,14
1000000US210019701001007,14
1000000US210019701001008,14
1000000US210019701001009,14
1000000US210019701001010,35
1000000US210019701001011,0
1000000US210019701001012,1
1000000US210019701001013,2
1000000US210019701001014,32
1000000US210019701001015,0
1000000US210019701001016,13
1000000US210019701001017,8
1000000US210019701001018,71
1000000US210019701001019,1
1000000US210019701001020,0
1000000US210019701001021,35
1000000US210019701001022,6
1000000US210019701001023,56
1000000US210019701001024,17
1000000US210019701001025,0
1000000US210019701001026,21
1000000US210019701001027,0
1000000US210019701001028,0
1000000US210019701001029,0
1000000US210019701001030,0
1000000US210019701001031,0
1000000US210019701001032,2
1000000US210019701001033,42
1000000US210019701001034,9
1000000US210019701001035,22
1000000US210019701001036,46
1000000US210019701001037,0
1000000US210019701001038,0
1000000US210019701001039,9
1000000US210019701001040,8
1000000US210019701001041,30
1000000US210019701001042,5
1000000US210019701001043,0
1000000US210019701001044,0
1000000US210019701001045,0
1000000US210019701002000,3
1000000US210019701002001,5
1000000US210019701002002,3
1000000US210019701002003,2
1000000US210019701002004,0
1000000US210019701002005,0
1000000US210019701002006,0
1000000US210019701002007,6
1000000US210019701002008,0
1000000US210019701002009,0
1000000US210019701002010,6
1000000US210019701002011,14
1000000US210019701002012,102
1000000US210019701002013,14
1000000US210019701002014,15
1000000US210019701002015,53
1000000US210019701002016,48
1000000US210019701002017,28
1000000US210019701002018,24
1000000US210019701002019,3
1000000US210019701002020,2
1000000US210019701002021,40
1000000US210019701002022,35
1000000US210019701002023,14
1000000US210019701002024,22
1000000US210019701002025,18
1000000US210019701002026,12
1000000US210019701002027,15
1000000US210019701002028,1
1000000US210019701002029,0
1000000US210019701002030,5
1000000US210019701002031,21
1000000US210019701002032,0
1000000US210019701002033,10
1000000US210019701002034,0
1000000US210019701002035,0
1000000US210019701002036,11
1000000US210019701002037,0
1000000US210019701002038,0
1000000US210019701002039,0
1000000US210019701002040,55
1000000US210019701002041,0
1000000US210019701002042,0
1000000US210019701002043,0
1000000US210019701002044,0
1000000US210019701002045,0
1000000US210019701002046,0
1000000US210019701002047,0
1000000US210019701002048,0
1000000US210019701002049,0
1000000US210019701002050,0
1000000US210019701002051,0
1000000US210019701002052,0
1000000US210019701002053,0
1000000US210019701002054,0
1000000US210019701002055,0
1000000US210019701002056,0
1000000US210019701002057,0
1000000US210019701002058,0
1000000US210019701002059,0
1000000US210019701002060,0
1000000US210019701002061,0
1000000US210019701002062,0
1000000US210019702001000,0
1000000US210019702001001,5
1000000US210019702001002,155
1000000US210019702001003,0
1000000US210019702001004,3
1000000US210019702001005,16
1000000US210019702001006,8
1000000US210019702001007,0
1000000US210019702001008,4
1000000US210019702001009,0
1000000US210019702001010,1
1000000US210019702001011,19
1000000US210019702001012,0
1000000US210019702001013,82
1000000US210019702001014,2
1000000US210019702001015,1
1000000US210019702001016,116
1000000US210019702001017,15
1000000US210019702001018,8
1000000US210019702001019,102
1000000US210019702001020,112
1000000US210019702001021,8
1000000US210019702001022,89
1000000US210019702001023,7
1000000US210019702001024,0
1000000US210019702001025,9
1000000US210019702001026,8
1000000US210019702001027,6
1000000US210019702001028,0
1000000US210019702001029,20
1000000US210019702001030,2
1000000US210019702001031,42
1000000US210019702001032,17
1000000US210019702001033,0
1000000US210019702001034,2
1000000US210019702001035,3
1000000US210019702001036,15
1000000US210019702001037,3
1000000US210019702001038,21
1000000US210019702001039,28
1000000US210019702001040,1
1000000US210019702001041,24
1000000US210019702001042,7
1000000US210019702001043,9
1000000US210019702001044,39
1000000US210019702001045,25
1000000US210019702001046,0
1000000US210019702001047,0
1000000US210019702001048,0
1000000US210019702001049,25
1000000US210019702001050,0
1000000US210019702001051,0
1000000US210019702001052,14
1000000US210019702001053,0
1000000US210019702001054,25
1000000US210019702001055,12
1000000US210019702001056,4
1000000US210019702001057,39
1000000US210019702001058,24
1000000US210019702001059,17
1000000US210019702001060,5
1000000US210019702001061,0
1000000US210019702001062,12
1000000US210019702001063,8
1000000US210019702001064,7
1000000US210019702001065,64
1000000US210019702001066,0
1000000US210019702001067,0
1000000US210019702001068,5
1000000US210019702001069,0
1000000US210019702001070,0
1000000US210019702001071,0
1000000US210019702001072,23
1000000US210019702001073,2
1000000US210019702001074,0
1000000US210019702001075,0
1000000US210019702001076,4
1000000US210019702001077,2
1000000US210019702001078,0
1000000US210019702001079,40
1000000US210019702001080,8
1000000US210019702001081,4
1000000US210019702001082,0
1000000US210019703001000,0
1000000US210019703001001,0
1000000US210019703001002,6
1000000US210019703001003,2
1000000US210019703001004,0
1000000US210019703001005,2
1000000US210019703001006,24
1000000US210019703001007,4
1000000US210019703001008,5
1000000US210019703001009,19
1000000US210019703001010,1
1000000US210019703001011,23
1000000US210019703001012,0
1000000US210019703001013,0
1000000US210019703001014,0
1000000US210019703001015,0
1000000US210019703001016,0
1000000US210019703001017,9
1000000US210019703001018,102
1000000US210019703001019,0
1000000US210019703001020,0
1000000US210019703001021,0
1000000US210019703001022,0
1000000US210019703001023,89
1000000US210019703001024,0
1000000US210019703001025,0
1000000US210019703001026,0
1000000US210019703001027,42
1000000US210019703001028,0
1000000US210019703001029,13
1000000US210019703001030,0
1000000US210019703001031,14
1000000US210019703001032,11
1000000US210019703001033,36
1000000US210019703001034,10
1000000US210019703001035,43
1000000US210019703001036,113
1000000US210019703001037,8
1000000US210019703001038,52
1000000US210019703001039,17
1000000US210019703001040,0
1000000US210019703002000,128
1000000US210019703002001,63
1000000US210019703002002,30
1000000US210019703002003,20
1000000US210019703002004,8
1000000US210019703002005,2
1000000US210019703002006,65
1000000US210019703002007,21
1000000US210019703002008,62
1000000US210019703002009,27
1000000US210019703002010,0
1000000US210019703002011,18
1000000US210019703002012,0
1000000US210019703002013,20
1000000US210019703002014,0
1000000US210019703002015,0
1000000US210019703002016,40
1000000US210019703002017,30
1000000US210019703002018,21
1000000US210019703002019,24
1000000US210019703002020,8
1000000US210019703002021,0
1000000US210019703002022,15
1000000US210019703002023,1
1000000US210019703002024,55
1000000US210019703002025,81
1000000US210019703002026,68
1000000US210019703002027,5
1000000US210019703002028,24
1000000US210019703002029,0
1000000US210019703002030,0
1000000US210019703002031,25
1000000US210019703002032,10
1000000US210019703002033,22
1000000US210019703002034,6
1000000US210019703002035,12
1000000US210019703002036,32
1000000US210019703002037,12
1000000US210019703002038,7
1000000US210019703002039,13
1000000US210019703002040,13
1000000US210019703003000,14
1000000US210019703003001,18
1000000US210019703003002,17
1000000US210019703003003,4
1000000US210019703003004,19
1000000US210019703003005,22
1000000US210019703003006,2
1000000US210019703003007,7
1000000US210019703003008,18
1000000US210019703003009,0
1000000US210019703003010,13
1000000US210019703003011,52
1000000US210019703003012,51
1000000US210019703003013,0
1000000US210019703003014,2
1000000US210019703003015,56
1000000US210019703003016,5
1000000US210019703003017,43
1000000US210019703003018,0
1000000US210019703003019,59
1000000US210019703003020,40
1000000US210019703003021,6
1000000US210019703003022,3
1000000US210019703003023,0
1000000US210019703003024,0
1000000US210019703003025,39
1000000US210019703003026,0
1000000US210019703003027,0
1000000US210019703003028,5
1000000US210019703003029,14
1000000US210019703003030,16
1000000US210019703003031,17
1000000US210019703003032,40
1000000US210019703003033,0
1000000US210019703003034,8
1000000US210019703003035,0
1000000US210019703003036,34
1000000US210019703003037,5
1000000US210019703003038,3
1000000US210019703003039,10
1000000US210019703003040,0
1000000US210019703003041,3
1000000US210019703003042,8
1000000US210019703003043,12
1000000US210019703003044,0
1000000US210019703003045,22
1000000US210019703003046,0
1000000US210019703003047,0
1000000US210019703003048,0
1000000US210019703003049,0
1000000US210019703003050,3
1000000US210019703003051,2
1000000US210019703003052,0
1000000US210019704011000,6
1000000US210019704011001,73
1000000US210019704011002,13
1000000US210019704011003,0
1000000US210019704011004,0
1000000US210019704011005,0
1000000US210019704011006,95
1000000US210019704011007,80
1000000US210019704011008,0
1000000US210019704011009,30
1000000US210019704011010,0
1000000US210019704011011,0
1000000US210019704011012,0
1000000US210019704011013,0
1000000US210019704011014,0
1000000US210019704011015,0
1000000US210019704011016,0
1000000US210019704011017,0
1000000US210019704011018,50
1000000US210019704011019,6
1000000US210019704011020,0
1000000US210019704011021,0
1000000US210019704011022,0
1000000US210019704011023,24
1000000US210019704011024,0
1000000US210019704011025,0
1000000US210019704011026,163
1000000US210019704011027,5
1000000US210019704011028,0
1000000US210019704011029,0
1000000US210019704011030,13
1000000US210019704011031,96
1000000US210019704011032,5
1000000US210019704011033,2
1000000US210019704011034,0
1000000US210019704011035,2
1000000US210019704011036,1
1000000US210019704011037,14
1000000US210019704011038,33
1000000US210019704011039,3
1000000US210019704011040,0
1000000US210019704011041,0
1000000US210019704011042,14
1000000US210019704011043,0
1000000US210019704011044,0
1000000US210019704011045,0
1000000US210019704011046,0
1000000US210019704011047,36
1000000US210019704011048,0
1000000US210019704011049,5
1000000US210019704011050,5
1000000US210019704011051,0
1000000US210019704011052,3
1000000US210019704011053,4
1000000US210019704011054,0
1000000US210019704011055,29
1000000US210019704011056,5
1000000US210019704011057,1
1000000US210019704011058,0
1000000US210019704011059,50
1000000US210019704011060,2
1000000US210019704011061,10
1000000US210019704011062,10
1000000US210019704011063,1
1000000US210019704011064,0
1000000US210019704011065,0
1000000US210019704011066,3
1000000US210019704011067,34
1000000US210019704011068,16
1000000US210019704011069,0
1000000US210019704011070,4
1000000US210019704011071,69
1000000US210019704011072,4
1000000US210019704011073,26
1000000US210019704011074,17
1000000US210019704011075,49
1000000US210019704011076,30
1000000US210019704011077,3
1000000US210019704011078,39
1000000US210019704011079,0
1000000US210019704011080,15
1000000US210019704011081,2
1000000US210019704011082,0
1000000US210019704011083,0
1000000US210019704011084,10
1000000US210019704012000,0
1000000US210019704012001,0
1000000US210019704012002,0
1000000US210019704012003,46
1000000US210019704012004,21
1000000US210019704012005,28
1000000US210019704012006,23
1000000US210019704012007,4
1000000US210019704012008,0
1000000US210019704012009,1
1000000US210019704012010,35
1000000US210019704012011,3
1000000US210019704012012,45
1000000US210019704012013,9
1000000US210019704012014,7
1000000US210019704012015,40
1000000US210019704012016,49
1000000US210019704012017,18
1000000US210019704012018,20
1000000US210019704012019,0
1000000US210019704012020,112
1000000US210019704012021,19
1000000US210019704012022,17
1000000US210019704012023,55
1000000US210019704012024,29
1000000US210019704012025,22
1000000US210019704012026,30
1000000US210019704012027,16
1000000US210019704012028,13
1000000US210019704012029,32
1000000US210019704012030,71
1000000US210019704012031,6
1000000US210019704012032,0
1000000US210019704012033,0
1000000US210019704012034,0
1000000US210019704012035,0
1000000US210019704012036,9
1000000US210019704012037,0
1000000US210019704012038,0
1000000US210019704012039,0
1000000US210019704012040,11
1000000US210019704012041,6
1000000US210019704012042,0
1000000US210019704012043,0
1000000US210019704012044,0
1000000US210019704012045,0
1000000US210019704012046,5
1000000US210019704012047,11
1000000US210019704012048,7
1000000US210019704012049,20
1000000US210019704013000,0
1000000US210019704013001,0
1000000US210019704013002,14
1000000US210019704013003,10
1000000US210019704013004,0
1000000US210019704013005,0
1000000US210019704013006,7
1000000US210019704013007,0
1000000US210019704013008,0
1000000US210019704013009,0
1000000US210019704013010,90
1000000US210019704013011,11
1000000US210019704013012,30
1000000US210019704013013,13
1000000US210019704013014,81
1000000US210019704013015,130
1000000US210019704013016,7
1000000US210019704013017,15
1000000US210019704013018,9
1000000US210019704013019,13
1000000US210019704013020,6
1000000US210019704013021,5
1000000US210019704013022,0
1000000US210019704013023,0
1000000US210019704013024,7
1000000US210019704013025,0
1000000US210019704013026,28
1000000US210019704013027,0
1000000US210019704013028,0
1000000US210019704013029,2
1000000US210019704013030,202
1000000US210019704013031,19
1000000US210019704013032,9
1000000US210019704013033,34
1000000US210019704013034,19
1000000US210019704013035,18
1000000US210019704013036,14
1000000US210019704013037,33
1000000US210019704013038,90
1000000US210019704013039,25
1000000US210019704013040,60
1000000US210019704013041,30
1000000US210019704013042,12
1000000US210019704013043,20
1000000US210019704013044,2
1000000US210019704013045,2
1000000US210019704013046,9
1000000US210019704013047,0
1000000US210019704013048,0
1000000US210019704013049,34
1000000US210019704013050,47
1000000US210019704013051,42
1000000US210019704013052,6
1000000US210019704013053,4
1000000US210019704013054,0
1000000US210019704013055,12
1000000US210019704013056,104
1000000US210019704021000,52
1000000US210019704021001,5
1000000US210019704021002,11
1000000US210019704021003,48
1000000US210019704021004,160
1000000US210019704021005,4
1000000US210019704021006,19
1000000US210019704021007,39
1000000US210019704021008,42
1000000US210019704021009,0
1000000US210019704021010,0
1000000US210019704021011,0
1000000US210019704021012,0
1000000US210019704021013,0
1000000US210019704021014,9
1000000US210019704021015,5
1000000US210019704021016,24
1000000US210019704021017,16
1000000US210019704021018,92
1000000US210019704021019,68
1000000US210019704021020,86
1000000US210019704021021,20
1000000US210019704021022,0
1000000US210019704021023,0
1000000US210019704021024,0
1000000US210019704021025,0
1000000US210019704021026,18
1000000US210019704021027,14
1000000US210019704021028,0
1000000US210019704021029,131
1000000US210019704021030,56
1000000US210019704021031,9
1000000US210019704021032,29
1000000US210019704021033,62
1000000US210019704021034,7
1000000US210019704021035,9
1000000US210019704021036,9
1000000US210019704021037,19
1000000US210019704021038,0
1000000US210019704021039,15
1000000US210019704021040,0
1000000US210019704021041,29
1000000US210019704021042,0
1000000US210019704021043,20
1000000US210019704021044,7
1000000US210019704021045,58
1000000US210019704021046,9
1000000US210019704021047,1
1000000US210019704021048,7
1000000US210019704021049,0
1000000US210019704021050,13
1000000US210019704021051,0
1000000US210019704021052,9
1000000US210019704021053,143
1000000US210019704021054,18
1000000US210019704021055,40
1000000US210019704021056,0
1000000US210019704021057,6
1000000US210019704021058,31
1000000US210019704021059,12
1000000US210019704021060,2
1000000US210019704021061,27
1000000US210019704022000,0
1000000US210019704022001,43
1000000US210019704022002,121
1000000US210019704022003,10
1000000US210019704022004,0
1000000US210019704022005,0
1000000US210019704022006,0
1000000US210019704022007,16
1000000US210019704022008,15
1000000US210019704022009,5
1000000US210019704022010,0
1000000US210019704022011,8
1000000US210019704022012,801
1000000US210019704022013,45
1000000US210019704022014,56
1000000US210019704022015,9
1000000US210019704022016,33
1000000US210019704022017,72
1000000US210019704022018,3
1000000US210019704022019,38
1000000US210019704022020,52
1000000US210019704022021,18
1000000US210019704022022,40
1000000US210019704022023,24
1000000US210019704022024,33
1000000US210019704022025,25
1000000US210019704022026,19
