Geography, !!Total:
1000000US220019601011000,19
1000000US220019601011001,99
1000000US220019601011002,54
1000000US220019601011003,0
1000000US220019601011004,159
1000000US220019601011005,15
1000000US220019601011006,18
1000000US220019601012000,0
1000000US220019601012001,15
1000000US220019601012002,0
1000000US220019601012003,2
1000000US220019601012004,6
1000000US220019601012005,8
1000000US220019601012006,34
1000000US220019601012007,13
1000000US220019601012008,10
1000000US220019601012009,48
1000000US220019601012010,15
1000000US220019601012011,20
1000000US220019601012012,22
1000000US220019601012013,17
1000000US220019601012014,8
1000000US220019601012015,6
1000000US220019601012016,0
1000000US220019601012017,0
1000000US220019601012018,0
1000000US220019601012019,0
1000000US220019601012020,0
1000000US220019601012021,12
1000000US220019601012022,21
1000000US220019601013000,0
1000000US220019601013001,1
1000000US220019601013002,16
1000000US220019601013003,11
1000000US220019601013004,1
1000000US220019601013005,6
1000000US220019601013006,5
1000000US220019601013007,2
1000000US220019601013008,34
1000000US220019601013009,3
1000000US220019601013010,13
1000000US220019601013011,4
1000000US220019601013012,7
1000000US220019601013013,17
1000000US220019601013014,25
1000000US220019601013015,45
1000000US220019601013016,16
1000000US220019601013017,75
1000000US220019601013018,23
1000000US220019601013019,29
1000000US220019601013020,70
1000000US220019601013021,20
1000000US220019601013022,23
1000000US220019601013023,23
1000000US220019601013024,109
1000000US220019601013025,0
1000000US220019601013026,30
1000000US220019601013027,13
1000000US220019601013028,14
1000000US220019601013029,9
1000000US220019601014000,0
1000000US220019601014001,38
1000000US220019601014002,0
1000000US220019601014003,17
1000000US220019601014004,38
1000000US220019601014005,0
1000000US220019601014006,19
1000000US220019601014007,92
1000000US220019601014008,79
1000000US220019601015000,54
1000000US220019601015001,77
1000000US220019601015002,0
1000000US220019601015003,101
1000000US220019601015004,0
1000000US220019601015005,22
1000000US220019601015006,29
1000000US220019601015007,6
1000000US220019601015008,7
1000000US220019601015009,94
1000000US220019601016000,49
1000000US220019601016001,49
1000000US220019601016002,12
1000000US220019601016003,65
1000000US220019601016004,10
1000000US220019601016005,5
1000000US220019601016006,0
1000000US220019601016007,5
1000000US220019601016008,0
1000000US220019601016009,1
1000000US220019601016010,0
1000000US220019601016011,40
1000000US220019601016012,8
1000000US220019601017000,11
1000000US220019601017001,26
1000000US220019601017002,3
1000000US220019601017003,2
1000000US220019601017004,9
1000000US220019601017005,8
1000000US220019601017006,4
1000000US220019601017007,0
1000000US220019601017008,14
1000000US220019601017009,19
1000000US220019601017010,17
1000000US220019601017011,0
1000000US220019601017012,1
1000000US220019601017013,0
1000000US220019601017014,7
1000000US220019601017015,7
1000000US220019601017016,4
1000000US220019601017017,13
1000000US220019601017018,19
1000000US220019601017019,13
1000000US220019601017020,4
1000000US220019601017021,4
1000000US220019601017022,0
1000000US220019601017023,9
1000000US220019601017024,15
1000000US220019601017025,8
1000000US220019601017026,12
1000000US220019601017027,31
1000000US220019601017028,0
1000000US220019601017029,9
1000000US220019601017030,37
1000000US220019601017031,8
1000000US220019601017032,10
1000000US220019601017033,16
1000000US220019601021000,32
1000000US220019601021001,0
1000000US220019601021002,0
1000000US220019601021003,0
1000000US220019601021004,19
1000000US220019601021005,20
1000000US220019601021006,31
1000000US220019601021007,9
1000000US220019601021008,33
1000000US220019601021009,101
1000000US220019601021010,14
1000000US220019601021011,17
1000000US220019601021012,15
1000000US220019601021013,20
1000000US220019601021014,24
1000000US220019601021015,40
1000000US220019601021016,34
1000000US220019601021017,10
1000000US220019601021018,17
1000000US220019601021019,12
1000000US220019601022000,19
1000000US220019601022001,0
1000000US220019601022002,7
1000000US220019601022003,35
1000000US220019601022004,12
1000000US220019601022005,44
1000000US220019601022006,12
1000000US220019601022007,63
1000000US220019601022008,69
1000000US220019601022009,90
1000000US220019601022010,19
1000000US220019601022011,8
1000000US220019601022012,17
1000000US220019601022013,16
1000000US220019601023000,2
1000000US220019601023001,26
1000000US220019601023002,14
1000000US220019601023003,0
1000000US220019601023004,1
1000000US220019601023005,0
1000000US220019601023006,24
1000000US220019601023007,38
1000000US220019601023008,2
1000000US220019601023009,4
1000000US220019601023010,0
1000000US220019601023011,33
1000000US220019601023012,6
1000000US220019601023013,12
1000000US220019601023014,5
1000000US220019601023015,12
1000000US220019601023016,35
1000000US220019601023017,8
1000000US220019601023018,8
1000000US220019601023019,78
1000000US220019601023020,22
1000000US220019601023021,0
1000000US220019601023022,75
1000000US220019601023023,24
1000000US220019601023024,22
1000000US220019601024000,0
1000000US220019601024001,0
1000000US220019601024002,48
1000000US220019601024003,156
1000000US220019601024004,39
1000000US220019601024005,54
1000000US220019601024006,36
1000000US220019601024007,54
