Geography, !!Total:
1000000US230010101001000,0
1000000US230010101001001,0
1000000US230010101001002,97
1000000US230010101001003,34
1000000US230010101001004,0
1000000US230010101001005,15
1000000US230010101001006,0
1000000US230010101001007,83
1000000US230010101001008,89
1000000US230010101001009,0
1000000US230010101001010,39
1000000US230010101001011,135
1000000US230010101001012,0
1000000US230010101001013,70
1000000US230010101001014,38
1000000US230010101001015,70
1000000US230010101001016,65
1000000US230010101001017,89
1000000US230010101001018,83
1000000US230010101001019,30
1000000US230010101001020,60
1000000US230010101001021,0
1000000US230010101001022,5
1000000US230010101001023,45
1000000US230010101001024,0
1000000US230010101001025,20
1000000US230010101001026,7
1000000US230010101001027,42
1000000US230010101001028,73
1000000US230010101001029,0
1000000US230010101001030,0
1000000US230010101001031,28
1000000US230010101001032,18
1000000US230010101001033,8
1000000US230010101001034,17
1000000US230010101001035,39
1000000US230010101001036,0
1000000US230010101001037,24
1000000US230010101001038,84
1000000US230010101001039,28
1000000US230010101001040,0
1000000US230010101001041,0
1000000US230010101001042,0
1000000US230010101001043,0
1000000US230010101001044,11
1000000US230010101001045,0
1000000US230010101001046,0
1000000US230010101001047,2
1000000US230010102001000,0
1000000US230010102001001,27
1000000US230010102001002,4
1000000US230010102001003,10
1000000US230010102001004,21
1000000US230010102001005,8
1000000US230010102001006,11
1000000US230010102001007,1
1000000US230010102001008,3
1000000US230010102001009,0
1000000US230010102001010,0
1000000US230010102001011,33
1000000US230010102001012,9
1000000US230010102001013,16
1000000US230010102002000,0
1000000US230010102002001,0
1000000US230010102002002,117
1000000US230010102002003,7
1000000US230010102002004,15
1000000US230010102002005,0
1000000US230010102002006,413
1000000US230010102002007,11
1000000US230010102002008,1
1000000US230010102002009,9
1000000US230010102002010,82
1000000US230010102002011,13
1000000US230010102002012,98
1000000US230010102002013,36
1000000US230010102002014,26
1000000US230010102002015,4
1000000US230010102002016,0
1000000US230010102002017,0
1000000US230010102002018,15
1000000US230010102002019,0
1000000US230010102002020,10
1000000US230010102002021,1
1000000US230010102002022,0
1000000US230010102002023,12
1000000US230010102002024,25
1000000US230010102002025,4
1000000US230010102002026,32
1000000US230010102002027,51
1000000US230010102002028,29
1000000US230010102002029,206
1000000US230010102002030,63
1000000US230010102002031,18
1000000US230010102002032,9
1000000US230010102002033,11
1000000US230010102002034,3
1000000US230010102002035,41
1000000US230010102002036,44
1000000US230010102002037,10
1000000US230010102002038,0
1000000US230010102002039,11
1000000US230010102002040,0
1000000US230010102002041,44
1000000US230010102002042,7
1000000US230010102002043,0
1000000US230010102002044,10
1000000US230010102002045,0
1000000US230010102002046,91
1000000US230010102002047,9
1000000US230010102002048,31
1000000US230010102002049,14
1000000US230010102002050,31
1000000US230010102002051,13
1000000US230010102002052,78
1000000US230010102002053,0
1000000US230010102002054,17
1000000US230010102002055,5
1000000US230010102003000,310
1000000US230010102003001,14
1000000US230010102003002,202
1000000US230010102003003,32
1000000US230010102003004,14
1000000US230010102003005,31
1000000US230010102003006,537
1000000US230010102003007,36
1000000US230010102003008,61
1000000US230010102003009,69
1000000US230010102003010,11
1000000US230010102003011,52
1000000US230010102003012,28
1000000US230010102004000,5
1000000US230010102004001,6
1000000US230010102004002,199
1000000US230010102004003,11
1000000US230010102004004,0
1000000US230010102004005,38
1000000US230010102004006,51
1000000US230010102004007,16
1000000US230010102004008,27
1000000US230010102004009,65
1000000US230010102004010,101
1000000US230010102004011,54
1000000US230010102004012,26
1000000US230010102004013,39
1000000US230010102004014,47
1000000US230010103001000,113
1000000US230010103001001,32
1000000US230010103001002,29
1000000US230010103001003,13
1000000US230010103001004,38
1000000US230010103001005,23
1000000US230010103001006,18
1000000US230010103001007,15
