Geography, !!Total:
1000000US240010001001000,27
1000000US240010001001001,2
1000000US240010001001002,4
1000000US240010001001003,0
1000000US240010001001004,0
1000000US240010001001005,34
1000000US240010001001006,1
1000000US240010001001007,93
1000000US240010001001008,5
1000000US240010001001009,20
1000000US240010001001010,11
1000000US240010001001011,3
1000000US240010001001012,28
1000000US240010001001013,15
1000000US240010001001014,0
1000000US240010001001015,0
1000000US240010001001016,0
1000000US240010001001017,0
1000000US240010001001018,0
1000000US240010001001019,18
1000000US240010001001020,18
1000000US240010001001021,13
1000000US240010001001022,10
1000000US240010001001023,15
1000000US240010001001024,9
1000000US240010001001025,9
1000000US240010001001026,9
1000000US240010001001027,11
1000000US240010001001028,14
1000000US240010001001029,0
1000000US240010001001030,46
1000000US240010001001031,2
1000000US240010001001032,25
1000000US240010001001033,15
1000000US240010001001034,5
1000000US240010001001035,18
1000000US240010001001036,9
1000000US240010001001037,18
1000000US240010001001038,33
1000000US240010001001039,0
1000000US240010001001040,3
1000000US240010001001041,0
1000000US240010001001042,6
1000000US240010001001043,0
1000000US240010001001044,6
1000000US240010001001045,4
1000000US240010001001046,11
1000000US240010001001047,9
1000000US240010001001048,2
1000000US240010001001049,0
1000000US240010001001050,0
1000000US240010001001051,4
1000000US240010001001052,7
1000000US240010001001053,7
1000000US240010001001054,0
1000000US240010001001055,0
1000000US240010001001056,3
1000000US240010001001057,0
1000000US240010001001058,6
1000000US240010001001059,0
1000000US240010001001060,0
1000000US240010001001061,3
1000000US240010001001062,15
1000000US240010001002000,84
1000000US240010001002001,0
1000000US240010001002002,15
1000000US240010001002003,10
1000000US240010001002004,4
1000000US240010001002005,89
1000000US240010001002006,60
1000000US240010001002007,0
1000000US240010001002008,0
1000000US240010001002009,44
1000000US240010001002010,11
1000000US240010001002011,55
1000000US240010001002012,6
1000000US240010001002013,19
1000000US240010001002014,0
1000000US240010001002015,0
1000000US240010001002016,10
1000000US240010001002017,0
1000000US240010001002018,0
1000000US240010001002019,23
1000000US240010001002020,9
1000000US240010001002021,2
1000000US240010001002022,7
1000000US240010001002023,27
1000000US240010001002024,48
