Geography, !!Total:
1000000US250010101001000,0
1000000US250010101001001,11
1000000US250010101001002,0
1000000US250010101001003,0
1000000US250010101001004,0
1000000US250010101001005,0
1000000US250010101001006,179
1000000US250010101001007,38
1000000US250010101001008,32
1000000US250010101001009,0
1000000US250010101001010,0
1000000US250010101001011,57
1000000US250010101001012,0
1000000US250010101001013,0
1000000US250010101001014,7
1000000US250010101001015,0
1000000US250010101001016,156
1000000US250010101001017,0
1000000US250010101001018,0
1000000US250010101001019,90
1000000US250010101001020,0
1000000US250010101001021,0
1000000US250010101001022,41
1000000US250010101001023,0
1000000US250010101001024,0
1000000US250010101001025,0
1000000US250010101001026,0
1000000US250010101001027,0
1000000US250010101001028,0
1000000US250010101001029,0
1000000US250010101001030,0
1000000US250010101001031,0
1000000US250010101001032,0
1000000US250010101001033,0
1000000US250010101001034,10
1000000US250010101001035,6
1000000US250010101001036,11
1000000US250010101001037,0
1000000US250010101001038,79
1000000US250010101001039,78
1000000US250010101001040,21
1000000US250010101001041,11
1000000US250010101001042,7
1000000US250010101001043,16
1000000US250010101001044,14
1000000US250010101001045,0
1000000US250010101001046,0
1000000US250010101001047,23
1000000US250010101001048,7
1000000US250010101001049,7
1000000US250010101001050,2
1000000US250010101001051,9
1000000US250010101001052,6
1000000US250010101001053,11
1000000US250010101001054,11
1000000US250010101001055,0
1000000US250010101001056,0
1000000US250010101002000,15
1000000US250010101002001,2
1000000US250010101002002,24
1000000US250010101002003,53
1000000US250010101002004,27
1000000US250010101002005,8
1000000US250010101002006,43
1000000US250010101002007,0
1000000US250010101002008,6
1000000US250010101002009,9
1000000US250010101002010,3
1000000US250010101002011,7
1000000US250010101002012,12
1000000US250010101002013,291
1000000US250010101002014,12
1000000US250010101002015,14
1000000US250010101002016,19
1000000US250010101002017,29
1000000US250010101002018,21
1000000US250010101002019,5
1000000US250010101002020,19
1000000US250010101003000,133
1000000US250010101003001,155
1000000US250010101003002,5
1000000US250010101003003,13
1000000US250010101003004,11
1000000US250010101003005,18
1000000US250010101003006,54
1000000US250010101003007,40
1000000US250010101003008,71
1000000US250010101003009,10
1000000US250010101003010,52
1000000US250010101003011,17
1000000US250010101003012,13
1000000US250010101003013,17
1000000US250010101003014,8
1000000US250010101004000,43
1000000US250010101004001,54
1000000US250010101004002,0
1000000US250010101004003,7
1000000US250010101004004,23
1000000US250010101004005,0
1000000US250010101004006,0
1000000US250010101004007,95
1000000US250010101004008,15
1000000US250010101004009,49
1000000US250010101004010,0
1000000US250010101004011,146
1000000US250010101004012,15
1000000US250010101004013,72
1000000US250010101004014,99
1000000US250010101004015,3
1000000US250010101004016,12
1000000US250010101004017,30
1000000US250010101004018,22
1000000US250010101005000,49
1000000US250010101005001,9
1000000US250010101005002,37
1000000US250010101005003,22
1000000US250010101005004,3
1000000US250010101005005,0
1000000US250010101005006,31
1000000US250010101005007,27
1000000US250010101005008,27
1000000US250010101005009,13
1000000US250010101005010,58
1000000US250010101005011,61
1000000US250010101005012,18
1000000US250010101005013,9
1000000US250010101005014,46
1000000US250010101005015,18
1000000US250010101005016,11
1000000US250010101005017,15
1000000US250010101005018,4
1000000US250010101005019,4
1000000US250010101005020,0
1000000US250010101005021,16
1000000US250010101005022,31
1000000US250010101005023,25
1000000US250010101005024,6
1000000US250010101005025,17
1000000US250010101005026,42
1000000US250010101005027,7
1000000US250010101005028,0
1000000US250010101005029,0
1000000US250010101005030,22
1000000US250010102061000,0
1000000US250010102061001,38
1000000US250010102061002,1
1000000US250010102061003,0
1000000US250010102061004,0
1000000US250010102061005,0
1000000US250010102061006,2
1000000US250010102061007,10
1000000US250010102061008,2
1000000US250010102061009,4
1000000US250010102061010,0
1000000US250010102061011,8
1000000US250010102061012,50
1000000US250010102061013,5
1000000US250010102061014,0
1000000US250010102061015,169
1000000US250010102061016,21
1000000US250010102061017,5
1000000US250010102061018,1
1000000US250010102061019,9
1000000US250010102061020,4
1000000US250010102061021,6
1000000US250010102061022,108
1000000US250010102061023,16
1000000US250010102061024,3
1000000US250010102061025,3
1000000US250010102061026,34
1000000US250010102061027,8
1000000US250010102061028,139
1000000US250010102061029,18
1000000US250010102061030,8
1000000US250010102061031,0
1000000US250010102061032,0
1000000US250010102061033,0
1000000US250010102061034,0
1000000US250010102061035,25
1000000US250010102061036,3
1000000US250010102061037,0
1000000US250010102061038,0
1000000US250010102061039,0
1000000US250010102061040,7
1000000US250010102061041,93
1000000US250010102061042,20
1000000US250010102061043,0
1000000US250010102061044,0
1000000US250010102061045,6
1000000US250010102061046,0
1000000US250010102062000,0
1000000US250010102062001,12
1000000US250010102062002,2
1000000US250010102062003,4
1000000US250010102062004,0
1000000US250010102062005,9
1000000US250010102062006,106
1000000US250010102062007,0
1000000US250010102062008,0
1000000US250010102062009,3
1000000US250010102062010,0
1000000US250010102062011,0
1000000US250010102062012,0
1000000US250010102062013,0
1000000US250010102062014,0
1000000US250010102062015,0
1000000US250010102062016,0
1000000US250010102062017,34
1000000US250010102062018,1
1000000US250010102062019,5
1000000US250010102062020,59
1000000US250010102062021,44
1000000US250010102062022,4
1000000US250010102062023,106
1000000US250010102062024,10
1000000US250010102062025,15
1000000US250010102062026,6
1000000US250010102062027,16
1000000US250010102062028,10
1000000US250010102062029,29
1000000US250010102062030,53
1000000US250010102062031,6
1000000US250010102062032,2
1000000US250010102062033,23
1000000US250010102062034,10
1000000US250010102062035,0
1000000US250010102062036,3
1000000US250010102062037,39
1000000US250010102062038,6
1000000US250010102062039,18
1000000US250010102062040,31
1000000US250010102062041,4
1000000US250010102062042,43
1000000US250010102062043,0
1000000US250010102062044,9
1000000US250010102062045,9
1000000US250010102062046,26
1000000US250010102062047,3
1000000US250010102062048,42
1000000US250010102062049,31
1000000US250010102062050,0
1000000US250010102062051,0
1000000US250010102062052,0
1000000US250010102062053,6
1000000US250010102062054,0
1000000US250010102062055,10
1000000US250010102062056,56
1000000US250010102062057,0
1000000US250010102062058,6
1000000US250010102062059,2
1000000US250010102062060,0
1000000US250010102062061,46
1000000US250010102062062,1
1000000US250010102062063,7
1000000US250010102062064,0
1000000US250010102062065,0
1000000US250010102062066,16
1000000US250010102062067,22
1000000US250010102063000,0
1000000US250010102063001,2
1000000US250010102063002,2
1000000US250010102063003,15
1000000US250010102063004,2
1000000US250010102063005,0
1000000US250010102063006,5
1000000US250010102063007,3
1000000US250010102063008,5
1000000US250010102063009,16
1000000US250010102063010,7
1000000US250010102063011,3
1000000US250010102063012,26
1000000US250010102063013,7
1000000US250010102063014,21
1000000US250010102063015,6
1000000US250010102063016,71
1000000US250010102063017,6
1000000US250010102063018,2
1000000US250010102063019,5
1000000US250010102063020,0
1000000US250010102063021,1
1000000US250010102063022,0
1000000US250010102063023,1
1000000US250010102063024,3
1000000US250010102063025,11
1000000US250010102063026,27
1000000US250010102063027,12
1000000US250010102063028,9
1000000US250010102063029,26
1000000US250010102063030,0
1000000US250010102063031,8
1000000US250010102063032,15
1000000US250010102063033,93
1000000US250010102063034,0
1000000US250010102063035,56
1000000US250010102063036,8
1000000US250010102063037,39
1000000US250010102063038,38
1000000US250010102063039,33
1000000US250010102063040,14
1000000US250010102063041,49
1000000US250010102063042,6
1000000US250010102063043,34
1000000US250010102063044,4
1000000US250010102063045,3
1000000US250010102063046,53
1000000US250010102063047,8
1000000US250010102063048,3
1000000US250010102063049,43
1000000US250010102063050,40
1000000US250010102063051,28
1000000US250010102063052,6
1000000US250010102063053,18
1000000US250010102063054,158
1000000US250010102063055,69
1000000US250010102063056,6
1000000US250010102063057,0
1000000US250010102063058,6
1000000US250010102063059,13
1000000US250010102063060,13
1000000US250010102063061,4
1000000US250010102063062,14
1000000US250010102063063,3
1000000US250010102063064,0
1000000US250010102063065,0
1000000US250010102063066,23
1000000US250010102063067,44
1000000US250010102063068,10
1000000US250010102063069,34
1000000US250010102063070,12
1000000US250010102063071,19
1000000US250010102063072,0
1000000US250010102063073,0
1000000US250010102063074,5
1000000US250010102063075,12
1000000US250010102063076,3
1000000US250010102081000,0
1000000US250010102081001,6
1000000US250010102081002,3
1000000US250010102081003,5
1000000US250010102081004,1
1000000US250010102081005,12
1000000US250010102081006,79
1000000US250010102081007,151
1000000US250010102081008,19
1000000US250010102081009,5
1000000US250010102081010,48
1000000US250010102081011,14
1000000US250010102081012,2
1000000US250010102081013,4
1000000US250010102081014,156
1000000US250010102081015,8
1000000US250010102081016,12
1000000US250010102081017,7
1000000US250010102081018,6
1000000US250010102081019,0
1000000US250010102081020,20
1000000US250010102081021,7
1000000US250010102081022,20
1000000US250010102081023,39
1000000US250010102081024,7
1000000US250010102081025,74
1000000US250010102081026,2
1000000US250010102081027,3
1000000US250010102081028,0
1000000US250010102081029,0
1000000US250010102081030,0
1000000US250010102081031,2
1000000US250010102081032,43
1000000US250010102081033,9
1000000US250010102081034,30
1000000US250010102081035,10
1000000US250010102081036,8
1000000US250010102081037,9
1000000US250010102081038,0
1000000US250010102081039,0
1000000US250010102082000,0
1000000US250010102082001,4
1000000US250010102082002,0
1000000US250010102082003,6
1000000US250010102082004,1
1000000US250010102082005,3
1000000US250010102082006,20
1000000US250010102082007,1
1000000US250010102082008,0
1000000US250010102082009,0
1000000US250010102082010,33
1000000US250010102082011,77
1000000US250010102082012,38
1000000US250010102082013,5
1000000US250010102082014,48
1000000US250010102082015,7
1000000US250010102082016,7
1000000US250010102082017,96
1000000US250010102082018,98
1000000US250010102082019,2
1000000US250010102082020,0
1000000US250010102082021,0
1000000US250010102082022,0
1000000US250010102082023,33
1000000US250010102082024,23
1000000US250010102082025,49
1000000US250010102082026,1
1000000US250010102082027,0
1000000US250010102082028,18
1000000US250010102082029,105
1000000US250010102082030,0
1000000US250010102082031,6
1000000US250010102082032,0
1000000US250010102082033,2
1000000US250010102083000,0
1000000US250010102083001,21
1000000US250010102083002,5
1000000US250010102083003,8
1000000US250010102083004,2
1000000US250010102083005,5
1000000US250010102083006,12
1000000US250010102083007,16
1000000US250010102083008,6
1000000US250010102083009,124
1000000US250010102083010,2
1000000US250010102083011,0
1000000US250010102083012,0
1000000US250010102083013,12
1000000US250010102083014,10
1000000US250010102083015,23
1000000US250010102083016,17
1000000US250010102083017,42
1000000US250010102083018,39
1000000US250010102083019,20
1000000US250010102083020,19
1000000US250010102083021,0
1000000US250010102083022,15
1000000US250010102083023,0
1000000US250010102083024,0
1000000US250010102083025,14
1000000US250010102083026,5
1000000US250010102083027,17
1000000US250010102083028,0
1000000US250010102083029,0
1000000US250010102083030,4
1000000US250010102083031,2
1000000US250010102083032,13
1000000US250010102083033,1
1000000US250010102083034,8
1000000US250010102083035,0
1000000US250010102083036,12
1000000US250010102083037,0
1000000US250010102083038,19
1000000US250010102083039,2
1000000US250010102083040,1
1000000US250010102083041,29
1000000US250010102083042,13
1000000US250010102083043,3
1000000US250010102083044,15
1000000US250010102083045,43
1000000US250010102083046,0
1000000US250010102083047,45
1000000US250010102083048,3
1000000US250010102083049,0
1000000US250010102083050,4
1000000US250010102083051,3
1000000US250010102083052,5
1000000US250010102083053,7
1000000US250010102083054,1
1000000US250010102083055,0
1000000US250010102083056,2
1000000US250010102083057,0
1000000US250010102083058,15
1000000US250010102083059,2
1000000US250010102083060,16
1000000US250010102083061,0
1000000US250010102083062,0
1000000US250010103041000,23
1000000US250010103041001,27
1000000US250010103041002,15
1000000US250010103041003,5
1000000US250010103041004,19
1000000US250010103041005,13
1000000US250010103041006,50
1000000US250010103041007,6
1000000US250010103041008,99
1000000US250010103041009,7
1000000US250010103041010,8
1000000US250010103041011,9
1000000US250010103041012,4
1000000US250010103041013,405
1000000US250010103041014,6
1000000US250010103041015,5
1000000US250010103041016,24
1000000US250010103041017,0
1000000US250010103041018,10
1000000US250010103041019,19
1000000US250010103041020,0
1000000US250010103041021,81
1000000US250010103041022,9
1000000US250010103041023,9
1000000US250010103041024,0
1000000US250010103041025,0
1000000US250010103041026,45
1000000US250010103041027,0
1000000US250010103041028,0
1000000US250010103041029,13
1000000US250010103041030,0
1000000US250010103041031,0
1000000US250010103041032,0
1000000US250010103041033,0
1000000US250010103041034,53
1000000US250010103041035,12
1000000US250010103041036,69
1000000US250010103041037,8
1000000US250010103041038,0
1000000US250010103041039,0
1000000US250010103041040,0
1000000US250010103041041,0
1000000US250010103041042,0
1000000US250010103042000,134
1000000US250010103042001,10
1000000US250010103042002,2
1000000US250010103042003,9
1000000US250010103042004,12
1000000US250010103042005,7
1000000US250010103042006,32
1000000US250010103042007,0
1000000US250010103042008,9
1000000US250010103042009,16
1000000US250010103042010,65
1000000US250010103042011,9
1000000US250010103042012,32
1000000US250010103042013,8
1000000US250010103042014,2
1000000US250010103042015,17
1000000US250010103042016,13
1000000US250010103042017,0
1000000US250010103042018,19
1000000US250010103042019,51
1000000US250010103042020,2
1000000US250010103042021,14
1000000US250010103042022,13
1000000US250010103042023,1
1000000US250010103042024,7
1000000US250010103042025,6
1000000US250010103042026,0
1000000US250010103042027,39
1000000US250010103042028,0
1000000US250010103042029,39
1000000US250010103042030,54
1000000US250010103042031,26
1000000US250010103042032,0
1000000US250010103042033,0
1000000US250010103042034,4
1000000US250010103042035,11
1000000US250010103042036,0
1000000US250010103042037,0
1000000US250010103042038,72
1000000US250010103042039,1
1000000US250010103042040,1
1000000US250010103042041,9
1000000US250010103042042,3
1000000US250010103042043,7
1000000US250010103042044,12
1000000US250010103042045,0
1000000US250010103042046,4
1000000US250010103042047,2
1000000US250010103042048,16
