Geography, !!Total:
1000000US280010001011000,2
1000000US280010001011001,0
1000000US280010001011002,9
1000000US280010001011003,48
1000000US280010001011004,0
1000000US280010001011005,0
1000000US280010001011006,30
1000000US280010001011007,126
1000000US280010001011008,0
1000000US280010001011009,7
1000000US280010001011010,3
1000000US280010001011011,0
1000000US280010001011012,2
1000000US280010001011013,26
1000000US280010001011014,16
1000000US280010001011015,0
1000000US280010001011016,0
1000000US280010001011017,17
1000000US280010001011018,58
1000000US280010001011019,48
1000000US280010001011020,13
1000000US280010001011021,2
1000000US280010001011022,90
1000000US280010001011023,9
1000000US280010001011024,3
1000000US280010001011025,6
1000000US280010001011026,16
1000000US280010001011027,11
1000000US280010001011028,5
1000000US280010001011029,52
1000000US280010001011030,23
1000000US280010001011031,32
1000000US280010001011032,43
1000000US280010001011033,55
1000000US280010001011034,9
1000000US280010001011035,172
1000000US280010001011036,0
1000000US280010001011037,0
1000000US280010001011038,0
1000000US280010001011039,0
1000000US280010001011040,30
1000000US280010001011041,11
1000000US280010001011042,7
1000000US280010001011043,15
1000000US280010001011044,58
1000000US280010001011045,64
1000000US280010001011046,8
1000000US280010001011047,8
1000000US280010001011048,39
1000000US280010001011049,63
1000000US280010001011050,10
1000000US280010001011051,15
1000000US280010001012000,11
1000000US280010001012001,0
1000000US280010001012002,16
1000000US280010001012003,3
1000000US280010001012004,12
1000000US280010001012005,36
1000000US280010001012006,9
1000000US280010001012007,6
1000000US280010001012008,7
1000000US280010001012009,0
1000000US280010001012010,27
1000000US280010001012011,37
1000000US280010001012012,7
1000000US280010001012013,0
1000000US280010001012014,3
1000000US280010001012015,0
1000000US280010001012016,44
1000000US280010001012017,8
1000000US280010001012018,15
1000000US280010001012019,0
1000000US280010001012020,0
1000000US280010001012021,0
1000000US280010001012022,17
1000000US280010001012023,0
1000000US280010001012024,0
1000000US280010001012025,0
1000000US280010001012026,2
1000000US280010001012027,5
1000000US280010001012028,0
1000000US280010001012029,0
1000000US280010001012030,12
1000000US280010001012031,53
1000000US280010001012032,0
1000000US280010001012033,0
1000000US280010001012034,0
1000000US280010001012035,0
1000000US280010001012036,0
1000000US280010001012037,0
1000000US280010001012038,0
1000000US280010001012039,0
1000000US280010001012040,0
1000000US280010001012041,50
1000000US280010001012042,0
1000000US280010001012043,43
1000000US280010001012044,17
1000000US280010001012045,1
1000000US280010001012046,0
1000000US280010001012047,47
1000000US280010001012048,44
1000000US280010001012049,0
1000000US280010001012050,954
1000000US280010001013000,0
1000000US280010001013001,0
1000000US280010001013002,0
1000000US280010001013003,19
1000000US280010001013004,0
1000000US280010001013005,0
1000000US280010001013006,8
1000000US280010001013007,57
1000000US280010001013008,3
1000000US280010001013009,9
1000000US280010001013010,0
1000000US280010001013011,0
1000000US280010001013012,6
1000000US280010001013013,0
1000000US280010001013014,112
1000000US280010001013015,0
1000000US280010001013016,0
1000000US280010001013017,0
1000000US280010001013018,5
1000000US280010001013019,9
1000000US280010001013020,0
1000000US280010001013021,8
1000000US280010001013022,67
1000000US280010001013023,15
1000000US280010001013024,23
1000000US280010001013025,227
1000000US280010001013026,7
1000000US280010001013027,18
1000000US280010001013028,0
1000000US280010001013029,0
1000000US280010001013030,11
1000000US280010001013031,0
1000000US280010001013032,7
1000000US280010001013033,5
1000000US280010001013034,0
1000000US280010001013035,0
1000000US280010001013036,0
1000000US280010001013037,0
1000000US280010001013038,2
1000000US280010001013039,1
1000000US280010001013040,6
1000000US280010001013041,0
1000000US280010001013042,0
1000000US280010001013043,4
1000000US280010001013044,0
1000000US280010001013045,0
1000000US280010001013046,1
1000000US280010001013047,0
1000000US280010001013048,1
1000000US280010001013049,0
1000000US280010001013050,0
1000000US280010001013051,0
