Geography, !!Total:
1000000US300010001001000,0
1000000US300010001001001,0
1000000US300010001001002,1
1000000US300010001001003,0
1000000US300010001001004,0
1000000US300010001001005,10
1000000US300010001001006,0
1000000US300010001001007,0
1000000US300010001001008,8
1000000US300010001001009,0
1000000US300010001001010,0
1000000US300010001001011,3
1000000US300010001001012,0
1000000US300010001001013,0
1000000US300010001001014,0
1000000US300010001001015,1
1000000US300010001001016,0
1000000US300010001001017,10
1000000US300010001001018,20
1000000US300010001001019,0
1000000US300010001001020,0
1000000US300010001001021,0
1000000US300010001001022,14
1000000US300010001001023,0
1000000US300010001001024,4
1000000US300010001001025,13
1000000US300010001001026,0
1000000US300010001001027,0
1000000US300010001001028,5
1000000US300010001001029,1
1000000US300010001001030,4
1000000US300010001001031,0
1000000US300010001001032,0
1000000US300010001001033,0
1000000US300010001001034,0
1000000US300010001001035,0
1000000US300010001001036,0
1000000US300010001001037,0
1000000US300010001001038,0
1000000US300010001001039,0
1000000US300010001001040,0
1000000US300010001001041,0
1000000US300010001001042,0
1000000US300010001001043,0
1000000US300010001001044,0
1000000US300010001001045,0
1000000US300010001001046,0
1000000US300010001001047,0
1000000US300010001001048,0
1000000US300010001001049,0
1000000US300010001001050,1
1000000US300010001001051,1
1000000US300010001001052,5
1000000US300010001001053,0
1000000US300010001001054,0
1000000US300010001001055,0
1000000US300010001001056,0
1000000US300010001001057,0
1000000US300010001001058,0
1000000US300010001001059,14
1000000US300010001001060,0
1000000US300010001001061,0
1000000US300010001001062,0
1000000US300010001001063,0
1000000US300010001001064,0
1000000US300010001001065,0
1000000US300010001001066,0
1000000US300010001001067,0
1000000US300010001001068,0
1000000US300010001001069,0
1000000US300010001001070,0
1000000US300010001001071,3
1000000US300010001001072,4
1000000US300010001001073,0
1000000US300010001001074,0
1000000US300010001001075,0
1000000US300010001001076,0
1000000US300010001001077,0
1000000US300010001001078,0
1000000US300010001001079,1
1000000US300010001001080,0
1000000US300010001001081,3
1000000US300010001001082,0
1000000US300010001001083,0
1000000US300010001001084,0
1000000US300010001001085,0
1000000US300010001001086,0
1000000US300010001001087,0
1000000US300010001001088,3
1000000US300010001001089,3
1000000US300010001001090,0
1000000US300010001001091,0
1000000US300010001001092,2
1000000US300010001001093,0
1000000US300010001001094,0
1000000US300010001001095,0
1000000US300010001001096,4
1000000US300010001001097,0
1000000US300010001001098,0
1000000US300010001001099,0
1000000US300010001001100,0
1000000US300010001001101,0
1000000US300010001001102,0
1000000US300010001001103,0
1000000US300010001001104,0
1000000US300010001001105,0
1000000US300010001001106,0
1000000US300010001001107,0
1000000US300010001001108,0
1000000US300010001001109,0
1000000US300010001001110,0
1000000US300010001001111,0
1000000US300010001001112,0
1000000US300010001001113,0
1000000US300010001001114,0
1000000US300010001001115,0
1000000US300010001001116,0
1000000US300010001001117,0
1000000US300010001001118,0
1000000US300010001001119,0
1000000US300010001001120,0
1000000US300010001001121,0
1000000US300010001001122,0
1000000US300010001001123,0
1000000US300010001001124,0
1000000US300010001001125,0
1000000US300010001001126,0
1000000US300010001001127,0
1000000US300010001001128,0
1000000US300010001001129,0
1000000US300010001001130,0
1000000US300010001001131,0
1000000US300010001001132,2
1000000US300010001001133,0
1000000US300010001001134,0
1000000US300010001001135,4
1000000US300010001001136,0
1000000US300010001001137,0
1000000US300010001001138,0
1000000US300010001001139,0
1000000US300010001001140,2
1000000US300010001001141,7
1000000US300010001001142,0
1000000US300010001001143,4
1000000US300010001001144,0
1000000US300010001001145,0
1000000US300010001001146,0
1000000US300010001001147,0
1000000US300010001001148,0
1000000US300010001001149,0
1000000US300010001001150,0
1000000US300010001001151,0
1000000US300010001001152,0
1000000US300010001001153,0
1000000US300010001001154,10
1000000US300010001001155,0
1000000US300010001001156,0
1000000US300010001001157,0
1000000US300010001001158,4
1000000US300010001001159,0
1000000US300010001001160,0
1000000US300010001001161,8
1000000US300010001001162,15
1000000US300010001001163,10
1000000US300010001001164,4
1000000US300010001001165,10
1000000US300010001001166,9
1000000US300010001001167,2
1000000US300010001001168,2
1000000US300010001001169,5
1000000US300010001001170,5
1000000US300010001001171,0
1000000US300010001001172,0
1000000US300010001001173,5
1000000US300010001001174,0
1000000US300010001001175,0
1000000US300010001001176,0
1000000US300010001001177,0
1000000US300010001001178,0
1000000US300010001001179,0
1000000US300010001001180,0
1000000US300010001001181,9
1000000US300010001001182,0
1000000US300010001001183,0
1000000US300010001001184,0
1000000US300010001001185,0
1000000US300010001001186,4
1000000US300010001001187,0
1000000US300010001001188,0
1000000US300010001001189,0
1000000US300010001001190,5
1000000US300010001001191,0
1000000US300010001001192,0
1000000US300010001001193,0
1000000US300010001001194,0
1000000US300010001001195,0
1000000US300010001001196,0
1000000US300010001001197,0
1000000US300010001001198,0
1000000US300010001001199,1
1000000US300010001001200,0
1000000US300010001001201,0
1000000US300010001001202,0
1000000US300010001001203,0
