Geography, !!Total:
1000000US310019654001000,1
1000000US310019654001001,9
1000000US310019654001002,2
1000000US310019654001003,0
1000000US310019654001004,11
1000000US310019654001005,0
1000000US310019654001006,2
1000000US310019654001007,4
1000000US310019654001008,3
1000000US310019654001009,3
1000000US310019654001010,11
1000000US310019654001011,0
1000000US310019654001012,13
1000000US310019654001013,1
1000000US310019654001014,16
1000000US310019654001015,4
1000000US310019654001016,0
1000000US310019654001017,10
1000000US310019654001018,3
1000000US310019654001019,0
1000000US310019654001020,5
1000000US310019654001021,0
1000000US310019654001022,2
1000000US310019654001023,0
1000000US310019654001024,0
1000000US310019654001025,5
1000000US310019654001026,0
1000000US310019654001027,6
1000000US310019654001028,16
1000000US310019654001029,4
1000000US310019654001030,0
1000000US310019654001031,0
1000000US310019654001032,0
1000000US310019654001033,0
1000000US310019654001034,20
1000000US310019654001035,11
1000000US310019654001036,4
1000000US310019654001037,0
1000000US310019654001038,7
1000000US310019654001039,6
1000000US310019654001040,0
1000000US310019654001041,6
1000000US310019654001042,0
1000000US310019654001043,6
1000000US310019654001044,6
1000000US310019654001045,0
1000000US310019654001046,12
1000000US310019654001047,3
1000000US310019654001048,8
1000000US310019654001049,0
1000000US310019654001050,10
1000000US310019654001051,0
1000000US310019654001052,8
1000000US310019654001053,0
1000000US310019654001054,9
1000000US310019654001055,0
1000000US310019654001056,8
1000000US310019654001057,6
1000000US310019654001058,5
1000000US310019654001059,0
1000000US310019654001060,0
1000000US310019654001061,0
1000000US310019654001062,10
1000000US310019654001063,5
1000000US310019654001064,0
1000000US310019654001065,0
1000000US310019654001066,19
1000000US310019654001067,4
1000000US310019654001068,0
1000000US310019654001069,2
1000000US310019654001070,14
1000000US310019654001071,18
1000000US310019654001072,74
1000000US310019654001073,39
1000000US310019654001074,31
1000000US310019654001075,0
1000000US310019654001076,69
1000000US310019654001077,10
1000000US310019654001078,34
1000000US310019654001079,114
1000000US310019654001080,2
1000000US310019654001081,4
1000000US310019654001082,90
1000000US310019654001083,55
1000000US310019654001084,0
1000000US310019654001085,0
1000000US310019654001086,0
1000000US310019654001087,28
1000000US310019654001088,37
1000000US310019654001089,0
1000000US310019654001090,0
1000000US310019654001091,60
1000000US310019654001092,0
1000000US310019654001093,6
1000000US310019654001094,4
1000000US310019654001095,5
1000000US310019654001096,6
1000000US310019654001097,4
1000000US310019654001098,6
1000000US310019654001099,0
1000000US310019654001100,0
1000000US310019654001101,10
1000000US310019654001102,16
1000000US310019654001103,48
1000000US310019654001104,19
1000000US310019654001105,0
1000000US310019654001106,4
1000000US310019654001107,22
1000000US310019654001108,1
1000000US310019654001109,0
1000000US310019654001110,9
1000000US310019654001111,3
1000000US310019654001112,0
1000000US310019654001113,4
1000000US310019654001114,0
1000000US310019654001115,0
1000000US310019654002000,1
1000000US310019654002001,7
1000000US310019654002002,0
1000000US310019654002003,0
1000000US310019654002004,0
1000000US310019654002005,0
1000000US310019654002006,7
1000000US310019654002007,15
1000000US310019654002008,0
1000000US310019654002009,4
1000000US310019654002010,0
1000000US310019654002011,0
1000000US310019654002012,4
1000000US310019654002013,8
1000000US310019654002014,0
1000000US310019654002015,7
1000000US310019654002016,0
1000000US310019654002017,0
1000000US310019654002018,0
1000000US310019654002019,6
1000000US310019654002020,5
1000000US310019654002021,4
1000000US310019654002022,0
1000000US310019654002023,3
1000000US310019654002024,7
1000000US310019654002025,5
1000000US310019654002026,0
1000000US310019654002027,4
1000000US310019654002028,2
1000000US310019654002029,3
1000000US310019654002030,10
1000000US310019654002031,0
1000000US310019654002032,10
1000000US310019654002033,0
1000000US310019654002034,0
1000000US310019654002035,6
1000000US310019654002036,5
1000000US310019654002037,1
1000000US310019654002038,0
1000000US310019654002039,5
1000000US310019654002040,3
1000000US310019654002041,1
1000000US310019654002042,0
