Geography, !!Total:
1000000US330019651001000,1
1000000US330019651001001,0
1000000US330019651001002,0
1000000US330019651001003,1
1000000US330019651001004,5
1000000US330019651001005,0
1000000US330019651001006,0
1000000US330019651001007,9
1000000US330019651001008,104
1000000US330019651001009,11
1000000US330019651001010,0
1000000US330019651001011,35
1000000US330019651001012,0
1000000US330019651001013,30
1000000US330019651001014,22
1000000US330019651001015,50
1000000US330019651001016,4
1000000US330019651001017,31
1000000US330019651001018,18
1000000US330019651001019,25
1000000US330019651001020,31
1000000US330019651001021,47
1000000US330019651001022,99
1000000US330019651001023,25
1000000US330019651001024,13
1000000US330019651001025,18
1000000US330019651001026,11
1000000US330019651001027,8
1000000US330019651001028,0
1000000US330019651001029,0
1000000US330019651001030,44
1000000US330019651001031,13
1000000US330019651001032,0
1000000US330019651001033,4
1000000US330019651001034,0
1000000US330019651001035,48
1000000US330019651001036,0
1000000US330019651001037,10
1000000US330019651001038,0
1000000US330019651001039,0
1000000US330019651001040,0
1000000US330019651001041,3
1000000US330019651001042,28
1000000US330019651001043,0
1000000US330019651001044,11
1000000US330019651001045,77
1000000US330019651001046,15
1000000US330019651001047,14
1000000US330019651001048,15
1000000US330019651001049,0
1000000US330019651002000,0
1000000US330019651002001,0
1000000US330019651002002,0
1000000US330019651002003,0
1000000US330019651002004,0
1000000US330019651002005,35
1000000US330019651002006,2
1000000US330019651002007,8
1000000US330019651002008,5
1000000US330019651002009,1
1000000US330019651002010,7
1000000US330019651002011,10
1000000US330019651002012,6
1000000US330019651002013,0
1000000US330019651002014,0
1000000US330019651002015,2
1000000US330019651002016,20
1000000US330019651002017,18
1000000US330019651002018,1
1000000US330019651002019,86
1000000US330019651002020,3
1000000US330019651002021,7
1000000US330019651002022,5
1000000US330019651002023,4
1000000US330019651002024,29
1000000US330019651002025,23
1000000US330019651002026,27
1000000US330019651002027,8
1000000US330019651002028,0
1000000US330019651002029,14
1000000US330019651002030,13
1000000US330019651002031,107
1000000US330019651002032,30
1000000US330019651002033,64
1000000US330019651002034,0
1000000US330019651002035,14
1000000US330019651002036,10
1000000US330019651002037,2
1000000US330019651002038,4
1000000US330019651002039,14
