Geography, !!Total:
1000000US340010001001000,0
1000000US340010001001001,0
1000000US340010001001002,17
1000000US340010001001003,18
1000000US340010001001004,0
1000000US340010001001005,15
1000000US340010001001006,20
1000000US340010001001007,0
1000000US340010001001008,6
1000000US340010001001009,41
1000000US340010001001010,39
1000000US340010001001011,36
1000000US340010001001012,42
1000000US340010001001013,151
1000000US340010001001014,56
1000000US340010001001015,21
1000000US340010001001016,25
1000000US340010001001017,22
1000000US340010001001018,33
1000000US340010001001019,42
1000000US340010001001020,58
1000000US340010001001021,33
1000000US340010001001022,72
1000000US340010001001023,75
1000000US340010001002000,0
1000000US340010001002001,12
1000000US340010001002002,23
1000000US340010001002003,40
1000000US340010001002004,98
1000000US340010001002005,25
1000000US340010001002006,0
1000000US340010001002007,84
1000000US340010001002008,16
1000000US340010001002009,16
1000000US340010001002010,31
1000000US340010001002011,187
1000000US340010001002012,39
1000000US340010001002013,32
1000000US340010001002014,22
1000000US340010001002015,33
1000000US340010001002016,0
1000000US340010001002017,14
1000000US340010001002018,49
1000000US340010001002019,0
1000000US340010001002020,0
1000000US340010001002021,25
1000000US340010001002022,37
1000000US340010001002023,10
1000000US340010001002024,32
1000000US340010001002025,15
1000000US340010001002026,22
1000000US340010001002027,26
1000000US340010001002028,16
1000000US340010002001000,26
1000000US340010002001001,62
1000000US340010002001002,42
1000000US340010002001003,68
1000000US340010002001004,101
1000000US340010002001005,45
1000000US340010002001006,0
1000000US340010002001007,69
1000000US340010002001008,59
1000000US340010002001009,155
1000000US340010002001010,55
1000000US340010002001011,48
1000000US340010002001012,188
1000000US340010002001013,0
1000000US340010002001014,17
1000000US340010002001015,0
1000000US340010002002000,0
1000000US340010002002001,15
1000000US340010002002002,22
1000000US340010002002003,38
1000000US340010002002004,0
1000000US340010002002005,72
1000000US340010002002006,12
1000000US340010002002007,16
1000000US340010002002008,19
1000000US340010002002009,74
1000000US340010002002010,140
1000000US340010002002011,44
1000000US340010002002012,23
1000000US340010002002013,53
1000000US340010002002014,82
1000000US340010002002015,47
1000000US340010002002016,76
1000000US340010002002017,77
1000000US340010002003000,18
1000000US340010002003001,46
1000000US340010002003002,35
1000000US340010002003003,8
1000000US340010002003004,0
1000000US340010002003005,48
1000000US340010002003006,19
1000000US340010002003007,21
1000000US340010002003008,23
1000000US340010002003009,38
1000000US340010002003010,23
1000000US340010002003011,245
1000000US340010002003012,54
1000000US340010002003013,32
1000000US340010002003014,43
1000000US340010003001000,0
1000000US340010003001001,0
1000000US340010003001002,100
1000000US340010003001003,80
1000000US340010003001004,0
1000000US340010003001005,232
1000000US340010003001006,53
1000000US340010003001007,21
1000000US340010003001008,176
1000000US340010003001009,440
1000000US340010003002000,143
1000000US340010003002001,186
1000000US340010003002002,146
1000000US340010003002003,0
1000000US340010003002004,178
1000000US340010003002005,129
1000000US340010003002006,124
1000000US340010003002007,80
1000000US340010003002008,0
1000000US340010003002009,0
1000000US340010003002010,0
1000000US340010003002011,85
1000000US340010003003000,274
1000000US340010003003001,28
1000000US340010003003002,54
1000000US340010003003003,26
1000000US340010003003004,0
1000000US340010003003005,27
1000000US340010003003006,21
1000000US340010003003007,0
1000000US340010003003008,41
1000000US340010003003009,55
1000000US340010003003010,67
1000000US340010003003011,131
1000000US340010003003012,31
1000000US340010003003013,35
1000000US340010003003014,10
1000000US340010004001000,22
1000000US340010004001001,0
1000000US340010004001002,0
1000000US340010004001003,0
1000000US340010004001004,0
1000000US340010004001005,10
1000000US340010004001006,33
1000000US340010004001007,31
1000000US340010004001008,57
1000000US340010004001009,336
1000000US340010004001010,31
1000000US340010004001011,496
1000000US340010004001012,0
1000000US340010004001013,42
1000000US340010004001014,16
1000000US340010004001015,64
1000000US340010004001016,60
1000000US340010004002000,0
1000000US340010004002001,0
1000000US340010004002002,0
1000000US340010004002003,0
1000000US340010004002004,262
1000000US340010004002005,126
1000000US340010004002006,79
1000000US340010004002007,70
1000000US340010004002008,15
1000000US340010004002009,68
1000000US340010004002010,84
1000000US340010004003000,78
1000000US340010004003001,87
1000000US340010004003002,51
1000000US340010004003003,5
1000000US340010004003004,157
1000000US340010004003005,98
1000000US340010004003006,64
1000000US340010004003007,21
1000000US340010004003008,296
1000000US340010004003009,62
1000000US340010004003010,29
1000000US340010004003011,15
1000000US340010004003012,14
1000000US340010005001000,178
1000000US340010005001001,78
1000000US340010005001002,47
1000000US340010005001003,90
1000000US340010005001004,107
1000000US340010005001005,56
1000000US340010005001006,68
1000000US340010005001007,35
1000000US340010005002000,34
1000000US340010005002001,0
1000000US340010005002002,28
1000000US340010005002003,67
1000000US340010005002004,276
1000000US340010005002005,194
1000000US340010005002006,155
1000000US340010005002007,72
1000000US340010005002008,180
1000000US340010005002009,195
