Geography, !!Total:
1000000US350010001071000,280
1000000US350010001071001,15
1000000US350010001071002,32
1000000US350010001071003,27
1000000US350010001071004,23
1000000US350010001071005,500
1000000US350010001071006,57
1000000US350010001071007,31
1000000US350010001071008,66
1000000US350010001071009,37
1000000US350010001071010,45
1000000US350010001071011,93
1000000US350010001071012,73
1000000US350010001071013,23
1000000US350010001071014,33
1000000US350010001071015,28
1000000US350010001071016,26
1000000US350010001071017,39
1000000US350010001071018,0
1000000US350010001071019,0
1000000US350010001071020,0
1000000US350010001072000,43
1000000US350010001072001,375
1000000US350010001072002,8
1000000US350010001072003,0
1000000US350010001072004,43
1000000US350010001072005,5
1000000US350010001072006,42
1000000US350010001072007,16
1000000US350010001072008,38
1000000US350010001072009,16
1000000US350010001072010,21
1000000US350010001072011,24
1000000US350010001072012,67
1000000US350010001072013,24
1000000US350010001072014,36
1000000US350010001072015,61
1000000US350010001081000,0
1000000US350010001081001,113
1000000US350010001081002,26
1000000US350010001081003,50
1000000US350010001081004,49
1000000US350010001081005,55
1000000US350010001081006,150
1000000US350010001081007,59
1000000US350010001081008,93
1000000US350010001081009,0
1000000US350010001081010,128
1000000US350010001081011,73
1000000US350010001081012,20
1000000US350010001081013,35
1000000US350010001081014,33
1000000US350010001082000,508
1000000US350010001082001,38
1000000US350010001082002,120
1000000US350010001082003,162
1000000US350010001082004,27
1000000US350010001082005,28
1000000US350010001082006,28
1000000US350010001082007,54
1000000US350010001082008,310
1000000US350010001082009,18
1000000US350010001082010,19
1000000US350010001091000,27
1000000US350010001091001,165
1000000US350010001091002,59
1000000US350010001091003,34
1000000US350010001091004,60
1000000US350010001091005,47
1000000US350010001091006,189
1000000US350010001091007,60
1000000US350010001091008,40
1000000US350010001091009,0
1000000US350010001091010,42
1000000US350010001091011,22
1000000US350010001091012,35
1000000US350010001091013,51
1000000US350010001091014,48
1000000US350010001091015,31
1000000US350010001092000,170
1000000US350010001092001,24
1000000US350010001092002,67
1000000US350010001092003,53
1000000US350010001092004,24
1000000US350010001092005,105
1000000US350010001092006,74
1000000US350010001092007,212
1000000US350010001092008,15
1000000US350010001092009,31
1000000US350010001092010,61
1000000US350010001092011,32
1000000US350010001092012,37
1000000US350010001092013,27
1000000US350010001092014,53
1000000US350010001092015,33
1000000US350010001101000,264
1000000US350010001101001,128
1000000US350010001101002,97
1000000US350010001101003,221
1000000US350010001101004,38
1000000US350010001101005,387
1000000US350010001101006,43
1000000US350010001101007,44
1000000US350010001101008,54
1000000US350010001101009,37
1000000US350010001102000,18
1000000US350010001102001,35
1000000US350010001102002,25
1000000US350010001102003,104
1000000US350010001102004,78
1000000US350010001102005,81
1000000US350010001102006,67
1000000US350010001102007,24
1000000US350010001102008,86
1000000US350010001102009,64
1000000US350010001102010,42
1000000US350010001102011,36
1000000US350010001102012,68
1000000US350010001102013,74
1000000US350010001102014,107
1000000US350010001102015,93
1000000US350010001102016,59
1000000US350010001103000,101
1000000US350010001103001,94
1000000US350010001103002,83
1000000US350010001103003,74
1000000US350010001103004,75
1000000US350010001103005,42
1000000US350010001103006,58
1000000US350010001103007,24
1000000US350010001111000,0
1000000US350010001111001,185
1000000US350010001111002,19
1000000US350010001111003,145
1000000US350010001111004,78
1000000US350010001111005,88
1000000US350010001111006,103
1000000US350010001111007,58
1000000US350010001111008,46
1000000US350010001111009,85
1000000US350010001111010,79
1000000US350010001111011,35
1000000US350010001111012,15
1000000US350010001111013,62
1000000US350010001111014,66
1000000US350010001111015,52
1000000US350010001111016,92
1000000US350010001111017,142
1000000US350010001111018,8
