Geography, !!Total:
1000000US410019501001000,8
1000000US410019501001001,4
1000000US410019501001002,0
1000000US410019501001003,0
1000000US410019501001004,22
1000000US410019501001005,0
1000000US410019501001006,0
1000000US410019501001007,0
1000000US410019501001008,0
1000000US410019501001009,11
1000000US410019501001010,0
1000000US410019501001011,0
1000000US410019501001012,12
1000000US410019501001013,0
1000000US410019501001014,0
1000000US410019501001015,0
1000000US410019501001016,0
1000000US410019501001017,0
1000000US410019501001018,4
1000000US410019501001019,0
1000000US410019501001020,0
1000000US410019501001021,0
1000000US410019501001022,0
1000000US410019501001023,3
1000000US410019501001024,0
1000000US410019501001025,0
1000000US410019501001026,0
1000000US410019501001027,0
1000000US410019501001028,0
1000000US410019501001029,4
1000000US410019501001030,7
1000000US410019501001031,23
1000000US410019501001032,0
1000000US410019501001033,0
1000000US410019501001034,8
1000000US410019501001035,6
1000000US410019501001036,2
1000000US410019501001037,0
1000000US410019501001038,0
1000000US410019501001039,0
1000000US410019501001040,0
1000000US410019501001041,0
1000000US410019501001042,0
1000000US410019501001043,0
1000000US410019501001044,0
1000000US410019501001045,0
1000000US410019501001046,0
1000000US410019501001047,0
1000000US410019501001048,0
1000000US410019501001049,1
1000000US410019501001050,0
1000000US410019501001051,0
1000000US410019501001052,15
1000000US410019501001053,22
1000000US410019501001054,10
1000000US410019501001055,2
1000000US410019501001056,0
1000000US410019501001057,1
1000000US410019501001058,25
1000000US410019501001059,2
1000000US410019501001060,5
1000000US410019501001061,1
1000000US410019501001062,0
1000000US410019501001063,0
1000000US410019501001064,0
1000000US410019501001065,1
1000000US410019501001066,6
1000000US410019501001067,4
1000000US410019501001068,0
1000000US410019501001069,0
1000000US410019501001070,0
1000000US410019501001071,4
1000000US410019501001072,2
1000000US410019501001073,2
1000000US410019501001074,0
1000000US410019501001075,12
1000000US410019501001076,0
1000000US410019501001077,0
1000000US410019501001078,0
1000000US410019501001079,0
1000000US410019501001080,0
1000000US410019501001081,0
1000000US410019501001082,0
1000000US410019501001083,0
1000000US410019501001084,0
1000000US410019501001085,0
1000000US410019501001086,0
1000000US410019501001087,0
1000000US410019501001088,0
1000000US410019501001089,0
1000000US410019501001090,0
1000000US410019501001091,1
1000000US410019501001092,5
1000000US410019501001093,0
1000000US410019501001094,0
1000000US410019501001095,0
1000000US410019501001096,0
1000000US410019501001097,0
1000000US410019501001098,0
1000000US410019501001099,0
1000000US410019501001100,0
1000000US410019501001101,0
1000000US410019501001102,0
1000000US410019501001103,0
1000000US410019501001104,0
1000000US410019501001105,0
1000000US410019501001106,2
1000000US410019501001107,4
1000000US410019501001108,0
1000000US410019501001109,4
1000000US410019501001110,4
1000000US410019501001111,0
1000000US410019501001112,7
1000000US410019501001113,8
1000000US410019501001114,0
1000000US410019501001115,0
1000000US410019501001116,0
1000000US410019501001117,0
1000000US410019501001118,0
1000000US410019501001119,0
1000000US410019501001120,1
1000000US410019501001121,0
1000000US410019501001122,0
1000000US410019501001123,0
1000000US410019501001124,0
1000000US410019501001125,0
1000000US410019501001126,0
1000000US410019501001127,0
1000000US410019501001128,0
1000000US410019501001129,0
1000000US410019501001130,0
1000000US410019501001131,0
1000000US410019501001132,0
1000000US410019501001133,0
1000000US410019501001134,0
1000000US410019501001135,0
1000000US410019501001136,0
1000000US410019501001137,0
1000000US410019501001138,0
1000000US410019501001139,0
1000000US410019501001140,1
1000000US410019501001141,0
1000000US410019501001142,0
1000000US410019501001143,0
1000000US410019501001144,12
1000000US410019501001145,0
1000000US410019501001146,6
1000000US410019501001147,0
1000000US410019501001148,9
1000000US410019501001149,7
1000000US410019501001150,13
1000000US410019501001151,4
1000000US410019501001152,13
1000000US410019501001153,1
1000000US410019501001154,0
