Geography, !!Total:
1000000US440010301001000,15
1000000US440010301001001,9
1000000US440010301001002,21
1000000US440010301001003,32
1000000US440010301001004,16
1000000US440010301001005,43
1000000US440010301001006,21
1000000US440010301001007,24
1000000US440010301001008,12
1000000US440010301001009,82
1000000US440010301001010,14
1000000US440010301001011,17
1000000US440010301001012,37
1000000US440010301001013,5
1000000US440010301001014,21
1000000US440010301001015,31
1000000US440010301001016,32
1000000US440010301001017,18
1000000US440010301001018,11
1000000US440010301001019,16
1000000US440010301001020,19
1000000US440010301001021,8
1000000US440010301001022,25
1000000US440010301001023,0
1000000US440010301001024,42
1000000US440010301001025,60
1000000US440010301001026,17
1000000US440010301001027,17
1000000US440010301001028,21
1000000US440010301001029,26
1000000US440010301001030,33
1000000US440010301001031,123
1000000US440010301001032,21
1000000US440010301001033,30
1000000US440010301001034,11
1000000US440010301001035,19
1000000US440010301001036,22
1000000US440010301001037,18
1000000US440010301001038,9
1000000US440010301001039,0
1000000US440010301001040,94
1000000US440010301001041,40
1000000US440010301002000,0
1000000US440010301002001,31
1000000US440010301002002,36
1000000US440010301002003,23
1000000US440010301002004,34
1000000US440010301002005,34
1000000US440010301002006,28
1000000US440010301002007,21
1000000US440010301002008,13
1000000US440010301002009,11
1000000US440010301002010,17
1000000US440010301002011,21
1000000US440010301002012,13
1000000US440010301002013,20
1000000US440010301002014,54
1000000US440010301002015,14
1000000US440010301002016,17
1000000US440010301002017,26
1000000US440010301002018,17
1000000US440010301002019,16
1000000US440010301002020,19
1000000US440010301002021,24
1000000US440010301002022,51
1000000US440010301002023,27
1000000US440010301002024,0
1000000US440010301002025,38
1000000US440010301002026,59
1000000US440010301003000,47
1000000US440010301003001,66
1000000US440010301003002,23
1000000US440010301003003,7
1000000US440010301003004,30
1000000US440010301003005,0
1000000US440010301003006,0
1000000US440010301003007,33
1000000US440010301003008,56
1000000US440010301003009,22
1000000US440010301003010,24
1000000US440010301003011,53
1000000US440010301003012,20
1000000US440010301003013,14
1000000US440010301003014,36
1000000US440010301003015,28
1000000US440010301003016,35
1000000US440010301003017,0
1000000US440010301003018,30
1000000US440010301003019,11
1000000US440010301003020,29
1000000US440010301003021,14
1000000US440010301003022,15
1000000US440010301003023,23
1000000US440010301003024,26
1000000US440010301003025,9
1000000US440010301003026,16
1000000US440010301003027,11
1000000US440010301003028,0
1000000US440010301003029,19
1000000US440010301003030,11
1000000US440010301003031,11
1000000US440010301003032,26
1000000US440010301003033,14
1000000US440010301003034,22
1000000US440010301003035,38
1000000US440010301003036,13
1000000US440010301003037,23
1000000US440010301003038,35
1000000US440010301003039,24
1000000US440010301003040,17
1000000US440010301003041,36
1000000US440010301003042,31
1000000US440010301004000,45
1000000US440010301004001,16
1000000US440010301004002,17
1000000US440010301004003,21
1000000US440010301004004,13
1000000US440010301004005,10
1000000US440010301004006,18
1000000US440010301004007,28
1000000US440010301004008,29
1000000US440010301004009,15
1000000US440010301004010,39
1000000US440010301004011,4
1000000US440010301004012,4
1000000US440010301004013,11
1000000US440010301004014,10
1000000US440010301004015,39
1000000US440010301004016,26
1000000US440010301004017,0
1000000US440010301004018,0
1000000US440010301004019,178
1000000US440010301004020,0
1000000US440010301004021,39
1000000US440010301004022,94
1000000US440010301004023,0
1000000US440010301004024,5
1000000US440010301004025,13
1000000US440010301004026,38
1000000US440010301004027,18
1000000US440010301004028,24
1000000US440010301004029,15
1000000US440010301004030,3
1000000US440010301004031,38
1000000US440010301004032,15
1000000US440010301004033,28
1000000US440010302001000,0
1000000US440010302001001,8
1000000US440010302001002,0
1000000US440010302001003,0
1000000US440010302001004,0
1000000US440010302001005,6
1000000US440010302001006,3
1000000US440010302001007,9
1000000US440010302001008,92
1000000US440010302001009,18
1000000US440010302001010,25
1000000US440010302001011,14
1000000US440010302001012,28
1000000US440010302001013,6
1000000US440010302001014,25
1000000US440010302001015,0
1000000US440010302001016,26
1000000US440010302001017,93
1000000US440010302001018,0
1000000US440010302001019,0
1000000US440010302001020,21
1000000US440010302001021,23
1000000US440010302001022,36
1000000US440010302001023,56
1000000US440010302001024,11
1000000US440010302001025,13
1000000US440010302001026,25
1000000US440010302001027,12
1000000US440010302001028,8
1000000US440010302001029,47
1000000US440010302001030,52
1000000US440010302001031,5
1000000US440010302001032,42
1000000US440010302001033,32
1000000US440010302001034,29
1000000US440010302001035,41
1000000US440010302001036,44
1000000US440010302002000,35
