Geography, !!Total:
1000000US450019501001000,0
1000000US450019501001001,0
1000000US450019501001002,0
1000000US450019501001003,1
1000000US450019501001004,9
1000000US450019501001005,0
1000000US450019501001006,4
1000000US450019501001007,3
1000000US450019501001008,0
1000000US450019501001009,0
1000000US450019501001010,0
1000000US450019501001011,49
1000000US450019501001012,17
1000000US450019501001013,26
1000000US450019501001014,28
1000000US450019501001015,6
1000000US450019501001016,44
1000000US450019501001017,8
1000000US450019501001018,19
1000000US450019501001019,5
1000000US450019501001020,13
1000000US450019501001021,15
1000000US450019501001022,6
1000000US450019501001023,36
1000000US450019501001024,37
1000000US450019501001025,0
1000000US450019501001026,0
1000000US450019501001027,8
1000000US450019501001028,0
1000000US450019501001029,10
1000000US450019501001030,17
1000000US450019501001031,4
1000000US450019501001032,2
1000000US450019501001033,7
1000000US450019501001034,11
1000000US450019501001035,2
1000000US450019501001036,0
1000000US450019501001037,16
1000000US450019501001038,12
1000000US450019501001039,16
1000000US450019501001040,0
1000000US450019501001041,99
1000000US450019501001042,28
1000000US450019501001043,0
1000000US450019501001044,3
1000000US450019501001045,5
1000000US450019501001046,0
1000000US450019501001047,0
1000000US450019501001048,7
1000000US450019501001049,3
1000000US450019501001050,0
1000000US450019501001051,72
1000000US450019501001052,11
1000000US450019501001053,6
1000000US450019501001054,45
1000000US450019501001055,20
1000000US450019501001056,2
1000000US450019501001057,11
1000000US450019501001058,7
1000000US450019501001059,73
1000000US450019501001060,4
1000000US450019501001061,2
1000000US450019501001062,8
1000000US450019501001063,49
1000000US450019501001064,12
1000000US450019501001065,3
1000000US450019501001066,12
1000000US450019501001067,34
1000000US450019501001068,42
1000000US450019501001069,0
1000000US450019501001070,5
1000000US450019501001071,9
1000000US450019501001072,11
1000000US450019501001073,61
1000000US450019501001074,7
1000000US450019501001075,6
1000000US450019501002000,0
1000000US450019501002001,29
1000000US450019501002002,8
1000000US450019501002003,16
1000000US450019501002004,0
1000000US450019501002005,13
1000000US450019501002006,12
1000000US450019501002007,120
1000000US450019501002008,12
1000000US450019501002009,49
1000000US450019501002010,36
1000000US450019501002011,0
1000000US450019501002012,39
1000000US450019501002013,0
1000000US450019501002014,6
1000000US450019501002015,189
1000000US450019501002016,3
1000000US450019501002017,55
1000000US450019501002018,38
1000000US450019501002019,0
1000000US450019501002020,0
1000000US450019501002021,0
1000000US450019501002022,5
1000000US450019501002023,13
1000000US450019501002024,9
1000000US450019501002025,55
1000000US450019501002026,0
1000000US450019501002027,13
1000000US450019501002028,5
1000000US450019501002029,9
1000000US450019501002030,13
1000000US450019501002031,4
1000000US450019501002032,0
1000000US450019501002033,18
1000000US450019501003000,32
1000000US450019501003001,0
1000000US450019501003002,23
1000000US450019501003003,0
1000000US450019501003004,23
1000000US450019501003005,3
1000000US450019501003006,28
1000000US450019501003007,7
1000000US450019501003008,4
1000000US450019501003009,15
1000000US450019501003010,23
1000000US450019501003011,8
1000000US450019501003012,28
1000000US450019501003013,34
1000000US450019501003014,7
1000000US450019501003015,21
1000000US450019501003016,28
1000000US450019501003017,18
1000000US450019501003018,45
1000000US450019501003019,26
1000000US450019501003020,5
1000000US450019501003021,6
1000000US450019501003022,49
1000000US450019501003023,52
1000000US450019501003024,19
1000000US450019501003025,19
1000000US450019501003026,22
1000000US450019501003027,22
1000000US450019501003028,0
1000000US450019501003029,0
1000000US450019501003030,10
1000000US450019501003031,18
1000000US450019501003032,26
1000000US450019501003033,18
1000000US450019502001000,0
1000000US450019502001001,22
1000000US450019502001002,77
1000000US450019502001003,19
1000000US450019502001004,13
1000000US450019502001005,37
1000000US450019502001006,28
1000000US450019502001007,51
1000000US450019502001008,12
1000000US450019502001009,39
1000000US450019502001010,0
1000000US450019502001011,0
1000000US450019502001012,0
1000000US450019502001013,0
1000000US450019502001014,0
1000000US450019502001015,0
1000000US450019502001016,1
