Geography, !!Total:
1000000US460039736001000,1
1000000US460039736001001,16
1000000US460039736001002,2
1000000US460039736001003,8
1000000US460039736001004,10
1000000US460039736001005,0
1000000US460039736001006,0
1000000US460039736001007,4
1000000US460039736001008,0
1000000US460039736001009,0
1000000US460039736001010,0
1000000US460039736001011,0
1000000US460039736001012,2
1000000US460039736001013,14
1000000US460039736001014,8
1000000US460039736001015,10
1000000US460039736001016,5
1000000US460039736001017,8
1000000US460039736001018,22
1000000US460039736001019,2
1000000US460039736001020,10
1000000US460039736001021,5
1000000US460039736001022,9
1000000US460039736001023,8
1000000US460039736001024,0
1000000US460039736001025,9
1000000US460039736001026,1
1000000US460039736001027,0
1000000US460039736001028,9
1000000US460039736001029,6
1000000US460039736001030,6
1000000US460039736001031,5
1000000US460039736001032,11
1000000US460039736001033,9
1000000US460039736001034,16
1000000US460039736001035,0
1000000US460039736001036,12
1000000US460039736001037,7
1000000US460039736001038,19
1000000US460039736001039,11
1000000US460039736001040,9
1000000US460039736001041,2
1000000US460039736001042,11
1000000US460039736001043,16
1000000US460039736001044,13
1000000US460039736001045,0
1000000US460039736001046,0
1000000US460039736001047,8
1000000US460039736001048,8
1000000US460039736001049,2
1000000US460039736001050,8
1000000US460039736001051,13
1000000US460039736001052,2
1000000US460039736001053,11
1000000US460039736001054,14
1000000US460039736001055,6
1000000US460039736001056,8
1000000US460039736001057,8
1000000US460039736001058,13
1000000US460039736001059,19
1000000US460039736001060,0
1000000US460039736001061,0
1000000US460039736001062,0
1000000US460039736001063,0
1000000US460039736001064,4
1000000US460039736001065,7
1000000US460039736001066,2
1000000US460039736001067,0
1000000US460039736001068,5
1000000US460039736001069,6
1000000US460039736001070,0
1000000US460039736001071,0
1000000US460039736001072,1
1000000US460039736001073,0
1000000US460039736001074,0
1000000US460039736001075,2
1000000US460039736001076,6
1000000US460039736001077,9
1000000US460039736001078,0
1000000US460039736001079,16
1000000US460039736001080,8
1000000US460039736001081,0
1000000US460039736001082,11
1000000US460039736001083,15
1000000US460039736001084,0
1000000US460039736001085,8
1000000US460039736001086,10
1000000US460039736001087,6
1000000US460039736001088,13
1000000US460039736001089,4
1000000US460039736001090,2
1000000US460039736001091,0
1000000US460039736001092,0
1000000US460039736001093,7
1000000US460039736001094,13
1000000US460039736001095,2
1000000US460039736001096,8
1000000US460039736001097,24
1000000US460039736001098,0
1000000US460039736001099,0
1000000US460039736001100,6
1000000US460039736001101,6
1000000US460039736001102,3
1000000US460039736001103,0
1000000US460039736001104,0
1000000US460039736001105,0
1000000US460039736001106,0
1000000US460039736001107,12
1000000US460039736001108,0
1000000US460039736001109,0
1000000US460039736001110,2
1000000US460039736001111,3
1000000US460039736001112,3
1000000US460039736001113,5
1000000US460039736001114,6
1000000US460039736001115,0
1000000US460039736001116,2
1000000US460039736001117,3
1000000US460039736001118,3
1000000US460039736001119,0
1000000US460039736001120,0
1000000US460039736001121,6
1000000US460039736002000,0
1000000US460039736002001,0
1000000US460039736002002,0
1000000US460039736002003,0
1000000US460039736002004,0
1000000US460039736002005,0
1000000US460039736002006,0
1000000US460039736002007,1
1000000US460039736002008,0
1000000US460039736002009,0
1000000US460039736002010,7
1000000US460039736002011,0
1000000US460039736002012,0
1000000US460039736002013,1
1000000US460039736002014,0
1000000US460039736002015,0
1000000US460039736002016,1
1000000US460039736002017,0
1000000US460039736002018,4
1000000US460039736002019,3
1000000US460039736002020,9
1000000US460039736002021,3
1000000US460039736002022,0
1000000US460039736002023,0
1000000US460039736002024,7
1000000US460039736002025,0
1000000US460039736002026,5
1000000US460039736002027,4
1000000US460039736002028,0
1000000US460039736002029,0
1000000US460039736002030,10
1000000US460039736002031,1
1000000US460039736002032,0
1000000US460039736002033,6
1000000US460039736002034,2
1000000US460039736002035,1
1000000US460039736002036,0
1000000US460039736002037,0
1000000US460039736002038,2
1000000US460039736002039,0
1000000US460039736002040,0
1000000US460039736002041,0
1000000US460039736002042,0
1000000US460039736002043,0
1000000US460039736002044,3
1000000US460039736002045,1
1000000US460039736002046,1
1000000US460039736002047,0
1000000US460039736002048,2
1000000US460039736002049,14
1000000US460039736002050,0
1000000US460039736002051,0
1000000US460039736002052,19
1000000US460039736002053,5
1000000US460039736002054,3
1000000US460039736002055,9
1000000US460039736002056,3
1000000US460039736002057,0
1000000US460039736002058,0
1000000US460039736002059,6
1000000US460039736002060,0
1000000US460039736002061,3
1000000US460039736002062,0
1000000US460039736002063,0
1000000US460039736002064,0
1000000US460039736002065,0
1000000US460039736002066,0
1000000US460039736002067,0
1000000US460039736002068,1
1000000US460039736002069,0
1000000US460039736002070,9
1000000US460039736002071,0
1000000US460039736002072,0
1000000US460039736002073,0
1000000US460039736002074,0
1000000US460039736002075,7
1000000US460039736002076,0
1000000US460039736002077,5
1000000US460039736002078,4
1000000US460039736002079,0
1000000US460039736002080,4
1000000US460039736002081,1
1000000US460039736002082,0
1000000US460039736002083,0
1000000US460039736002084,0
1000000US460039736002085,8
1000000US460039736002086,7
1000000US460039736002087,5
1000000US460039736002088,3
1000000US460039736002089,12
1000000US460039736002090,18
1000000US460039736002091,13
1000000US460039736002092,3
1000000US460039736002093,10
1000000US460039736002094,15
1000000US460039736002095,0
1000000US460039736002096,7
1000000US460039736002097,0
1000000US460039736002098,4
1000000US460039736002099,3
1000000US460039736002100,12
1000000US460039736002101,2
1000000US460039736002102,0
1000000US460039736002103,8
1000000US460039736002104,6
1000000US460039736002105,10
1000000US460039736002106,11
1000000US460039736002107,5
1000000US460039736002108,4
1000000US460039736002109,5
1000000US460039736002110,1
1000000US460039736002111,5
1000000US460039736002112,17
1000000US460039736002113,2
1000000US460039736002114,0
1000000US460039736002115,4
1000000US460039736002116,0
1000000US460039736002117,4
1000000US460039736002118,0
1000000US460039736002119,0
1000000US460039736002120,9
1000000US460039736002121,1
1000000US460039736002122,8
1000000US460039736002123,4
1000000US460039736002124,1
1000000US460039736002125,0
1000000US460039736002126,10
1000000US460039736002127,0
1000000US460039736002128,4
1000000US460039736002129,9
1000000US460039736002130,0
1000000US460039736002131,0
1000000US460039736002132,7
1000000US460039736002133,0
1000000US460039736002134,4
1000000US460039736002135,0
1000000US460039736002136,0
1000000US460039736002137,0
1000000US460039736002138,0
1000000US460039736002139,10
1000000US460039736002140,1
1000000US460039736002141,7
1000000US460039736002142,2
1000000US460039736002143,4
1000000US460039736002144,0
1000000US460039736002145,3
1000000US460039736002146,0
1000000US460039736002147,4
1000000US460039736002148,0
1000000US460039736002149,0
1000000US460039736002150,0
1000000US460039736002151,3
1000000US460039736002152,0
1000000US460039736002153,0
1000000US460039736002154,0
1000000US460039736002155,8
1000000US460039736002156,0
1000000US460039736002157,5
1000000US460039736002158,1
1000000US460039736002159,5
1000000US460039736002160,0
1000000US460039736002161,2
1000000US460039736002162,0
1000000US460039736002163,3
1000000US460039736002164,0
1000000US460039736002165,0
1000000US460039736002166,7
1000000US460039736002167,1
1000000US460039736002168,4
1000000US460039736002169,1
1000000US460039736002170,4
1000000US460039736002171,0
1000000US460039736002172,1
1000000US460039736002173,2
1000000US460039736002174,0
1000000US460039736002175,2
1000000US460039736002176,0
1000000US460039736002177,1
