Geography, !!Total:
1000000US500019601001000,35
1000000US500019601001001,48
1000000US500019601001002,24
1000000US500019601001003,78
1000000US500019601001004,0
1000000US500019601001005,0
1000000US500019601001006,0
1000000US500019601001007,0
1000000US500019601001008,25
1000000US500019601001009,13
1000000US500019601001010,11
1000000US500019601001011,32
1000000US500019601001012,0
1000000US500019601001013,1
1000000US500019601001014,0
1000000US500019601001015,130
1000000US500019601001016,2
1000000US500019601001017,7
1000000US500019601001018,15
1000000US500019601001019,25
1000000US500019601001020,4
1000000US500019601001021,20
1000000US500019601001022,5
1000000US500019601001023,11
1000000US500019601001024,19
1000000US500019601001025,9
1000000US500019601001026,12
1000000US500019601001027,6
1000000US500019601001028,34
1000000US500019601001029,5
1000000US500019601001030,20
1000000US500019601001031,4
1000000US500019601001032,4
1000000US500019601001033,2
1000000US500019601001034,9
1000000US500019601001035,3
1000000US500019601001036,1
1000000US500019601001037,104
1000000US500019601001038,2
1000000US500019601001039,0
1000000US500019601001040,6
1000000US500019601001041,28
1000000US500019601001042,3
1000000US500019601001043,12
1000000US500019601001044,0
1000000US500019601001045,14
1000000US500019601001046,19
1000000US500019601001047,7
1000000US500019601001048,6
1000000US500019601001049,3
1000000US500019601001050,3
1000000US500019601002000,31
1000000US500019601002001,23
1000000US500019601002002,10
1000000US500019601002003,27
1000000US500019601002004,12
1000000US500019601002005,20
1000000US500019601002006,34
1000000US500019601002007,11
1000000US500019601002008,128
1000000US500019601002009,13
1000000US500019601002010,2
1000000US500019601002011,12
1000000US500019601002012,8
1000000US500019601002013,0
1000000US500019601002014,1
1000000US500019601002015,9
1000000US500019601002016,15
1000000US500019601002017,0
1000000US500019601002018,0
1000000US500019601002019,3
1000000US500019601002020,1
1000000US500019601002021,0
1000000US500019601002022,0
1000000US500019601002023,0
1000000US500019601002024,10
1000000US500019601002025,7
1000000US500019601002026,0
1000000US500019601002027,6
1000000US500019601002028,4
1000000US500019601002029,16
1000000US500019601002030,0
1000000US500019601002031,22
1000000US500019601002032,0
1000000US500019601002033,8
1000000US500019601002034,34
1000000US500019601002035,40
1000000US500019601002036,43
1000000US500019601002037,7
1000000US500019601002038,22
1000000US500019601002039,5
1000000US500019601003000,0
1000000US500019601003001,12
1000000US500019601003002,0
1000000US500019601003003,10
1000000US500019601003004,30
1000000US500019601003005,1
1000000US500019601003006,5
1000000US500019601003007,35
1000000US500019601003008,0
1000000US500019601003009,16
1000000US500019601003010,49
1000000US500019601003011,28
1000000US500019601003012,80
1000000US500019601003013,2
1000000US500019601003014,0
1000000US500019601003015,34
1000000US500019601003016,2
1000000US500019601003017,0
1000000US500019601003018,0
1000000US500019601003019,0
1000000US500019601003020,14
1000000US500019601003021,0
1000000US500019601003022,7
1000000US500019601003023,0
1000000US500019601003024,95
1000000US500019601003025,0
1000000US500019601003026,15
1000000US500019601003027,0
1000000US500019601003028,72
1000000US500019601003029,0
1000000US500019601003030,11
1000000US500019601003031,32
1000000US500019601003032,3
1000000US500019601003033,8
1000000US500019601003034,7
1000000US500019601003035,173
1000000US500019601003036,10
1000000US500019601003037,7
1000000US500019601003038,35
1000000US500019601003039,0
1000000US500019601003040,4
1000000US500019601003041,0
1000000US500019601003042,6
1000000US500019601003043,0
1000000US500019601003044,6
1000000US500019601003045,26
1000000US500019601003046,2
1000000US500019601003047,2
1000000US500019601003048,5
1000000US500019601003049,0
1000000US500019601003050,0
1000000US500019601003051,10
1000000US500019601003052,6
1000000US500019601003053,0
1000000US500019601003054,0
1000000US500019601003055,141
1000000US500019601003056,8
1000000US500019601003057,4
1000000US500019601003058,0
1000000US500019601003059,0
1000000US500019601003060,0
1000000US500019601003061,3
1000000US500019601003062,0
1000000US500019601003063,29
1000000US500019601003064,3
1000000US500019601003065,7
1000000US500019601003066,40
1000000US500019601003067,12
1000000US500019601003068,21
1000000US500019601003069,0
1000000US500019601003070,4
1000000US500019601003071,8
1000000US500019601003072,57
1000000US500019601003073,3
1000000US500019601003074,5
1000000US500019601003075,12
1000000US500019601003076,0
1000000US500019601003077,4
1000000US500019601003078,0
1000000US500019601003079,0
1000000US500019601003080,19
1000000US500019601003081,1
1000000US500019601003082,0
1000000US500019601003083,10
1000000US500019601003084,0
1000000US500019601003085,0
1000000US500019601003086,0
1000000US500019601003087,0
1000000US500019601003088,8
1000000US500019601003089,12
1000000US500019601003090,23
1000000US500019601003091,28
1000000US500019601003092,16
1000000US500019601003093,28
1000000US500019601003094,22
1000000US500019601003095,10
1000000US500019601003096,10
1000000US500019601003097,8
1000000US500019601003098,49
1000000US500019601003099,21
1000000US500019601003100,11
1000000US500019601003101,0
1000000US500019601003102,3
1000000US500019601003103,0
1000000US500019601003104,37
1000000US500019601003105,17
1000000US500019601003106,27
1000000US500019601003107,12
1000000US500019601003108,6
1000000US500019601003109,2
1000000US500019601003110,0
1000000US500019601003111,25
1000000US500019601003112,0
1000000US500019601003113,0
1000000US500019601003114,11
1000000US500019601003115,6
1000000US500019601003116,0
1000000US500019601003117,20
1000000US500019601003118,5
1000000US500019601003119,0
1000000US500019601003120,8
1000000US500019601003121,0
1000000US500019602001000,9
1000000US500019602001001,0
1000000US500019602001002,0
1000000US500019602001003,12
1000000US500019602001004,39
1000000US500019602001005,16
1000000US500019602001006,57
1000000US500019602001007,9
1000000US500019602001008,13
1000000US500019602001009,0
1000000US500019602001010,25
1000000US500019602001011,3
1000000US500019602001012,7
1000000US500019602001013,4
1000000US500019602001014,9
1000000US500019602001015,3
1000000US500019602001016,30
1000000US500019602001017,27
1000000US500019602001018,8
1000000US500019602001019,19
1000000US500019602001020,9
1000000US500019602001021,0
1000000US500019602001022,30
1000000US500019602001023,51
1000000US500019602001024,6
1000000US500019602001025,207
1000000US500019602001026,9
1000000US500019602001027,26
1000000US500019602001028,0
1000000US500019602001029,24
1000000US500019602001030,0
1000000US500019602001031,8
1000000US500019602001032,0
1000000US500019602001033,0
1000000US500019602001034,6
1000000US500019602001035,2
1000000US500019602001036,0
1000000US500019602001037,9
1000000US500019602001038,13
1000000US500019602001039,0
1000000US500019602001040,4
1000000US500019602001041,41
1000000US500019602001042,0
1000000US500019602001043,12
1000000US500019602001044,58
1000000US500019602001045,0
1000000US500019602001046,6
1000000US500019602001047,0
1000000US500019602001048,0
1000000US500019602001049,1
1000000US500019602001050,0
1000000US500019602001051,7
1000000US500019602001052,0
1000000US500019602001053,11
1000000US500019602001054,0
1000000US500019602001055,0
