Geography, !!Total:
1000000US540019655001000,7
1000000US540019655001001,9
1000000US540019655001002,55
1000000US540019655001003,11
1000000US540019655001004,4
1000000US540019655001005,37
1000000US540019655001006,53
1000000US540019655001007,0
1000000US540019655001008,1
1000000US540019655001009,8
1000000US540019655001010,0
1000000US540019655001011,0
1000000US540019655001012,0
1000000US540019655001013,21
1000000US540019655001014,0
1000000US540019655001015,3
1000000US540019655001016,9
1000000US540019655001017,8
1000000US540019655001018,0
1000000US540019655001019,35
1000000US540019655001020,7
1000000US540019655001021,11
1000000US540019655001022,11
1000000US540019655001023,2
1000000US540019655001024,11
1000000US540019655001025,0
1000000US540019655001026,0
1000000US540019655001027,10
1000000US540019655001028,37
1000000US540019655001029,8
1000000US540019655001030,3
1000000US540019655001031,32
1000000US540019655001032,24
1000000US540019655001033,13
1000000US540019655001034,3
1000000US540019655001035,27
1000000US540019655001036,5
1000000US540019655002000,0
1000000US540019655002001,7
1000000US540019655002002,70
1000000US540019655002003,9
1000000US540019655002004,0
1000000US540019655002005,4
1000000US540019655002006,4
1000000US540019655002007,3
1000000US540019655002008,2
1000000US540019655002009,21
1000000US540019655002010,6
1000000US540019655002011,10
1000000US540019655002012,8
1000000US540019655002013,1
1000000US540019655002014,11
1000000US540019655002015,44
1000000US540019655002016,35
1000000US540019655002017,27
1000000US540019655002018,16
1000000US540019655002019,0
1000000US540019655002020,4
1000000US540019655002021,15
1000000US540019655002022,18
1000000US540019655002023,23
1000000US540019655002024,17
1000000US540019655002025,0
1000000US540019655002026,9
1000000US540019655002027,24
1000000US540019655002028,7
1000000US540019655002029,0
1000000US540019655002030,11
1000000US540019655002031,22
1000000US540019655002032,0
1000000US540019655002033,1
1000000US540019655002034,5
1000000US540019655002035,3
1000000US540019655002036,0
1000000US540019655002037,0
1000000US540019655002038,2
1000000US540019655002039,63
1000000US540019655002040,1
1000000US540019655002041,18
1000000US540019655002042,0
1000000US540019655002043,12
1000000US540019655002044,6
1000000US540019655002045,0
1000000US540019655002046,0
1000000US540019655002047,0
1000000US540019655002048,28
1000000US540019655002049,18
1000000US540019655002050,0
1000000US540019655002051,0
1000000US540019655002052,0
1000000US540019655002053,18
1000000US540019655002054,11
1000000US540019655002055,8
1000000US540019655002056,8
1000000US540019655002057,8
1000000US540019655002058,4
1000000US540019655002059,0
1000000US540019655003000,0
1000000US540019655003001,50
1000000US540019655003002,42
1000000US540019655003003,4
1000000US540019655003004,0
1000000US540019655003005,2
1000000US540019655003006,11
1000000US540019655003007,3
1000000US540019655003008,6
1000000US540019655003009,17
1000000US540019655003010,5
1000000US540019655003011,2
1000000US540019655003012,0
1000000US540019655003013,0
1000000US540019655003014,11
1000000US540019655003015,36
1000000US540019655003016,66
1000000US540019655003017,0
1000000US540019655003018,1
1000000US540019655003019,0
1000000US540019655003020,0
1000000US540019655003021,14
1000000US540019655003022,5
1000000US540019655003023,0
1000000US540019655003024,0
1000000US540019655003025,0
1000000US540019655003026,15
1000000US540019655003027,1
1000000US540019655003028,5
1000000US540019655003029,5
1000000US540019655003030,12
1000000US540019655003031,18
1000000US540019655003032,4
1000000US540019655003033,0
1000000US540019655003034,0
1000000US540019655003035,47
1000000US540019655003036,14
1000000US540019655003037,5
1000000US540019655003038,3
1000000US540019655003039,15
1000000US540019655003040,6
1000000US540019655003041,19
1000000US540019655003042,48
1000000US540019655003043,38
1000000US540019655003044,22
1000000US540019655003045,3
1000000US540019655003046,23
1000000US540019655003047,10
1000000US540019655003048,17
1000000US540019655003049,14
1000000US540019655003050,0
1000000US540019655003051,0
1000000US540019655003052,2
1000000US540019655003053,0
1000000US540019655003054,0
1000000US540019655003055,10
1000000US540019655003056,0
1000000US540019655003057,40
1000000US540019655003058,11
1000000US540019655003059,15
1000000US540019655003060,23
1000000US540019655003061,0
1000000US540019655003062,7
1000000US540019655003063,0
1000000US540019655003064,4
1000000US540019655003065,5
1000000US540019655003066,16
1000000US540019655003067,0
1000000US540019655003068,5
1000000US540019655003069,6
1000000US540019655003070,0
1000000US540019655003071,4
1000000US540019655003072,7
1000000US540019655003073,3
1000000US540019655003074,2
1000000US540019655003075,8
1000000US540019655003076,3
1000000US540019655003077,0
1000000US540019655003078,22
1000000US540019655003079,0
1000000US540019655003080,6
1000000US540019655003081,0
1000000US540019655003082,5
1000000US540019655003083,0
1000000US540019655003084,30
1000000US540019655003085,3
1000000US540019655003086,6
1000000US540019655003087,9
1000000US540019655003088,5
1000000US540019655003089,1
1000000US540019655003090,2
1000000US540019655003091,3
1000000US540019655003092,16
1000000US540019655003093,0
1000000US540019655003094,0
1000000US540019655003095,20
1000000US540019655003096,0
1000000US540019655003097,0
1000000US540019655003098,8
1000000US540019655004000,16
1000000US540019655004001,9
1000000US540019655004002,3
1000000US540019655004003,12
1000000US540019655004004,71
1000000US540019655004005,12
1000000US540019655004006,7
1000000US540019655004007,0
1000000US540019655004008,0
1000000US540019655004009,5
1000000US540019655004010,0
1000000US540019655004011,18
1000000US540019655004012,10
1000000US540019655004013,53
1000000US540019655004014,18
1000000US540019655004015,31
1000000US540019655004016,18
1000000US540019655004017,10
1000000US540019655004018,5
1000000US540019655004019,20
1000000US540019655004020,16
1000000US540019655004021,0
1000000US540019655004022,9
1000000US540019655004023,0
1000000US540019655004024,0
1000000US540019655004025,18
1000000US540019655004026,61
1000000US540019655004027,31
1000000US540019655004028,18
1000000US540019655004029,73
1000000US540019655004030,25
1000000US540019655004031,65
1000000US540019655004032,5
1000000US540019655004033,51
1000000US540019655004034,6
1000000US540019655004035,12
1000000US540019655004036,14
1000000US540019655004037,0
1000000US540019655004038,38
1000000US540019655004039,0
1000000US540019655004040,0
1000000US540019655004041,0
1000000US540019655004042,0
1000000US540019655004043,0
1000000US540019655004044,0
1000000US540019655004045,0
1000000US540019655004046,0
1000000US540019655004047,4
1000000US540019655004048,1
1000000US540019655004049,0
1000000US540019655004050,0
1000000US540019655004051,10
1000000US540019655004052,3
1000000US540019655004053,0
1000000US540019655004054,39
1000000US540019655004055,2
1000000US540019655004056,30
1000000US540019656001000,0
1000000US540019656001001,18
1000000US540019656001002,28
1000000US540019656001003,12
1000000US540019656001004,0
1000000US540019656001005,2
1000000US540019656001006,38
1000000US540019656001007,1
1000000US540019656001008,7
1000000US540019656001009,0
1000000US540019656001010,0
1000000US540019656001011,3
1000000US540019656001012,18
1000000US540019656001013,93
1000000US540019656001014,0
1000000US540019656001015,12
1000000US540019656001016,3
1000000US540019656001017,2
1000000US540019656001018,5
1000000US540019656001019,15
1000000US540019656001020,9
1000000US540019656001021,8
1000000US540019656001022,22
1000000US540019656001023,8
1000000US540019656001024,9
1000000US540019656001025,1
1000000US540019656001026,12
1000000US540019656001027,49
1000000US540019656001028,128
1000000US540019656001029,17
1000000US540019656001030,16
1000000US540019656001031,0
1000000US540019656001032,0
1000000US540019656001033,0
1000000US540019656001034,0
1000000US540019656001035,0
1000000US540019656001036,0
1000000US540019656001037,10
1000000US540019656001038,13
1000000US540019656001039,0
1000000US540019656001040,14
1000000US540019656001041,44
1000000US540019656001042,5
1000000US540019656001043,0
1000000US540019656001044,48
1000000US540019656001045,2
1000000US540019656001046,12
1000000US540019656001047,0
1000000US540019656001048,3
1000000US540019656001049,0
1000000US540019656001050,0
1000000US540019656001051,0
1000000US540019656001052,9
1000000US540019656001053,12
1000000US540019656001054,0
1000000US540019656001055,3
1000000US540019656001056,3
1000000US540019656002000,0
1000000US540019656002001,0
1000000US540019656002002,0
1000000US540019656002003,3
1000000US540019656002004,8
1000000US540019656002005,0
1000000US540019656002006,8
1000000US540019656002007,14
1000000US540019656002008,0
1000000US540019656002009,34
1000000US540019656002010,5
1000000US540019656002011,172
1000000US540019656002012,1
1000000US540019656002013,14
1000000US540019656002014,3
1000000US540019656002015,16
1000000US540019656002016,15
1000000US540019656002017,18
1000000US540019656002018,3
1000000US540019656002019,15
1000000US540019656002020,49
1000000US540019656002021,52
1000000US540019656002022,24
1000000US540019656002023,0
1000000US540019656002024,12
1000000US540019656002025,13
1000000US540019656002026,1
1000000US540019656002027,0
1000000US540019656002028,6
1000000US540019656002029,1
1000000US540019656002030,1
1000000US540019656002031,13
1000000US540019656002032,12
1000000US540019656002033,9
1000000US540019656002034,11
1000000US540019656002035,12
1000000US540019656003000,44
1000000US540019656003001,13
1000000US540019656003002,18
1000000US540019656003003,0
1000000US540019656003004,0
1000000US540019656003005,0
1000000US540019656003006,0
1000000US540019656003007,11
1000000US540019656003008,4
1000000US540019656003009,30
1000000US540019656003010,6
1000000US540019656003011,13
1000000US540019656003012,6
1000000US540019656003013,10
1000000US540019656003014,10
1000000US540019656003015,14
1000000US540019656003016,129
1000000US540019656003017,8
1000000US540019656003018,18
1000000US540019656003019,65
1000000US540019656003020,10
1000000US540019656003021,0
1000000US540019656003022,0
1000000US540019656003023,12
1000000US540019656003024,9
1000000US540019656003025,46
