Geography, !!Total:
1000000US560019627001000,0
1000000US560019627001001,0
1000000US560019627001002,0
1000000US560019627001003,22
1000000US560019627001004,16
1000000US560019627001005,43
1000000US560019627001006,25
1000000US560019627001007,26
1000000US560019627001008,34
1000000US560019627001009,0
1000000US560019627001010,35
1000000US560019627001011,0
1000000US560019627001012,0
1000000US560019627001013,79
1000000US560019627001014,74
1000000US560019627001015,21
1000000US560019627001016,14
1000000US560019627001017,12
1000000US560019627001018,0
1000000US560019627001019,5
1000000US560019627001020,30
1000000US560019627001021,0
1000000US560019627001022,0
1000000US560019627001023,19
1000000US560019627001024,0
1000000US560019627001025,0
1000000US560019627001026,33
1000000US560019627001027,58
1000000US560019627001028,0
1000000US560019627001029,0
1000000US560019627001030,0
1000000US560019627001031,0
1000000US560019627001032,0
1000000US560019627001033,0
1000000US560019627001034,0
1000000US560019627001035,0
1000000US560019627001036,0
1000000US560019627001037,0
1000000US560019627001038,0
1000000US560019627001039,0
1000000US560019627001040,0
1000000US560019627001041,0
1000000US560019627001042,0
1000000US560019627001043,88
1000000US560019627001044,32
1000000US560019627001045,12
1000000US560019627001046,7
1000000US560019627001047,23
1000000US560019627001048,25
1000000US560019627001049,18
1000000US560019627001050,0
1000000US560019627001051,8
1000000US560019627001052,5
1000000US560019627001053,14
1000000US560019627001054,11
1000000US560019627001055,19
1000000US560019627001056,0
1000000US560019627001057,3
1000000US560019627001058,6
1000000US560019627001059,0
1000000US560019627002000,27
1000000US560019627002001,0
1000000US560019627002002,0
1000000US560019627002003,46
1000000US560019627002004,16
1000000US560019627002005,13
1000000US560019627002006,0
1000000US560019627002007,57
1000000US560019627002008,1
1000000US560019627002009,11
1000000US560019627002010,54
1000000US560019627002011,5
1000000US560019627002012,0
1000000US560019627002013,0
1000000US560019627002014,270
1000000US560019627002015,23
1000000US560019627002016,10
1000000US560019627002017,15
1000000US560019627002018,15
1000000US560019627002019,11
1000000US560019627002020,9
1000000US560019627002021,13
1000000US560019627002022,14
1000000US560019627002023,1
1000000US560019627002024,0
1000000US560019627002025,0
1000000US560019627002026,10
1000000US560019627002027,12
1000000US560019627002028,0
1000000US560019627002029,6
1000000US560019627002030,47
1000000US560019627002031,38
1000000US560019627002032,7
1000000US560019627002033,30
1000000US560019627002034,3
1000000US560019627002035,0
1000000US560019627002036,0
1000000US560019627002037,19
1000000US560019627002038,105
1000000US560019627002039,15
1000000US560019627002040,24
1000000US560019627002041,9
1000000US560019627002042,48
1000000US560019627002043,54
1000000US560019627002044,3
1000000US560019627002045,11
1000000US560019627002046,7
1000000US560019627002047,0
1000000US560019627002048,0
1000000US560019627002049,0
1000000US560019627002050,0
1000000US560019627002051,16
1000000US560019627002052,0
1000000US560019627002053,11
1000000US560019627002054,0
1000000US560019627002055,0
1000000US560019627002056,3
1000000US560019627002057,0
1000000US560019627002058,0
1000000US560019627002059,0
1000000US560019627002060,15
1000000US560019627002061,47
1000000US560019627002062,0
1000000US560019627002063,1
1000000US560019627002064,0
1000000US560019627003000,5
1000000US560019627003001,38
1000000US560019627003002,29
1000000US560019627003003,37
1000000US560019627003004,6
1000000US560019627003005,0
